id,CARMA,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File,Scaled Capacity
343,,,Le chalet,Le chalet,Switzerland,Hydro,Run-Of-River,2.6,46.7277263163,6.52224302381,"BFE, Switzerland Power Plant.csv",1.7706863842
344,,,Moulinets sur l'orbe,Moulinets sur l'orbe,Switzerland,Hydro,Run-Of-River,0.77,46.7209697782,6.53229949585,"BFE, Switzerland Power Plant.csv",0.524395583013
345,,,St.sulpice,St.sulpice,Switzerland,Hydro,Run-Of-River,3.9,46.9106213602,6.55745141266,"BFE, Switzerland Power Plant.csv",2.6560295763
346,,,Le furcil,Le furcil,Switzerland,Hydro,Run-Of-River,0.68,46.9536626014,6.73186608774,"BFE, Switzerland Power Plant.csv",0.463102592791
347,,,Plan l'eau,Plan l'eau,Switzerland,Hydro,Run-Of-River,1.11,46.9531054291,6.74369685922,"BFE, Switzerland Power Plant.csv",0.755946879408
348,,,Les moyats,Les moyats,Switzerland,Hydro,Run-Of-River,1.6,46.9529131011,6.75657368575,"BFE, Switzerland Power Plant.csv",1.08965315951
349,,,Boudry les essert,Boudry les essert,Switzerland,Hydro,Run-Of-River,0.5,46.9508768262,6.84290644242,"BFE, Switzerland Power Plant.csv",0.340516612346
350,,,Serrières,Serrières centrale,Switzerland,Hydro,Run-Of-River,1.19,46.9827806416,6.90358463818,"BFE, Switzerland Power Plant.csv",0.810429537384
351,,,Sous les roches,Sous les roches,Switzerland,Hydro,Run-Of-River,0.39,47.1896143522,7.18396966384,"BFE, Switzerland Power Plant.csv",0.26560295763
352,,,Rondchâtel,Rondchâtel,Switzerland,Hydro,Run-Of-River,3.0,47.1710326223,7.24974576351,"BFE, Switzerland Power Plant.csv",2.04309967408
353,,,Frinvillier,Frinvillier,Switzerland,Hydro,Run-Of-River,0.35,47.1683406671,7.25371218143,"BFE, Switzerland Power Plant.csv",0.238361628642
354,,,Taubenloch,Taubenloch,Switzerland,Hydro,Run-Of-River,0.32,47.1607076521,7.26165130183,"BFE, Switzerland Power Plant.csv",0.217930631902
