id,CARMA,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File,Scaled Capacity
1150,Angaback,,,Angaback,Sweden,Hydro,Run-Of-River,7.0,56.4833333,13.5,Sweden Power Plant.csv,7.2473956669
1151,Hove,,,Hove,Norway,Hydro,Reservoir,73.0,62.05,5.3333333,Norway Power Plants (ENTSOE) .csv,66.6117210726
1152,Kjela,,,Kjela,Norway,Hydro,Reservoir,72.0,59.3,9.0333333,Norway Power Plants (ENTSOE) .csv,65.6992317429
1153,Trollheim,,,Trolheim,Norway,Hydro,Reservoir,169.0,62.85,9.0833333,Norway Power Plants (ENTSOE) .csv,154.21069673
1154,Songa,,,Songa,Norway,Hydro,Reservoir,140.0,59.5666667,8.0,Norway Power Plants (ENTSOE) .csv,127.748506167
1155,Refsdal,,,Refsdal,Norway,Hydro,Reservoir,100.0,61.0333333,6.5833333,Norway Power Plants (ENTSOE) .csv,91.2489329762
1156,Tasjo,,,Tasjo,Sweden,Hydro,Run-Of-River,14.0,64.2166667,15.9,Sweden Power Plant.csv,14.4947913338
1157,Haukeli,,,Haukeli,Norway,Hydro,Reservoir,6.0,59.75,7.5166667,Norway Power Plants (ENTSOE) .csv,5.47493597857
1158,Hylte,,,Hylte,Sweden,Hydro,Run-Of-River,26.0,57.4536111,12.0055556,Sweden Power Plant.csv,26.9188981913
1159,Innset,,,Innset,Norway,Hydro,Reservoir,105.0,68.65,18.8333333,Norway Power Plants (ENTSOE) .csv,95.811379625
1160,Svorka,,,Svorka,Norway,Hydro,Reservoir,25.0,62.3,5.9166667,Norway Power Plants (ENTSOE) .csv,22.812233244
1161,Norddalen,,,Norddalen,Norway,Hydro,Reservoir,9.0,68.55,17.5833333,Norway Power Plants (ENTSOE) .csv,8.21240396786
1162,Hoting,,,Hoting,Sweden,Hydro,Run-Of-River,15.0,64.1166667,16.1666667,Sweden Power Plant.csv,15.5301335719
1163,Ovre bersavatn,,,Bersavatn,Norway,Hydro,Reservoir,11.0,60.1833333,6.7166667,Norway Power Plants (ENTSOE) .csv,10.0373826274
1164,Langvatn,,,Langvatn,Norway,Hydro,Reservoir,115.0,68.3333333,16.3666667,Norway Power Plants (ENTSOE) .csv,104.936272923
1165,Nederede,,,Nederede,Sweden,Hydro,Run-Of-River,16.0,62.41767285,16.90761775,Sweden Power Plant.csv,16.5654758101
1166,Adamselv,,,Adamselv,Norway,Hydro,Reservoir,60.0,70.3833333,26.6333333,Norway Power Plants (ENTSOE) .csv,54.7493597857
1167,Litjfossen,,,Litjfossen,Norway,Hydro,Reservoir,83.0,62.27594,10.78241,Norway Power Plants (ENTSOE) .csv,75.7366143702
1168,Bergvattnet,,,Bergvattnet,Sweden,Hydro,Run-Of-River,21.2,64.55,15.2333333,Sweden Power Plant.csv,21.9492554483
1169,Brynge,,,Brynge,Sweden,Hydro,Run-Of-River,5.236,63.2909139951,18.7152528763,Sweden Power Plant.csv,5.42105195884
1170,Ulset,,,Ulset,Norway,Hydro,Reservoir,40.0,62.27594,10.78241,Norway Power Plants (ENTSOE) .csv,36.4995731905
1171,Gaddede,,,Gaddede,Sweden,Hydro,Run-Of-River,22.0,64.5,14.15,Sweden Power Plant.csv,22.7775292388
1172,Nedre rossaga,,,Nedre rossaga,Norway,Hydro,Reservoir,378.0,68.5333333,15.2166667,Norway Power Plants (ENTSOE) .csv,344.92096665
1173,Malset,,,Malset,Norway,Hydro,Reservoir,24.0,60.9833333,6.5166667,Norway Power Plants (ENTSOE) .csv,21.8997439143
1174,Sima,,,Sy sima,Norway,Hydro,Reservoir,1120.0,60.4675,7.07193,Norway Power Plants (ENTSOE) .csv,1021.98804933
1175,Tokke,,,Tokke,Norway,Hydro,Reservoir,480.0,58.9833333,9.2333333,Norway Power Plants (ENTSOE) .csv,437.994878286
1176,Svorkmo,,,Svorkmo,Norway,Hydro,Reservoir,61.0,63.2666667,9.8333333,Norway Power Plants (ENTSOE) .csv,55.6618491155
1177,Laholms,,,Laholm,Sweden,Hydro,Run-Of-River,11.3,56.5120653165,13.0437111855,Sweden Power Plant.csv,11.6993672909
1178,Jarnvagsforsen,,,Jarnvagesforsen,Sweden,Hydro,Reservoir,105.0,62.3833333,17.3166667,Sweden Power Plant.csv,108.710935004
1179,Kolsvik,,,Kolsvik,Norway,Hydro,Reservoir,163.0,65.2166667,12.7833333,Norway Power Plants (ENTSOE) .csv,148.735760751
1180,Osbu,,,Osbu,Norway,Hydro,Reservoir,28.0,62.5166667,8.5,Norway Power Plants (ENTSOE) .csv,25.5497012333
1181,Straumsmo,,,Straumsmo,Norway,Hydro,Reservoir,170.0,68.7333333,18.65,Norway Power Plants (ENTSOE) .csv,155.12318606
1182,Fausa,,,Fausa,Norway,Hydro,Reservoir,8.0,64.9166667,11.25,Norway Power Plants (ENTSOE) .csv,7.29991463809
1183,Nedre svultingen,,,Nedre svultingen,Norway,Hydro,Reservoir,11.0,61.17109,5.29603,Norway Power Plants (ENTSOE) .csv,10.0373826274
1184,Brulandsfossen,,,Brulandsfoss,Norway,Hydro,Reservoir,15.0,61.45217,5.85717,Norway Power Plants (ENTSOE) .csv,13.6873399464
1185,Haalandsfoss,,,Halandsfossen,Norway,Hydro,Reservoir,6.2,61.36311,5.39809,Norway Power Plants (ENTSOE) .csv,5.65743384452
1186,Pernegg,,,Pernegg,Austria,Hydro,Reservoir,22.0,47.35978671,15.3423643112,Verbund Power Plant.csv,30.3145282077
1187,Laufnitzdorf,,,Laufnitzdorf,Austria,Hydro,Reservoir,18.0,47.3,15.3166667,Verbund Power Plant.csv,24.8027958063
1188,Stadheim,,,Stadheim,Norway,Hydro,Reservoir,5.4,62.30964,6.93582,Norway Power Plants (ENTSOE) .csv,4.92744238071
1189,Juvfossen,,,Juvfossen,Norway,Hydro,Reservoir,7.0,62.0833333,6.9,Norway Power Plants (ENTSOE) .csv,6.38742530833
1190,Skarsfjord,,,Skarsfjord,Norway,Hydro,Reservoir,5.87,69.8008333,18.7580556,Norway Power Plants (ENTSOE) .csv,5.3563123657
1191,Svartelva,,,Svartelva,Norway,Hydro,Reservoir,16.0,63.58368,9.95989,Norway Power Plants (ENTSOE) .csv,14.5998292762
1192,Morre,,,Morre,Norway,Hydro,Reservoir,16.0,63.966667,10.2,Norway Power Plants (ENTSOE) .csv,14.5998292762
1193,Dale tussa,,,Dalen,Norway,Hydro,Reservoir,6.0,62.0666667,5.95,Norway Power Plants (ENTSOE) .csv,5.47493597857
1194,Trandal,,,Trandal,Norway,Hydro,Reservoir,8.0,62.2029,6.12722,Norway Power Plants (ENTSOE) .csv,7.29991463809
1195,Gjerdsvik,,,Gjerdsvik,Norway,Hydro,Reservoir,6.0,63.2833333,8.4166667,Norway Power Plants (ENTSOE) .csv,5.47493597857
1196,Amela,,,Amela,Norway,Hydro,Reservoir,40.0,62.0752778,5.9175,Norway Power Plants (ENTSOE) .csv,36.4995731905
1197,Tysseland,,,Tysseland,Norway,Hydro,Reservoir,6.0,60.1166667,6.2833333,Norway Power Plants (ENTSOE) .csv,5.47493597857
1198,Seitevare,,,Seitevare,Sweden,Hydro,Reservoir,225.0,68.8666667,20.35,Sweden Power Plant.csv,232.952003579
1199,Rosenheim wkw,,,Rosenheim,Germany,Hydro,Run-Of-River,38.4,47.8277184776,12.1450250742,Germany Power Plants (conventional).csv,45.1937814758
1200,Ustekveikja,,,Ustekveikja,Norway,Hydro,Reservoir,42.0,60.5333059725,8.20764541626,Norway Power Plants (ENTSOE) .csv,38.32455185
1201,Orteren,,,Ortern,Norway,Hydro,Reservoir,13.0,60.4666667,7.8,Norway Power Plants (ENTSOE) .csv,11.8623612869
1202,Vadheim,,,Vadheim,Norway,Hydro,Reservoir,15.5,61.2166667,5.8166667,Norway Power Plants (ENTSOE) .csv,14.1435846113
1203,Sillre,,,Sillre,Sweden,Hydro,Run-Of-River,11.7,62.8588913429,15.9437285048,Sweden Power Plant.csv,12.1135041861
1204,Mandling,,,Mandling,Austria,Hydro,Reservoir,6.1,47.4,13.5666667,Verbund Power Plant.csv,8.40539191213
1205,Weinzodl,,,Weinzödl,Austria,Hydro,Reservoir,16.903,47.1,15.3833333,Verbund Power Plant.csv,23.2912031952
1206,Teufelsbruck,,,Teufelsbruck,Germany,Hydro,Run-Of-River,25.0,48.111632,12.2056678,Germany Power Plants (conventional).csv,29.423034815
1207,Obervogau,,,Obervogau,Austria,Hydro,Reservoir,14.97,46.745,15.5847222,Verbund Power Plant.csv,20.6276585122
1208,Lebring,,,Lebring,Austria,Hydro,Reservoir,20.2,46.8522222,15.5383333,Verbund Power Plant.csv,27.8342486271
1209,Georgen,,,St. georgen,Austria,Hydro,Reservoir,6.364,47.5333333,14.3666667,Verbund Power Plant.csv,8.76916625062
1210,Wasserburg,,,Wasserburg,Germany,Hydro,Run-Of-River,28.95,48.0610227457,12.2256641307,Germany Power Plants (conventional).csv,34.0718743157
1211,Gars,,,Gars,Germany,Hydro,Run-Of-River,25.0,48.14876325,12.2910067,Germany Power Plants (conventional).csv,29.423034815
1212,Stammham,,,Stammham,Germany,Hydro,Run-Of-River,24.0,48.5776198367,11.6634959201,Germany Power Plants (conventional).csv,28.2461134224
1213,Fisching,,,Fisching,Austria,Hydro,Reservoir,22.0,47.1666667,14.7333333,Verbund Power Plant.csv,30.3145282077
1214,Leoben ahp,,,Leoben,Austria,Hydro,Reservoir,10.0,47.3833333,15.1,Verbund Power Plant.csv,13.7793310035
1215,Friesach,,,Friesach,Austria,Hydro,Reservoir,13.5,47.1666667,15.3333333,Verbund Power Plant.csv,18.6020968547
1216,Hieflau,,,Hieflau erzbach,Austria,Hydro,Reservoir,64.0,47.6,14.7333333,Verbund Power Plant.csv,88.1877184224
1217,Feldkirchen,,,Feldkirchen,Germany,Hydro,Run-Of-River,38.4,48.2842898862,12.3176479891,Germany Power Plants (conventional).csv,45.1937814758
1218,Arnstein,,,Arnstein,Austria,Hydro,Reservoir,33.12,47.0166667,15.1666667,Verbund Power Plant.csv,45.6371442836
1219,Dionysen,,,Dionysen,Austria,Hydro,Reservoir,16.0,47.4166667,15.2833333,Verbund Power Plant.csv,22.0469296056
1220,Rabenstein stm,,,Rabenstein,Austria,Hydro,Reservoir,14.0,47.35,13.6833333,Verbund Power Plant.csv,19.2910634049
1221,Peggau,,,Peggau,Austria,Hydro,Reservoir,13.2,47.2,15.35,Verbund Power Plant.csv,18.1887169246
1222,Neuotting,,,Neuötting,Germany,Hydro,Run-Of-River,26.1,48.2367953,12.69273555,Germany Power Plants (conventional).csv,30.7176483468
1223,Krippau wehrkraftwerk,,,Krippau,Austria,Hydro,Reservoir,35.04,47.6833333,14.7,Verbund Power Plant.csv,48.2827758362
1224,Skree,,,Skree,Norway,Hydro,Reservoir,8.0,59.1865,8.0895,Norway Power Plants (ENTSOE) .csv,7.29991463809
1225,Rognsfossen,,,Rognfossen evang,Norway,Hydro,Reservoir,7.0,60.62296,6.42286,Norway Power Plants (ENTSOE) .csv,6.38742530833
1226,Raassaa,,,Rasdalen,Norway,Hydro,Reservoir,5.0,60.1666667,12.0333333,Norway Power Plants (ENTSOE) .csv,4.56244664881
1227,Camporedondo,,,Camporredondo,Spain,Hydro,Reservoir,11.25,42.826109,-4.846262,Spain Power Plants Over 10 MW.csv,12.5968264062
1228,Xerta,,,Xerta,Spain,Hydro,Run-Of-River,18.0,40.9,0.5,Spain Power Plants Over 10 MW.csv,20.1549222498
1229,Enkirch,,,Enkirch,Germany,Hydro,Run-Of-River,18.4,49.983203,7.12147015,Germany Power Plants (conventional).csv,21.6553536238
1230,Detzem,,,Detzem,Germany,Hydro,Run-Of-River,24.0,49.8146868,6.8452726,Germany Power Plants (conventional).csv,28.2461134224
1231,Schwammenauel,,,Schwammenauel,Germany,Hydro,Run-Of-River,14.35,50.64221115,6.4632873,Germany Power Plants (conventional).csv,16.8888219838
1232,Wintrich,,,Wintrich,Germany,Hydro,Run-Of-River,20.0,49.8831465,6.9509332,Germany Power Plants (conventional).csv,23.538427852
1233,Cwm dyli,,,Cwm dyli,United Kingdom,Hydro,Run-Of-River,10.0,52.6524068438,-3.92061334574,UK Power Plant.csv,9.11882825419
1234,Serrig,,,Serrig,Germany,Hydro,Run-Of-River,12.1,49.5611006286,6.55310260331,Germany Power Plants (conventional).csv,14.2407488504
1235,Lehmen,,,Lehmen,Germany,Hydro,Run-Of-River,24.0,50.28363595,7.4520115,Germany Power Plants (conventional).csv,28.2461134224
1236,Heimbach,,,Heimbach,Germany,Hydro,Run-Of-River,16.0,50.6338778,6.47995395,Germany Power Plants (conventional).csv,18.8307422816
1237,Trier,,,Trier,Germany,Hydro,Run-Of-River,18.8,49.7576366768,6.64176743821,Germany Power Plants (conventional).csv,22.1261221809
1238,Sundsfjord,,,Sundsfjord,Norway,Hydro,Reservoir,128.0,67.1166667,14.3,Norway Power Plants (ENTSOE) .csv,116.79863421
1239,Langvann,,,Langvann,Norway,Hydro,Reservoir,7.0,68.3333333,16.3666667,Norway Power Plants (ENTSOE) .csv,6.38742530833
1240,Oldereid,,,Oldereid,Norway,Hydro,Reservoir,14.4,67.15,14.9166667,Norway Power Plants (ENTSOE) .csv,13.1398463486
1241,Cijara,,,Cijara m. izda.,Spain,Hydro,Reservoir,102.1,39.168398,-5.050487,Spain Power Plants Over 10 MW.csv,114.323197873
1242,Puerto pena,,,Puerto,Spain,Hydro,Reservoir,55.59,39.036974,-5.234225,Spain Power Plants Over 10 MW.csv,62.2451182149
1243,Serena,,,Serena,Spain,Hydro,Reservoir,25.1,38.732036,-5.543902,Spain Power Plants Over 10 MW.csv,28.1049193595
1244,Pena bejo,,,Bejo,Spain,Hydro,Run-Of-River,20.8,43.150361,-4.381714,Spain Power Plants Over 10 MW.csv,23.2901323776
1245,Rozadio,,,Rozadio,Spain,Hydro,Run-Of-River,12.6,43.223351,-4.386833,Spain Power Plants Over 10 MW.csv,14.1084455749
1246,Melkefoss,,,Melkefoss,Norway,Hydro,Reservoir,26.0,69.4,29.7833333,Norway Power Plants (ENTSOE) .csv,23.7247225738
1247,Skogfoss,,,Skogfoss,Norway,Hydro,Reservoir,54.2,69.3733333,29.6877778,Norway Power Plants (ENTSOE) .csv,49.4569216731
1248,Rannoch,,,Rannoch,United Kingdom,Hydro,Run-Of-River,48.0,56.70972225,-4.2403592,UK Power Plant.csv,43.7703756201
1249,Cashlie,,,Cashlie,United Kingdom,Hydro,Run-Of-River,11.0,56.6653176707,-4.28548658384,UK Power Plant.csv,10.0307110796
1250,Clunie,,,Clunie,United Kingdom,Hydro,Run-Of-River,61.2,57.1680556,-3.3653592,UK Power Plant.csv,55.8072289157
1251,Livishie,,,Livishie,United Kingdom,Hydro,Run-Of-River,17.0,57.0002331537,-4.36581552653,UK Power Plant.csv,15.5020080321
1252,Aigas,,,Aigas,United Kingdom,Hydro,Run-Of-River,20.0,57.1325935195,-4.1690158573,UK Power Plant.csv,18.2376565084
1253,Deanie,,,Deanie,United Kingdom,Hydro,Run-Of-River,38.0,57.15138895,-4.5236925,UK Power Plant.csv,34.6515473659
1254,Glendoe,,,Glendoe,United Kingdom,Hydro,Reservoir,100.0,56.9646215217,-4.39814370889,UK Power Plant.csv,91.1882825419
1255,Cassley,,,Cassley,United Kingdom,Hydro,Run-Of-River,10.45,56.0430556,-4.8986925,UK Power Plant.csv,9.52917552563
1256,Invergarry,,,Invergarry,United Kingdom,Hydro,Run-Of-River,20.0,56.9275172262,-4.45753854531,UK Power Plant.csv,18.2376565084
1257,Lochay,,,Lochay,United Kingdom,Hydro,Run-Of-River,48.0,55.87638895,-3.7903592,UK Power Plant.csv,43.7703756201
1258,Glenmoriston,,,Glenmoriston,United Kingdom,Hydro,Run-Of-River,40.0,56.9916056,-4.49172085,UK Power Plant.csv,36.4753130168
1259,Nant,,,Nant,United Kingdom,Hydro,Run-Of-River,15.0,56.3853556416,-4.46752801065,UK Power Plant.csv,13.6782423813
1260,Pitlochry,,,Pitlochry,United Kingdom,Hydro,Run-Of-River,15.0,56.7456264466,-3.92418664712,UK Power Plant.csv,13.6782423813
1261,Kilmorack,,,Kilmorack,United Kingdom,Hydro,Run-Of-River,20.0,57.1253422791,-4.31372922677,UK Power Plant.csv,18.2376565084
1262,Striven,,,Striven,United Kingdom,Hydro,Run-Of-River,8.0,57.18636945,-3.10234359889,UK Power Plant.csv,7.29506260335
1263,Clachan,,,Clachan,United Kingdom,Hydro,Run-Of-River,40.0,56.5430556,-4.8486925,UK Power Plant.csv,36.4753130168
1264,Slind,,,Slind,Norway,Hydro,Reservoir,25.0,63.2166667,11.0333333,Norway Power Plants (ENTSOE) .csv,22.812233244
1265,Glorenza,,,Seled glorenza,Italy,Hydro,Run-Of-River,101.6,46.68791635,10.5465516,Italy Power Plant.csv,187.419137466
1266,Roskrepp,,,Roskrepp,Norway,Hydro,Reservoir,56.0,58.3166667,6.95,Norway Power Plants (ENTSOE) .csv,51.0994024667
1267,Solhom,,,Solhom,Norway,Hydro,Reservoir,250.0,58.3166667,6.95,Norway Power Plants (ENTSOE) .csv,228.12233244
1268,Kvinen,,,Kvinen,Norway,Hydro,Reservoir,90.0,58.66263,6.71694,Norway Power Plants (ENTSOE) .csv,82.1240396786
1269,Fjone,,,Fjone,Norway,Hydro,Reservoir,60.0,59.1666667,8.4666667,Norway Power Plants (ENTSOE) .csv,54.7493597857
1270,Hogstad,,,Hogstad,Norway,Hydro,Reservoir,11.0,59.28843,9.71,Norway Power Plants (ENTSOE) .csv,10.0373826274
1271,Vrenjga,,,Vrenga,Norway,Hydro,Reservoir,16.0,59.85,9.45,Norway Power Plants (ENTSOE) .csv,14.5998292762
1272,Arlifoss,,,Arlifoss,Norway,Hydro,Reservoir,27.0,59.55936,9.25853,Norway Power Plants (ENTSOE) .csv,24.6372119036
1273,Kiste,,,Kiste,Norway,Hydro,Reservoir,7.0,59.28843,9.71,Norway Power Plants (ENTSOE) .csv,6.38742530833
1274,Skollenborg,,,Skollenborg,Norway,Hydro,Reservoir,102.0,59.66858,9.65017,Norway Power Plants (ENTSOE) .csv,93.0739116357
1275,Mydalen,,,Mydalen,Norway,Hydro,Reservoir,8.0,59.600748034,8.65010261536,Norway Power Plants (ENTSOE) .csv,7.29991463809
1276,Haukrei,,,Haukrei,Norway,Hydro,Reservoir,19.0,59.1865,8.0895,Norway Power Plants (ENTSOE) .csv,17.3372972655
1277,Gronvollfoss,,,Gronvollfoss,Norway,Hydro,Reservoir,40.0,59.55936,9.25853,Norway Power Plants (ENTSOE) .csv,36.4995731905
1278,Steinsvik,,,Steinsvik,Norway,Hydro,Reservoir,10.0,62.14762,6.07408,Norway Power Plants (ENTSOE) .csv,9.12489329762
1279,Skogheim,,,Skogheim,Norway,Hydro,Reservoir,9.0,61.8166667,6.15,Norway Power Plants (ENTSOE) .csv,8.21240396786
1280,Sagefossen,,,Sagefossen,Norway,Hydro,Reservoir,12.0,61.8166667,6.15,Norway Power Plants (ENTSOE) .csv,10.9498719571
1281,Bjordalen,,,Bjorndalen,Norway,Hydro,Reservoir,5.0,62.2029,6.12722,Norway Power Plants (ENTSOE) .csv,4.56244664881
1282,Sunndal,,,Sundal,Norway,Hydro,Reservoir,5.0,62.97397,8.72472,Norway Power Plants (ENTSOE) .csv,4.56244664881
1283,Mossford,,,Mossford,United Kingdom,Hydro,Run-Of-River,24.0,56.7861112,-4.1140517,UK Power Plant.csv,21.8851878101
1284,Errochty,,,Errochty,United Kingdom,Hydro,Reservoir,75.0,56.7861112,-4.1140517,UK Power Plant.csv,68.3912119064
1285,Alzwerke,,,Alzwerke gmbh,Germany,Hydro,Run-Of-River,45.0,48.1689863,12.8304816,Germany Power Plants (conventional).csv,52.961462667
1286,Bonnington,,,Bonnington,United Kingdom,Hydro,Run-Of-River,11.0,56.7861112,-4.1140517,UK Power Plant.csv,10.0307110796
1287,Kachlet,,,Kachlet,Germany,Hydro,Run-Of-River,53.7,48.5740136,13.4606445,Germany Power Plants (conventional).csv,63.2006787826
1288,Eitting,,,Eitting,Germany,Hydro,Run-Of-River,40.0,48.358828,11.8908175,Germany Power Plants (conventional).csv,47.076855704
1289,Quoich,,,Quoich,United Kingdom,Hydro,Run-Of-River,23.1,56.7861112,-4.1140517,UK Power Plant.csv,21.0644932672
1290,Grudie bridge,,,Grudie bridge,United Kingdom,Hydro,Run-Of-River,24.0,56.7861112,-4.1140517,UK Power Plant.csv,21.8851878101
1291,Orrin,,,Orrin,United Kingdom,Hydro,Run-Of-River,18.0,56.7861112,-4.1140517,UK Power Plant.csv,16.4138908575
1292,Fionnay dixence,,,Fionnay dixence,Switzerland,Hydro,Run-Of-River,321.0,46.2535351,7.3477598,Switzerland Power Plant.csv,218.611665126
1293,Dolgarrog high,,,Dolgarrog high head,United Kingdom,Hydro,Run-Of-River,18.4,52.2928116,-3.7389299,UK Power Plant.csv,16.7786439877
1294,Dettingen canal,,,Dettingen,Germany,Hydro,Run-Of-River,11.0,48.2632705,9.7219415,Germany Power Plants (conventional).csv,12.9461353186
1295,Dolgarrog low,,,Dolgarrog low head,United Kingdom,Hydro,Run-Of-River,15.0,52.2928116,-3.7389299,UK Power Plant.csv,13.6782423813
1296,Linthal limmern,,,Linthal limmern,Switzerland,Hydro,Run-Of-River,34.4,47.1682719,7.2556047,Switzerland Power Plant.csv,23.4275429294
1297,Wyhlen,,,Wyhlen,Germany,Hydro,Run-Of-River,44.593,47.5540691,7.6768708718,Germany Power Plants (conventional).csv,52.4824556602
1298,Galleto,,,Galleto,Italy,Hydro,Reservoir,166.0,42.5641417,12.6405466,Italy Power Plant.csv,306.216307278
1299,Luichart,,,Luichart,United Kingdom,Hydro,Run-Of-River,34.0,56.7861112,-4.1140517,UK Power Plant.csv,31.0040160643
1300,Ceannacroc,,,Ceannacroc,United Kingdom,Hydro,Run-Of-River,24.0,56.7861112,-4.1140517,UK Power Plant.csv,21.8851878101
1301,Landau ostbayer,,,Landau,Germany,Hydro,Run-Of-River,13.5,48.675445,12.6677046781,Germany Power Plants (conventional).csv,15.8884388001
1302,Fillans,,,St. fillans,United Kingdom,Hydro,Run-Of-River,21.0,56.7861112,-4.1140517,UK Power Plant.csv,19.1495393338
1303,Porabka zar,Porabka zar,Porąbka Żar,,Poland,Hydro,Pumped Storage,540.0,49.7870326223,19.2133731392,GPI,592.744186047
1304,Zarnowiec,Zarnowiec,Żarnowiec,,Poland,Hydro,Pumped Storage,720.0,54.7554989764,18.0758616365,GPI,790.325581395
1305,Dychow,Dychow,Dychów,,Poland,Hydro,Pumped Storage,90.0,51.8804646067,15.1566213671,GPI,98.7906976744
1306,Solina,Solina,Solina hydrozespół,,Poland,Hydro,Pumped Storage,200.0,49.3955249542,22.4570877941,GPI,219.534883721
1307,Zydowo,Zydowo,Żydowo,,Poland,Hydro,Pumped Storage,157.0,53.655691325,16.728039875,GPI,172.334883721
1308,,Handeck,Handeck isogyre,,Switzerland,Hydro,Pumped Storage,55.0,46.6293385754,8.29937335205,BFE,37.4568273581
1309,Dalesice,Dalesice republic,Dalešice,,Czech Republic,Hydro,Pumped Storage,450.0,49.13773844,16.0874566577,CEPS,633.595284872
1310,Dlouhe strane,Dlouhe strane republic,Dlouhé stráně,,Czech Republic,Hydro,Pumped Storage,650.0,50.1324600515,17.1882166911,CEPS,915.19318926
1311,Nestil tierfehd,,Tierfehd umwälzwerk,,Switzerland,Hydro,Pumped Storage,141.0,46.8786162401,8.98360122114,BFE,96.0256846816
1312,,,Emosson,,Switzerland,Hydro,Reservoir,360.0,46.1062066441,7.06941008156,BFE,245.171960889
1313,Wassen,,Wassen,,Switzerland,Hydro,Run-Of-River,58.0,46.7110991981,8.60447848619,BFE,39.4999270322
1314,Wettingen,,Wettingen dotieranlage,,Switzerland,Hydro,Run-Of-River,27.45,47.4636115771,8.3187617901,BFE,18.6943620178
1315,Sanetsch,,Sanetsch,,Switzerland,Hydro,Reservoir,18.0,46.5207570659,7.57549392675,BFE,12.2585980445
1316,Rothenbrunnen ewz,,Rothenbrunnen ewz,,Switzerland,Hydro,Reservoir,179.0,46.769921098,9.41959324327,BFE,121.90494722
1317,Ferrera trun,,Ferrera,,Switzerland,Hydro,Run-Of-River,4.23,46.7435050176,8.98649363197,BFE,2.88077054045
1318,Brigels tavanasa,,Brigels tavanasa,,Switzerland,Hydro,Run-Of-River,13.0,46.7580621697,9.07174622905,BFE,8.853431921
1319,Krangede,Krangede,,,Sweden,Hydro,Reservoir,268.0,62.8947174286,16.4824107365,,277.471719818
1320,Alrance,Alrance,,,France,Hydro,Reservoir,14.5,44.1189475667,2.68959503333,,15.3213971236
1321,Rance,Rance tidal,,,France,Hydro,Pumped Storage,240.0,48.6141364,-2.0274242,,253.595538597
1322,Argentat,Argentat,,,France,Hydro,Reservoir,48.0,45.1015076667,1.949205,,50.7191077194
1323,Traengslet,Trängslet,,,Sweden,Hydro,Reservoir,490.0,61.3886123333,13.7222238333,,507.317696683
1324,Sveg,Sveg,,,Sweden,Hydro,Reservoir,36.0,62.0234362165,14.2854643363,,37.2723205726
1325,Avce,Avce,,,Slovenia,Hydro,Pumped Storage,185.0,46.0963443333,13.666559,,177.525252525
1326,Torrao,Torrao,,,Portugal,Hydro,Pumped Storage,146.0,41.093974,-8.25267633333,,141.56332338
1327,Salamonde,Salamonde,,,Portugal,Hydro,Reservoir,211.0,41.6878283333,-8.09186833333,,204.588090638
1328,Alto rabagao,Alto rabagao,,,Portugal,Hydro,Reservoir,68.0,41.7463213333,-7.85815066667,,65.9336026699
1329,Alqueva,Alqueva,,,Portugal,Hydro,Reservoir,520.0,38.9872249,-7.8087091,,504.198138064
1330,Koralpe,Koralpe,,,Austria,Hydro,Pumped Storage,50.0,46.6876699667,14.9593783667,,68.8966550175
1331,Kops,Kops,,,Austria,Hydro,Pumped Storage,703.8,46.9796367333,10.0366476833,,969.789316026
1332,Rodund,Rodund,,,Austria,Hydro,Pumped Storage,493.0,47.08418865,9.88232701667,,679.321018472
1333,Sfikia,Sfikia,,,Greece,Hydro,Reservoir,315.0,40.4213561333,22.2390629333,,326.801152738
1334,Vianden,Vianden luxembourg,,,Luxembourg,Hydro,Pumped Storage,1296.0,49.9403308,6.19642686667,,1130.0
1335,Niedzica,Niedzica,,,Poland,Hydro,Pumped Storage,92.8,49.4130813963,20.317433425,,101.864186047
1336,Innerfragant wurten,Innerfragant,,,Austria,Hydro,Reservoir,108.0,47.05724095,12.68911985,,148.816774838
1337,Kruonis,Kruonis lithuania,,,Lithuania,Hydro,Pumped Storage,900.0,54.798433,24.2478345,,792.0
1338,Rifawerk,Rifa,,,Austria,Hydro,Run-Of-River,7.0,46.97627765,10.0408384,,9.64553170245
1339,Malta oberstufe,Malta oberstufe,,,Austria,Hydro,Pumped Storage,120.0,47.07253335,13.34653335,,165.351972042
1340,Chaira,Chaira,,,Bulgaria,Hydro,Pumped Storage,864.0,42.1758327,24.1022056,,1086.85714286
1341,,Reisseck,,,Austria,Hydro,Pumped Storage,430.0,46.98608335,13.34070335,,592.51123315
1342,,Feldsee,,,Austria,Hydro,Reservoir,140.0,46.9958873,13.04388665,,192.910634049
1343,,Cierny vah,,,Slovakia,Hydro,Pumped Storage,735.16,49.009964,19.91980755,,804.526669539
1344,,Liptovska mara,,,Slovakia,Hydro,Reservoir,198.0,49.09861055,19.48888895,,216.682464455
1345,,Ruzin,,,Slovakia,Hydro,Pumped Storage,60.0,48.862355,21.09187995,,65.6613528651
1346,,Venda nova ps,,,Portugal,Hydro,Pumped Storage,736.0,41.6883475,-8.0247785,,713.634287722
1347,,Aguieira brazil,,,Portugal,Hydro,Reservoir,336.0,40.3402425,-8.196889,,325.789566134
1348,,Vilarinho das furnas,,,Portugal,Hydro,Reservoir,125.0,41.7633425,-8.2093825,,121.201475496
