id,Carma,Geo,WRI,Country,Fueltype,Classification,Capacity,lat,lon
199,Fiorano,San Fiorano,S.Fiorano,Italy,Hydro,Pumped Storage Power Plant,568.0,45.7455189667,10.1394183667
200,Presenzano,Presenzano Domenico Cimarosa,Presenzano,Italy,Hydro,Pumped Storage Power Plant,1000.0,41.3782726667,14.08106
201,Porto Corsini,Enel Porto Corsini Teodora,Porto Corsini,Italy,Natural Gas,Combined Cycle Gas Turbine,750.0,44.4613951333,12.2443575667
202,Bexbach C,Bexbach,Bexbach,Germany,Coal,Sub-critical Thermal,773.0,49.35869285,7.24269381467
203,Genova Enel,Enel Genoa,Genova T.,Italy,Coal,Sub-critical Thermal,295.0,44.4054587509,8.92404042382
204,Edolo,Edolo,Edolo,Italy,Hydro,Pumped Storage Power Plant,1000.0,46.1757993333,10.3354393333
205,P Vannucci (Bastardo),Enel Pietro Vannucci Bastardo,Bastardo,Italy,Coal,Sub-critical Thermal,150.0,42.8999472333,12.5445459667
206,Cristobal Colon,Cristobal Colon,Cristobal Colon,Spain,Natural Gas,Combined Cycle Gas Turbine,400.0,37.203505,-6.9433475
207,Felsenau,Felsenau,Felsenau,Switzerland,Hydro,Barrage with run-of-river Generation,11.3,46.9584471683,7.44327150421
208,Nossener Bruecke,Nossener Brücke,Dresden Nossener BrüCke,Germany,Natural Gas,Combined Cycle Gas Turbine,270.0,51.0474265603,13.7283537299
209,Brindisi Enipower,Enipower Spa Brindisi,Enipower Brindisi,Italy,Natural Gas,Combined Cycle Gas Turbine,1321.0,40.6350297667,17.9872442
210,Gondo,Gondo,Gondo,Switzerland,Hydro,Dam on a lake,45.0,46.2389248263,8.09257246292
211,Munchen Nord,Munchen Nord,Nord,Germany,Coal,Sub-critical Thermal,360.0,48.1855533233,11.64136415
212,Olkiluoto,Olkiluoto Tvo Finland,Olkiluoto,Finland,Nuclear,,1920.0,61.2370222222,21.4420666666
213,Tynagh,Tynagh,Tynagh,Ireland,Natural Gas,Combined Cycle Gas Turbine,404.0,53.1662,-8.381575
214,Westfalen,Westfalen,Westfalen,Germany,Coal,Sub-critical Thermal/Super-critical Thermal,1905.0,51.67193891,7.9552489205
215,Markersbach,Markersbach,Markersbach,Germany,Hydro,,1045.0,50.6882536,12.8710693
216,Charlottenburg,Charlottenburg,Charlottenburg,Germany,Natural Gas,Power and Heat Open Cycle Gas Turbine,214.0,52.521201555,13.3695633301
217,Goldisthal,Goldisthal,Goldisthal,Germany,Hydro,Pumped Storage Power Plant,1060.0,50.5143028333,11.0031385
218,Wedel,Wedel,Wedel,Germany,Coal,Sub-critical Thermal,391.7,53.56657902,9.7254667765
219,Reuter West,Reuter West,West,Germany,Coal,Sub-critical Thermal,600.0,52.8517615167,11.87421464
220,Porjus Nya,Porjus,Porjus,Sweden,Hydro,Dam on river with reservoir,465.0,66.9591349801,19.8115146143
221,Diemen,Diemen 33,Diemen,Netherlands,Natural Gas,Power and Heat Combined Cycle Gas Turbine,266.0,52.3391606667,5.0206236
