id,Carma,Geo,WRI,Country,Fueltype,Classification,Capacity,lat,lon
1161,Bjolvo,,Bjolvo,Norway,Hydro,,153.2,60.39299,5.32415
1162,Brattset,,Brattset,Norway,Hydro,,92.0,62.8,9.9833333
1163,Gresslifoss,,Gresslifoss,Norway,Hydro,,26.0,63.0833333,11.5
1164,Nyhamna,,Rka Nyhamna,Norway,Natural Gas,,253.0,62.85,6.9666667
1165,Maxau,,Stora Enso Maxau,Germany,Waste,,89.1,49.00939505,8.39513495
1166,Bjorndalselva,,Bjorndalselva,Norway,Hydro,,6.0,61.5166667,6.25
1167,Ovre Svultingen,,Ovre Svultingen,Norway,Hydro,,5.0,61.22036,6.07494
1168,Hamm Mva,,Mva Hamm,Germany,Waste,,18.04,51.6709412082,7.81877673171
1169,Paks,,Paks,Hungary,Nuclear,,2000.0,46.5725,18.8541666667
1170,Rugenberger Damm,,Mvr MüLlverwertung Rugenberger Damm Gmbh Co. Kg,Germany,Waste,,29.0,53.5501707,10.000327
1171,Trea Leuna,,Trea Leuna,Germany,Waste,,33.55,51.3166667,12.0166667
1172,Konigs Wusterhausen Mvv,,Bmkw KöNigs Wusterhausen,Germany,Waste,,20.0,52.3004310787,13.6287210674
1173,Bmkw Mannheim,,Bmkw Mannheim,Germany,Waste,,20.0,49.48896235,8.46597915
1174,Mhkw Mannheim,,Mannheim,Germany,Waste,,103.9,49.48896235,8.46597915
1175,Sandreuth,,Sandreuth,Germany,Natural Gas,,150.0,49.45082515,11.0728154
1176,Bremen Hafen,,Hafen,Germany,Waste,,33.0,53.0754876397,8.80746909505
1177,Erfurt Ost,,Erfurt Ost,Germany,Natural Gas,,109.1,50.99751221,11.03444396
1178,Tafjord ,,Tafjord,Norway,Hydro,,319.0,62.0833333,5.8333333
1179,Los Alburejos,,Alburejos,Spain,Wind,,10.0,36.456948,-5.927173
1180,Pico Collalbas,,Pico Collalbas,Spain,Wind,,30.0,39.8666667,-1.6333333
1181,Klarsee,,Bioenergie Park Klarsee,Germany,Waste,,20.0,53.3217143,14.2584266
1182,Neubrandenburg Gud,,Gud Neubrandenburg,Germany,Natural Gas,,75.0,53.559469325,13.278078235
1183,Mynydd Clogau,,Mynydd Clogau,United Kingdom,Wind,,14.45,52.40473915,-3.51946495
1184,Ardrossan,,Ardrossan Extension,United Kingdom,Wind,,30.0,56.2181465375,-4.46032129771
1185,Dalswinton,,Dalswinton,United Kingdom,Wind,,30.0,55.9686188511,-3.89174836291
1186,Lauta,,Thermische Abfallbehandlung Lauta Gmbh Co. Ohg,Germany,Waste,,22.0,51.4666667,14.0666667
1187,Smavatna,,Smavatna,Norway,Hydro,,23.0,69.9333333,21.7166667
1188,Tevla,,Tevla,Norway,Hydro,,60.0,63.4,11.75
1189,Meraker,,Meraker,Norway,Hydro,,108.0,63.41406,11.74298
1190,Bogna,,Bogna,Norway,Hydro,,60.0,64.3833333,11.4
1191,Aunfoss,,Aunfoss,Norway,Hydro,,36.0,64.6166667,12.5666667
1192,Lakshola,,Lakshola,Norway,Hydro,,34.0,70.0086111,21.2544444
1193,Mosvik,,Mosvik,Norway,Hydro,,46.0,63.8177,11.00581
1194,Hakvik,,Hakvik,Norway,Hydro,,11.0,68.4,17.3166667
1195,Sildvik,,Sildvik,Norway,Hydro,,75.0,68.7,15.0833333
1196,Vrangfoss,,Vrangfoss,Norway,Hydro,,42.0,59.3,9.2166667
1197,Svandalsflona,,Svandalsflona,Norway,Hydro,,20.0,59.85,6.9833333
1198,Kvanndal,,Kvanndal,Norway,Hydro,,50.0,59.7333333,7.0333333
1199,Novle,,Novle,Norway,Hydro,,50.0,59.8333333,6.9
1200,Froystul,,Froystul,Norway,Hydro,,50.0,59.55,9.25
1201,Suldal,,Suldal,Norway,Hydro,,350.0,59.6333333,6.8
1202,Nye Tyin,,Tyin,Norway,Hydro,,440.0,61.55,6.35
1203,Eidsfoss Telemark,,Eidsfoss,Norway,Hydro,,18.0,59.3,9.2166667
1204,Saheim,,Saheim,Norway,Hydro,,206.0,59.55,9.25
1205,Moflat,,Moflat,Norway,Hydro,,33.0,59.55,9.25
1206,Mael,,Mal,Norway,Hydro,,50.0,59.55,9.25
1207,Svelgfoss,,Svelgfoss,Norway,Hydro,,111.0,59.55936,9.25853
1208,Roldal,,Roldal,Norway,Hydro,,192.0,59.8166667,6.8
1209,Fortun,,Fortun,Norway,Hydro,,278.82,61.5,7.6833333
1210,Vemork New,,Vemork,Norway,Hydro,,224.0,59.55,9.25
1211,Havoygavlen,,Havoygavlen,Norway,Wind,,40.0,69.5833333,18.1291667
1212,Bodenaya,,Bodenaya,Spain,Wind,,18.0,43.403945,-6.316441
1213,Sierra  Tineo,,Tineo,Spain,Wind,,44.0,43.337651,-6.414516
1214,Nufri,,Nufri,Spain,Natural Gas,,19.42,41.6333333,0.9
1215,Naddvik,,Naddvik,Norway,Hydro,,118.0,61.2,7.6166667
1216,Lysbotn,,Lysbotn,Norway,Hydro,,6.0,69.3833333,17.8333333
1217,Bergsbotn,,Bergsbotn,Norway,Hydro,,10.0,69.4333333,17.4666667
1218,Dividalen,,Dividalen,Norway,Hydro,,30.0,68.9333333,19.5166667
1219,Lavkajakka,,Lavkajohka,Norway,Hydro,,10.0,69.25,20.583333
1220,Soa,,Soa,Norway,Hydro,,45.0,63.29057,9.08909
1221,Haen,,Haen,Norway,Hydro,,30.0,64.2666667,10.5833333
1222,Bessakerfjellet,,Bessakerfjellet,Norway,Wind,,58.0,63.35,9.2666667
1223,Tussa,,Tussa,Norway,Hydro,,64.0,62.8666667,7.55
1224,Karcherstrasse,,Karcherstr. Coal,Germany,Coal,,13.4,49.4466087,7.75949755
1225,Fulda Ic,,Fulda,Germany,Oil,,24.8,50.5518826624,9.67584476391
1226,Eid,,Eid,Norway,Hydro,,11.0,60.6166667,10.5
1227,Torpa,,Torpa,Norway,Hydro,,170.0,61.0,10.0333333
1228,Skjak,,Skjak,Norway,Hydro,,35.0,61.8666667,8.3666667
1229,Lomen,,Lomen,Norway,Hydro,,60.0,61.1333333,8.9333333
1230,Savalen,,Savalen,Norway,Hydro,,78.0,62.10766,10.63073
1231,Hunderfossen,,Hunderfossen,Norway,Hydro,,124.0,61.11514,10.46628
1232,Dokka,,Dokka Kr,Norway,Hydro,,50.0,60.84001,10.0618
1233,Bagn,,Bagn,Norway,Hydro,,85.0,60.82249,9.55207
1234,Faslefoss,,Faslefoss,Norway,Hydro,,20.0,60.9666667,9.3
1235,Framruste,,Framruste,Norway,Hydro,,85.0,61.8666667,8.3666667
1236,Harpefossen,,Harpefossen,Norway,Hydro,,100.0,61.5666667,9.9333333
1237,Ovre Vinstra,,Ovre Vinstra,Norway,Hydro,,150.0,61.4666667,9.3666667
1238,Oyberget,,Oyberget,Norway,Hydro,,109.0,61.9166667,8.0833333
1239,Einunna,,Einunna,Norway,Hydro,,12.0,62.13246,9.9968
1240,Kirkby Moor,,Kirkby Moor,United Kingdom,Wind,,5.0,53.2159880816,-1.78154693177
1241,Neef,,Neef,Germany,Hydro,,16.4,50.0946714,7.1355621
1242,Madrid Tolsa,,Tolsa,Spain,Natural Gas,,19.55,43.1348402092,-2.07800648481
1243,Werk Eltmann,,Eltmann,Germany,Natural Gas,,57.0,49.96958415,10.66643655
1244,Werk Worth,,WöRth,Germany,Natural Gas,,61.65,49.0561894,8.2576755
1245,Duren,,Mt DüRen,Germany,Other,,14.0,50.8015842,6.48270695
1246,Velsen,,Velsen,Netherlands,Natural Gas,,885.258,52.46933445,4.6388225
1247,Adrano,,Paxareiras B Adrano,Spain,Wind,,21.6,42.823295044,-9.08912658691
1248,Alentisque,,Alentisque,Spain,Wind,,51.15,41.420588,-2.33189
1249,Las Loras,,Lora,Spain,Wind,,103.54,42.740185,-4.08687
1250,Los Cantales,,Cantales,Spain,Wind,,24.0,41.633616,-1.274399
1251,Deva Tea,,Deva,Spain,Wind,,39.6,42.2166667,-8.2666667
1252,Scout Moor,,Scout Moor,United Kingdom,Wind,,65.0,52.9513881583,-1.38582454255
1253,Thyrow,,Thyrow,Germany,Natural Gas,,300.0,52.25,13.2333333
1254,Eemmeerdijk,,Rachel Carson Eemmeerdijk,Netherlands,Wind,,19.0,52.3375597,5.49987229118
1255,Hohenwarte,,Hohenwarte,Germany,Hydro,,382.75,50.6033062,11.48290445
1256,Gallejaur,,Gallejuar,Sweden,Hydro,,220.0,64.9120576707,19.4815278053
1257,Moabit,,Moabit Coal,Germany,Coal,,153.0,52.5207023326,13.3996949951
1258,Forsmo,,Forsmo,Sweden,Hydro,,158.0,63.1666667,17.2666667
1259,Ulketocht,,Ulketocht,Netherlands,Wind,,6.0,52.838333,4.891667
1260,Lasele,,Lasele,Sweden,Hydro,,165.0,63.62446035,17.00629495
1261,Uppsala,,Uppsala,Sweden,Waste,,130.0,59.8585015379,17.6454269886
1262,Umluspen,,Umluspen,Sweden,Hydro,,100.0,65.095904961,17.1173107624
1263,Bastusel,,Bastusel,Sweden,Hydro,,114.0,65.35,18.6166667
1264,Porsi,,Porsi,Sweden,Hydro,,282.0,66.4303768346,20.6243419647
1265,Edinbane,,Edinbane,United Kingdom,Wind,,41.4,56.3690855433,-3.65526644364
1266,Amsterdam Harbor,,Amsterdam Westpoort,Netherlands,Wind,,15.0,52.3742316023,4.89384204759
1267,Hare Hill Bwl,,Hare,United Kingdom,Wind,,6.0,52.6806535409,-1.69578540414
1268,Stensele,,Stensele,Sweden,Hydro,,54.0,65.0833333,17.1666667
1269,Rusfors,,Rusfors,Sweden,Hydro,,45.0,64.5953688552,18.6735069752
1270,Ebs Hkw Rostock,,Ebs Rostock,Germany,Waste,,20.0,54.0905710212,12.1345530464
1271,Leringsforsen,,Leringsforsen,Sweden,Hydro,,9.0,62.5666667,16.4166667
1272,Langed,,Langed,Sweden,Hydro,,5.5,58.9166667,12.3
1273,Vargfors,,Vargfors,Sweden,Hydro,,136.0,64.9120576707,19.4815278053
1274,Breuberg/Odenwald,,Industriekraftwerk Breuberg,Germany,Natural Gas,,11.4,49.82022205,9.031556
1275,Gabersdorf,,Gabersdorf,Austria,Hydro,,14.5,46.7772222,15.5841667
1276,Landl,,Landl,Austria,Hydro,,25.0,47.65,14.7166667
1277,St Martin,,St. Martin,Austria,Hydro,,11.4,47.4466650226,15.2849006653
1278,Bruck An Der Leitha,,Park Bruck An Der Leitha,Austria,Wind,,9.0,48.0166667,16.7666667
1279,Altenmarkt,,Altenmarkt,Austria,Hydro,,26.0,46.7666667,15.55
1280,Triebenbach,,Triebenbach,Austria,Hydro,,11.89,47.5,14.4666667
1281,Perach,,Perach,Germany,Hydro,,21.0,48.26668335,12.76668335
1282,Leinau,,Dkw Leinau,Germany,Oil,,13.996,47.9205014553,10.6263181035
1283,Vigelands,,Vigeland,Norway,Hydro,,30.0,58.26936,7.97413
1284,Vikaelva,,Vikaelva,Norway,Hydro,,6.0,59.7833333,6.1
1285,Coterejon,,Coterejon,Spain,Wind,,18.0,40.453225,-4.464712
1286,Bomlitz Probis,,Bomlitz,Germany,Natural Gas,,22.1,52.9016178,9.6545357
1287,Gallego,,En Villanueva Galleg,Spain,Waste,,14.14,41.769165,-0.823496
1288,Wolfsburg Nord,,Nord,Germany,Coal,,261.5,52.42694605,10.7930841
1289,Burghausen,,Dampfkraftwerk Bgh O,Germany,Natural Gas,,203.4,48.1678265,12.83190745
1290,Entredicho,,Entredicho,Spain,Wind,,36.0,41.342449,-0.959883
1291,Cedillo,,Cedillo,Spain,Hydro,,495.18,39.650989,-7.498171
1292,Cerro  Higuera,,Higuera,Spain,Wind,,50.3,36.8780415051,-4.84694480896
1293,Sobradelo,,Sobradelo,Spain,Hydro,,44.25,42.527319,-8.008592
1294,Munilla,,Munilla Lasanta,Spain,Wind,,46.0,42.188998,-2.295061
1295,Ferreira ,,Ferreira,Spain,Wind,,49.5,37.1833333,-3.0666667
1296,Stonebyres,,Stonebyres,United Kingdom,Hydro,,6.0,56.22638895,-3.98202585
1297,Rye House ,,Rye House,United Kingdom,Natural Gas,,715.0,51.99812905,-0.226963018849
1298,Capiruza,,Capiruza Mw Mw,Spain,Wind,,92.0,38.728796,-2.005001
1299,Alcora Cotasa,,Cotasa,Spain,Natural Gas,,14.071,40.0666667,-0.2
1300,Kendoon,,Kendoon,United Kingdom,Hydro,,24.0,55.9298349005,-4.1274398532
1301,Maranchon ,,Maranchon,Spain,Wind,,127.3,41.047537,-2.204818
1302,Bolanos,,Bolanos,Spain,Wind,,24.0,36.686454,-6.136063
1303,Virgen Los Llanos ,,Virgen Llanos,Spain,Wind,,49.5,39.8666667,-1.2166667
1304,Canoneras,,Canoneras,Spain,Wind,,32.3,43.38278,-4.002412
1305,Cernadilla,,Cernadilla,Spain,Hydro,,33.32,42.020834,-6.417007
1306,Torrejon,,Torrejon,Spain,Hydro,,130.36,39.770679,-6.012595
1307,Retuerta,,Retuerta,Spain,Wind,,38.0,37.507562,-7.270384
1308,Malefaton,,Malefaton Modif. Pot.,Spain,Wind,,49.5,39.8666667,-1.2166667
1309,Los Linos,,Lirios,Spain,Wind,,48.0,37.614274,-7.248783
1310,Rigged Hill,,Rigged,United Kingdom,Wind,,5.0,54.8536660461,-6.75708801195
1311,Damhead Creek,,Damhead Creek,United Kingdom,Natural Gas,,808.0,51.43954405,-0.190962920249
1312,Serra Do Burgo ,,Serra Do Burgo,Spain,Wind,,27.2,42.25,-7.3833333
1313,Glenlee,,Glenlee,United Kingdom,Hydro,,24.0,55.8635314409,-4.02094701876
1314,Dolar,,Dolar,Spain,Wind,,100.0,37.176599,-2.950238
1315,Earlstoun,,Earlstoun,United Kingdom,Hydro,,14.0,55.8635314409,-4.02094701876
1316,Cruach Mhor,,Cruach Mhor,United Kingdom,Wind,,30.0,56.4180556,-4.6153592
1317,Cortijo  Linera,,Cortijo Linera,Spain,Wind,,28.0,38.114371,-2.571094
1318,Cerro   Punta,,Cuervo,Spain,Wind,,24.42,39.8666667,-1.2166667
1319,Grado,,Grado,Spain,Wind,,27.2,39.876994,-0.05583
1320,Hueneja ,,Hueneja,Spain,Wind,,49.5,37.176599,-2.950238
1321,Clodio,,Clodio,Spain,Hydro,,19.57,42.4666667,-7.2833333
1322,Esteban,,Esteban,Spain,Hydro,,438.45,42.4171203547,-7.74982452393
1323,Monzon Ew,,En Monzon,Spain,Waste,,14.8,41.9108367214,0.194063186646
1324,Blackburn,,Blackburn,United Kingdom,Natural Gas,,62.2,52.993018525,-1.47508545372
1325,Valbonilla,,Valbonilla,Spain,Wind,,13.75,42.1984168601,-4.18686389923
1326,Larouco,,Larouco,Spain,Wind,,41.65,42.0635039979,-7.72459030151
1327,Valdefuentes,,Valdefuentes,Spain,Wind,,28.0,37.507562,-7.270384
1328,Cerro Calderon,,Calderon,Spain,Wind,,85.5,39.40849,-2.201728
1329,Sobron,,Sobron,Spain,Hydro,,28.8,42.777751,-3.045774
1330,Longannet,,Longannet,United Kingdom,Coal,,2400.0,56.4175000445,-3.89827585
1331,Pontenovo,,Pontenovo,Spain,Hydro,,38.6,42.3833333,-7.2333333
1332,Escalon,,Escalon,Spain,Wind,,30.0,40.166902,-4.404839
1333,Cabana,,Cabana,Spain,Wind,,41.65,39.233956,-3.852476
1334,Aranda Michelin,,Michelin Aranda,Spain,Natural Gas,,31.866,41.6704114242,-3.68919610977
1335,Hontalbila,,Hontalbilla,Spain,Wind,,65.45,41.345515,-4.121494
1336,Montefurado,,Montefurado,Spain,Hydro,,44.29,42.476778,-7.27463
1337,Cortes  Muela,,Muela,Spain,Hydro,,1511.95,39.25,-0.9333333
1338,Valladolid Michelin,,Michelin Valladolid $$,Spain,Natural Gas,,47.845,41.655181,-4.72372
1339,Labradas,,Labradas Fusionado Re + Re,Spain,Wind,,36.55,42.098301,-5.858016
1340,Hedroso Aciberos,,Hedroso Aciberos,Spain,Wind,,45.45,42.035687,-6.905408
1341,Clares,,Clares,Spain,Wind,,32.0,41.033654,-2.143398
1342,Azutan,,Azutan,Spain,Hydro,,198.01,39.809663,-5.147375
1343,Greengate,,Pilkington Greengate,United Kingdom,Natural Gas,,10.0,52.8584917392,-1.35213599733
1344,Escurrillo,,Escurrillo,Spain,Wind,,49.5,42.214226,-2.164884
1345,Canalejas,,Canalejas,Spain,Wind,,18.7,39.85,-0.75
1346,Saucito,,Saucito,Spain,Wind,,30.25,37.548609,-7.114699
1347,Clachan Flats,,Clachan Flats,United Kingdom,Wind,,15.03,56.5208438475,-4.52609152509
1348,Lafortunada Cinqueta,,Lafortunada Cinqueta,Spain,Hydro,,41.4,42.574054,0.182409
1349,Corkey,,Corkey,United Kingdom,Wind,,5.0,54.845108075,-6.42338425484
1350,Carsfad,,Carsfad,United Kingdom,Hydro,,12.0,55.8635314409,-4.02094701876
1351,Alarcon,,C.H. En Alarcon,Spain,Hydro,,19.0,39.55,-2.0833333
1352,Vitoria Michelin,,Neumaticos Michelin Vitoria,Spain,Natural Gas,,56.675,42.85,-2.6666667
1353,Barazar,,Barazar,Spain,Hydro,,83.2,43.1,-2.75
1354,Las Cabezas,,Cabezas,Spain,Wind,,17.4,37.614274,-7.248783
1355,Martin Lugo,,Martin,Spain,Hydro,,10.29,42.476778,-7.27463
1356,Padornelo,,Padornelo,Spain,Wind,,49.45,42.035687,-6.905408
1357,Higueruela,,Higueruela,Spain,Wind,,37.62,39.8666667,-1.2166667
1358,Benageber,,Benageber,Spain,Hydro,,19.0,39.7166667,-1.1
1359,Tongland,,Tongland,United Kingdom,Hydro,,33.0,55.073558601,-4.14082800641
1360,Holmen Peninsular,,Peninsular,Spain,Natural Gas,,59.5,40.284189,-3.794147
1361,Andernach,,Ihkw Andernach,Germany,Waste,,13.65,49.2175439051,7.62726751764
1362,Icstm,,London Heat Power Company,United Kingdom,Natural Gas,,9.0,51.5079253379,-0.126694629309
1363,Reinset,,Reinset,Norway,Hydro,,5.0,60.25,6.5666667
1364,Los Lances ,,Lances,Spain,Wind,,10.68,36.01393,-5.606949
1365,Casa  Aire ,,Casa,Spain,Wind,,129.86,38.950478,-2.540476
1366,Kublis,,KüBlis,Switzerland,Hydro,,45.6,46.78601325,8.62340065
1367,Schlappin,,Schlappin,Switzerland,Hydro,,6.1,46.95,9.75
1368,Puertollano Repsol,,Repsol Puertollano,Spain,Natural Gas,,121.0,38.6871177047,-4.10734176636
1369,Cartagena Repsol,,Repsol Quimica Cogeneracio Morell,Spain,Natural Gas,,44.74,37.605121,-0.986232
1370,Coryton Intergen,,Coryton,United Kingdom,Natural Gas,,800.0,51.87348155,0.021276881151
1371,Rocksavage,,Rocksavage,United Kingdom,Natural Gas,,810.0,52.775698525,-1.59620030372
1372,Spalding Intergen,,Spalding,United Kingdom,Natural Gas,,880.0,52.802211575,-0.402014103417
1373,Menuza,,Menuza,Spain,Hydro,,27.716,41.321664,-0.35075
1374,Sastago,,Sastago,Spain,Hydro,,20.3,41.321664,-0.35075
1375,Pravizin  (Bruggwiti),,Pravizin Bruggwiti,Switzerland,Hydro,,5.0,47.0905787286,9.34301376343
1376,Deeside,,Deeside,United Kingdom,Natural Gas,,515.0,52.7534053,-3.36137245
1377,Raubling,,Hbb,Germany,Natural Gas,,24.06,47.7929316489,12.1134444527
1378,Dernier,,Dernier,Switzerland,Hydro,,28.0,47.0721841726,7.77811758379
1379,Peuffeyre,,Peuffeyre,Switzerland,Hydro,,24.0,46.2684696,8.092323
1380,Montcherand,,Montcherand,Switzerland,Hydro,,15.6,46.7336252354,6.50819778442
1381,North Hoyle,,North Hoyle,United Kingdom,Wind,,60.0,52.8151444816,-3.57334733476
1382,Siglos,,Siglos,Spain,Wind,,18.0,36.01393,-5.606949
1383,Kielder,,Kielder,United Kingdom,Hydro,,6.0,52.9147315611,-2.26863831052
1384,Farr,,Farr,United Kingdom,Wind,,102.0,57.0603005452,-4.0523906299
1385,Pulpal,,Pulpal,Spain,Wind,,17.25,41.779013,-1.983913
1386,Halsteren,,Halsteren,Netherlands,Wind,,6.8,51.5124650023,4.27879297553
1387,Bosque Alto,,Bosque,Spain,Wind,,21.75,41.538796,-0.996151
1388,Plana  Zaragoza,,Plana Zaragoza,Spain,Wind,,24.0,41.580138,-1.117193
1389,Westereems,,Westereems,Netherlands,Wind,,213.3,53.558866,6.640649
1390,Muden,,MüDen,Germany,Hydro,,16.4,49.6915534409,7.18477640116
1391,Ludwigshafen Kw Sud,,SüD,Germany,Natural Gas,,390.0,49.4801733,8.43719755
1392,Bryn Titli,,Bryn Titli,United Kingdom,Wind,,10.0,52.2971777704,-3.62519499972
1393,Koblenz Mosel,,Koblenz,Germany,Hydro,,17.36,50.3516639,7.59719755
1394,Zeltingen,,Zeltingen,Germany,Hydro,,13.6,49.95,7.0166667
1395,Lutschental,,LüTschental,Switzerland,Hydro,,11.7,46.698897,8.036894
1396,Sagevikelv,,Sagevikelv,Norway,Hydro,,6.0,60.4833333,5.7333333
1397,Werk Sigmundshall,,Sigmundshall,Germany,Natural Gas,,19.0,52.4295656,9.4230546
1398,Orellana,,Orellana Pie Presa,Spain,Hydro,,18.53,39.006167,-5.534411
1399,Montero Ebro,,Monteros,Spain,Wind,,25.5,41.791019,-1.213567
1400,Los Visos,,Visos,Spain,Wind,,61.92,41.633616,-1.274399
1401,Ehingen,,Werkskraftwerk Sappi Ehingen,Germany,Waste,,21.2,48.6,10.8
1402,Kassel Fwk,,Fkk,Germany,Coal,,36.0,51.3128438,9.48814905
1403,Dortmund Gasruss,,Dortmund,Germany,Natural Gas,,26.575,51.515447,7.45763945
1404,Waldshut,,Waldshut,Germany,Hydro,,158.4,47.927766175,8.07499604388
1405,Torr Achilty,,Torr Achilty,United Kingdom,Hydro,,15.0,57.5333333,-4.4833333
1406,Knutfoss,,Knutfoss,Norway,Hydro,,5.0,64.46543,12.31491
1407,Fasnakyle,,Fasnakyle,United Kingdom,Hydro,,77.0,57.066044146,-4.43839830178
1408,Chippenham,,Chippenham,United Kingdom,Natural Gas,,10.21,51.02738635,-2.0384604
1409,Chickerell,,Chickerell,United Kingdom,Natural Gas,,45.0,50.6030662643,-2.20276723731
1410,Tummel Bridge,,Tummel,United Kingdom,Hydro,,34.0,56.7075397291,-4.02103896013
1411,Bin Mountain,,Bin Mountain,United Kingdom,Wind,,9.0,54.678441425,-7.08171760485
1412,Inverawe,,Inverawe,United Kingdom,Hydro,,25.0,56.9112253761,-4.89760864035
1413,Hagesholm,,Hagesholm,Denmark,Wind,,23.0,55.7166667,11.7166667
1414,Barenburg,,BäRenburg,Switzerland,Hydro,,220.76,46.8994574329,8.92917025017
1415,Thusis,,Thusis,Switzerland,Hydro,,4.6,46.6972428121,9.43938016891
1416,Ilanz  (Tavanasa),,Ilanz,Switzerland,Hydro,,34.5,47.1470550598,9.06934438913
1417,Zervreila,,Zervreila,Switzerland,Hydro,,22.0,46.6127911086,9.17791282473
1418,Safien,,Safien Platz,Switzerland,Hydro,,99.32,47.06187515,8.4516509
1419,Realta,,Realta,Switzerland,Hydro,,26.0,47.05382665,9.3461269
1420,Meitingen,,Meitingen,Germany,Hydro,,15.0,48.55,10.85
1421,Tjorhom,,Tjorhom,Norway,Hydro,,140.0,58.66263,6.71694
1422,Arteixo Gensabon,,Gensabon,Spain,Natural Gas,,14.6,43.3048190371,-8.50749492645
1423,Ytre Alsaker,,Ytre Alsaker,Norway,Hydro,,5.49,60.3833333,6.5
1424,Oltesvik,,Oltesvik,Norway,Hydro,,6.0,58.85,6.1
1425,Hjelmeland,,Hjelmeland,Norway,Hydro,,6.0,59.2333333,6.1833333
1426,Oltedal Lyse,,Oltedal,Norway,Hydro,,10.0,58.8333333,6.0333333
1427,Maudal,,Maudal,Norway,Hydro,,29.0,58.7666667,6.35
1428,Lysebotn,,Lysebotn,Norway,Hydro,,264.0,59.55,5.9666667
1429,Glanford,,Glanford,United Kingdom,Waste,,13.5,52.9068484627,-0.558537903321
1430,Westfield Fife,,Westfield,United Kingdom,Waste,,12.0,56.1430996201,-3.25687398595
1431,Royd Moor,,Royd Moor,United Kingdom,Wind,,7.0,53.7290655956,-1.40821805741
1432,Ovenden Moor,,Ovenden Moor,United Kingdom,Wind,,9.2,53.8358806196,-1.59002484517
1433,Eye,,Eye Suffolk,United Kingdom,Waste,,13.0,52.4213212503,-0.327395859254
1434,Thetford Fibrowatt,,Thetford,United Kingdom,Waste,,39.0,52.4166667,0.75
1435,Soderfors,,Soderfors,Sweden,Hydro,,20.0,60.41594505,17.24896905
1436,Eidsfoss Sfe,,Eidsfo,Norway,Hydro,,7.0,61.8166667,6.15
1437,Cavergno,,Cavergno,Switzerland,Hydro,,114.0,46.9038076,8.99411515
1438,Hkw Niederrad,,Niederrad,Germany,Natural Gas,,126.0,50.098164945,8.6549788425
1439,Hastedt,,Hastedt,Germany,Coal,,280.0,53.0754876397,8.80746909505
1440,Helmshager Berg,,"""HelmshäGer Berg""",Germany,Natural Gas,,15.0,54.0978955,13.38242855
1441,Leipzig Gud,,Leipzig Nord,Germany,Natural Gas,,171.0,51.345306355,12.37961924
1442,Bischofferode,,Biomassekraftwerk Bischofferode,Germany,Waste,,20.0,51.4183735,11.40743795
1443,Lemgo West,,West,Germany,Natural Gas,,12.8,52.03070035,8.9006447
1444,Lunen Bhkw,,Bhkw,Germany,Natural Gas,,13.04,52.54253615,8.9629386
1445,Uppenbornwerk,,Uppenborn,Germany,Hydro,,43.1,48.4666667,11.9333333
1446,Bergeforsen,,Bergeforsen,Sweden,Hydro,,166.0,62.5333333,17.3833333
1447,Asele,,Asele,Sweden,Hydro,,27.0,63.99112705,17.2229616
1448,Niederwartha,,Niederwartha,Germany,Hydro,,120.0,51.0925563986,13.6048026776
1449,Jostedal,,Jostedal,Norway,Hydro,,320.0,61.5827964745,7.27655410767
1450,Grana (No),,Grana,Norway,Hydro,,90.0,62.8833333,9.8333333
1451,Kvarnaholm,,Kvarnaholm,Sweden,Hydro,,5.6,60.45,14.55
1452,Bjerka,,Bjerka,Norway,Hydro,,29.0,66.15,13.8833333
1453,Angaback,,Angaback,Sweden,Hydro,,7.0,56.4833333,13.5
1454,Hove,,Hove,Norway,Hydro,,73.0,62.05,5.3333333
1455,Oksla,,Oksla,Norway,Hydro,,240.0,60.7030556,4.7044444
1456,Rana,,Rana,Norway,Hydro,,570.0,68.35,17.0166667
1457,Kjela,,Kjela,Norway,Hydro,,72.0,59.3,9.0333333
1458,Trollheim,,Trolheim,Norway,Hydro,,169.0,62.85,9.0833333
1459,Songa,,Songa,Norway,Hydro,,140.0,59.5666667,8.0
1460,Leirdola,,Leirdola,Norway,Hydro,,130.0,61.4833333,7.2166667
1461,Skogaby,,Skogaby,Sweden,Hydro,,12.5,56.5333333,13.1833333
1462,Refsdal ,,Refsdal,Norway,Hydro,,100.0,61.0333333,6.5833333
1463,Tasjo,,Tasjo,Sweden,Hydro,,14.0,64.2166667,15.9
1464,Karsefors,,Karsefors,Sweden,Hydro,,31.4,56.5120653165,13.0437111855
1465,Haukeli,,Haukeli,Norway,Hydro,,6.0,59.75,7.5166667
1466,Aura,,Aura,Norway,Hydro,,352.0,62.67545,8.55153
1467,Hylte,,Hylte,Sweden,Hydro,,26.0,57.4536111,12.0055556
1468,Saurdal,,Saurdal,Norway,Hydro,,674.0,58.9463889,5.6802778
1469,Harrsele,,Harrsele,Sweden,Hydro,,223.0,64.0,19.5666667
1470,Skallbole,,Skallbole,Sweden,Hydro,,46.0,62.3666667,16.9666667
1471,Innset,,Innset,Norway,Hydro,,105.0,68.65,18.8333333
1472,Svorka,,Svorka,Norway,Hydro,,25.0,62.3,5.9166667
1473,Norddalen,,Norddalen,Norway,Hydro,,9.0,68.55,17.5833333
1474,Hoting,,Hoting,Sweden,Hydro,,15.0,64.1166667,16.1666667
