"id","Name","Fueltype","Classification","Country","Capacity","lat","lon","Geoposition","File"
159,"Stensele","Hydro","Reservoir","Sweden",50,65.054381,17.231956,"65.054381,17.231956",
160,"Stor foskvattnet","Hydro","Reservoir","Sweden",,63.932284,14.527523,"63.932284,14.527523",
161,"Stora stensjön","Hydro","Reservoir","Sweden",95,64.165538,14.599142,"64.165538,14.599142",
162,"Storavan bergnäs krv","Hydro","Reservoir","Sweden",,,,,
163,"Storfinnforsens","Hydro","Reservoir","Sweden",112,63.597386,16.119386,"63.597386,16.119386",
164,"Storjunktadammen","Hydro","Reservoir","Sweden",,,,,
165,"Stornorrfors","Hydro","Reservoir","Sweden",1500,63.8525,20.051667,"63.8525,20.051667",
166,"Strömmen","Hydro","Reservoir","Sweden",,,,,
167,"Suorvadammen vietas","Hydro","Reservoir","Sweden",,67.521956,18.196317,"67.521956,18.196317",
168,"Svartafors","Hydro","Reservoir","Sweden",,58.450011,15.491865,"58.450011,15.491865",
169,"Svarthalsforsens","Hydro","Reservoir","Sweden",80,63.028896,16.569358,"63.028896,16.569358",
170,"Sveg","Hydro","Reservoir","Sweden",,62.00902,14.206621,"62.00902,14.206621",
171,"Trangfors","Hydro","Reservoir","Sweden",73,,,,
172,"Traryd","Hydro","Reservoir","Sweden",14.4,56.584337,13.756098,"56.584337,13.756098",
173,"Tuggen","Hydro","Reservoir","Sweden",110,64.479423,18.878073,"64.479423,18.878073",
174,"Turinge","Hydro","Reservoir","Sweden",18,,,,
175,"Tvärforsen","Hydro","Reservoir","Sweden",9,,,,
176,"Untra","Hydro","Reservoir","Sweden",42,60.56421,17.439184,"60.56421,17.439184",
177,"Vargfors","Hydro","Reservoir","Sweden",360,65.022723,19.679938,"65.022723,19.679938",
178,"Vargön","Hydro","Reservoir","Sweden",35.3,58.355556,12.374444,"58.355556,12.374444",
179,"Vässinkoski","Hydro","Reservoir","Sweden",,61.490515,14.712678,"61.490515,14.712678",
180,"Viforsens","Hydro","Reservoir","Sweden",,62.311094,17.172947,"62.311094,17.172947",
181,"Viggeby","Hydro","Reservoir","Sweden",1.03,58.469057,16.368458,"58.469057,16.368458",
182,"Vittjärv","Hydro","Reservoir","Sweden",30,65.846755,21.553147,"65.846755,21.553147",
183,"Vojmsjön","Hydro","Reservoir","Sweden",,,,,
184,"Volgsjöfors","Hydro","Reservoir","Sweden",20,64.307632,15.71261,"64.307632,15.71261",
185,"Yngeredsfors","Hydro","Reservoir","Sweden",18.8,57.0531,12.778165,"57.0531,12.778165",
186,"Abjora","Hydro","Run-of-river","Norway",81,60.91725,9.379347,"60.91725,9.379347",
187,"Alta","Hydro","Run-of-river, Reservoir","Norway",250,69.72507,23.78191,"69.72507,23.78191",
188,"Ana sira","Hydro","Run-of-river","Norway",100,58.2938,6.45037,"58.2938,6.45037",
189,"Ardal","Hydro","Run-of-river","Norway",2.7,60.47622,5.77782,"60.47622,5.77782",
190,"Aroy","Hydro","Run-of-river","Norway",90,61.27676,7.15457,"61.27676,7.15457",
191,"Askara","Hydro","Run-of-river","Norway",40,61.81216,5.6624,"61.81216,5.6624",
192,"Aura","Hydro","Run-of-river, Reservoir","Norway",578,62.66478,8.52109,"62.66478,8.52109",
193,"Bagn","Hydro","Run-of-river","Norway",44,60.82649,9.54995,"60.82649,9.54995",
194,"Balmi","Hydro","Run-of-river","Norway",,,,,
195,"Bardufoss","Hydro","Run-of-river","Norway",30,69.04369,18.58967,"69.04369,18.58967",
196,"Bjorkasen","Hydro","Run-of-river","Norway",4,68.331945,16.790221,"68.331945,16.790221",
197,"Borgund","Hydro","Run-of-river","Norway",160,61.05868,7.8192,"61.05868,7.8192",
198,"Bratsberg","Hydro","Run-of-river, Reservoir","Norway",244,63.37295,10.40757,"63.37295,10.40757",
199,"Brattset","Hydro","Run-of-river","Norway",80,62.802448,10.013137,"62.802448,10.013137",
200,"Brokke","Hydro","Run-of-river, Reservoir","Norway",630,59.12563,7.5095,"59.12563,7.5095",
201,"Byrte","Hydro","Run-of-river, Reservoir","Norway",40,59.49612,7.83322,"59.49612,7.83322",
202,"Daja","Hydro","Run-of-river","Norway",24,67.08824,16.05687,"67.08824,16.05687",
203,"Dale","Hydro","Run-of-river","Norway",28,60.58344,5.81926,"60.58344,5.81926",
204,"Dokka","Hydro","Run-of-river","Norway",44,60.8158,10.12151,"60.8158,10.12151",
205,"Driva","Hydro","Run-of-river","Norway",140,62.62305,8.88949,"62.62305,8.88949",
206,"Dynjanfoss","Hydro","Run-of-river","Norway",33,58.95158,8.39528,"58.95158,8.39528",
207,"Fagerli","Hydro","Run-of-river","Norway",72,67.1193,16.07712,"67.1193,16.07712",
208,"Fiskumfoss","Hydro","Run-of-river","Norway",39,64.540198,12.461974,"64.540198,12.461974",
209,"Fjaeremsfoss","Hydro","Run-of-river","Norway",27,63.32211,10.43658,"63.32211,10.43658",
210,"Floerli","Hydro","Run-of-river","Norway",160,59.015178,6.426101,"59.015178,6.426101",
211,"Fortun +","Hydro","Run-of-river, Reservoir","Norway",470,61.50511,7.70239,"61.50511,7.70239",
212,"Fosse","Hydro","Run-of-river","Norway",22,60.58177,5.88682,"60.58177,5.88682",
213,"Glomfjord","Hydro","Run-of-river","Norway",20,66.79696,14.00106,"66.79696,14.00106",
214,"Grönsdal","Hydro","Run-of-river","Norway",24,60.4397,5.85949,"60.4397,5.85949",
215,"Grytten","Hydro","Run-of-river","Norway",143.5,62.5024,7.77184,"62.5024,7.77184",
216,"Hakvik","Hydro","Run-of-river","Norway",9,68.40382,17.42236,"68.40382,17.42236",
217,"Harpefoss","Hydro","Run-of-river","Norway",92,61.58292,9.84108,"61.58292,9.84108",
218,"Haverstad","Hydro","Run-of-river","Norway",23,58.50656,7.41948,"58.50656,7.41948",
219,"Hekni","Hydro","Run-of-river","Norway",56,58.995,7.54729,"58.995,7.54729",
220,"Hemsil","Hydro","Run-of-river","Norway",70,60.81118,8.64382,"60.81118,8.64382",
221,"Hjartdola","Hydro","Run-of-river, Reservoir","Norway",208,59.60456,8.71143,"59.60456,8.71143",
222,"Hol","Hydro","Run-of-river","Norway",62,60.57795,8.40952,"60.57795,8.40952",
223,"Holen","Hydro","Run-of-river","Norway",327,59.34647,7.24939,"59.34647,7.24939",
224,"Hovatn","Hydro","Run-of-river","Norway",44,58.98293,7.66936,"58.98293,7.66936",
225,"Hunderfoss","Hydro","Run-of-river","Norway",112,61.2171,10.43943,"61.2171,10.43943",
226,"Hylen","Hydro","Run-of-river, Reservoir","Norway",320,58.46507,6.54426,"58.46507,6.54426",
227,"Jörundland","Hydro","Run-of-river","Norway",55,58.90642,8.23129,"58.90642,8.23129",
228,"Kobbelv","Hydro","Run-of-river, Reservoir","Norway",600,67.62319,15.59023,"67.62319,15.59023",
229,"Kvilldal","Hydro","Run-of-river, Reservoir","Norway",2480,59.52878,6.6542,"59.52878,6.6542",
230,"Langavatn","Hydro","Run-of-river","Norway",500,66.33696,14.16666,"66.33696,14.16666",
231,"Leirdöla","Hydro","Run-of-river","Norway",100,61.43771,7.24323,"61.43771,7.24323",
232,"Lomen","Hydro","Run-of-river","Norway",54,61.13549,8.87932,"61.13549,8.87932",
233,"Lomi","Hydro","Run-of-river","Norway",120,67.12103,16.10224,"67.12103,16.10224",
234,"Lyse","Hydro","Run-of-river","Norway",170,59.05425,6.6266,"59.05425,6.6266",
235,"Mar","Hydro","Run-of-river, Reservoir","Norway",360,59.88463,8.68074,"59.88463,8.68074",
236,"Matre","Hydro","Run-of-river, Reservoir","Norway",426,60.8737,5.59122,"60.8737,5.59122",
