id,CARMA,ESE_and_FIAS,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
1715,Meraker,,,,Meraker,Norway,Hydro,,108.0,63.41406,11.74298,Norway Power Plants (ENTSOE) .csv
1716,Bogna,,,,Bogna,Norway,Hydro,,60.0,64.3833333,11.4,Norway Power Plants (ENTSOE) .csv
1717,Aunfoss,,,,Aunfoss,Norway,Hydro,,36.0,64.6166667,12.5666667,Norway Power Plants (ENTSOE) .csv
1718,Lakshola,,,,Lakshola,Norway,Hydro,,34.0,70.0086111,21.2544444,Norway Power Plants (ENTSOE) .csv
1719,Vrangfoss,,,,Vrangfoss,Norway,Hydro,,42.0,59.3,9.2166667,Norway Power Plants (ENTSOE) .csv
1720,Svandalsflona,,,,Svandalsflona,Norway,Hydro,,20.0,59.85,6.9833333,Norway Power Plants (ENTSOE) .csv
1721,Kvanndal,,,,Kvanndal,Norway,Hydro,,50.0,59.7333333,7.0333333,Norway Power Plants (ENTSOE) .csv
1722,Novle,,,,Novle,Norway,Hydro,,50.0,59.8333333,6.9,Norway Power Plants (ENTSOE) .csv
1723,Froystul,,,,Froystul,Norway,Hydro,,50.0,59.55,9.25,Norway Power Plants (ENTSOE) .csv
1724,Suldal,,,,Suldal,Norway,Hydro,,350.0,59.6333333,6.8,Norway Power Plants (ENTSOE) .csv
1725,Nye tyin,,,,Tyin,Norway,Hydro,,440.0,61.55,6.35,Norway Power Plants (ENTSOE) .csv
1726,Eidsfoss telemark,,,,Eidsfoss,Norway,Hydro,,18.0,59.3,9.2166667,Norway Power Plants (ENTSOE) .csv
1727,Moflat,,,,Moflat,Norway,Hydro,,33.0,59.55,9.25,Norway Power Plants (ENTSOE) .csv
1728,Roldal,,,,Roldal,Norway,Hydro,,192.0,59.8166667,6.8,Norway Power Plants (ENTSOE) .csv
1729,Vemork new,,,,Vemork,Norway,Hydro,,224.0,59.55,9.25,Norway Power Plants (ENTSOE) .csv
1730,Havoygavlen,,,,Havoygavlen,Norway,Wind,,40.0,69.5833333,18.1291667,Norway Power Plants (ENTSOE) .csv
