name,lat,lon
Belfintex Power Plant,37.2300993,-3.0679614
Bellpuig Power Plant,40.9510612,0.8662462999999999
Belpla Power Plant,38.832155,-0.558149
Benet Power Plant,40.46366700000001,-3.74922
Benferri Power Plant,38.287775,-1.600145
Berbegal Power Plant,41.9611832,-0.0029143
Berberin Power Plant,37.2300993,-3.0679614
Berdabio Power Plant,37.2300993,-3.0679614
Berga Power Plant,42.1012595,1.8439221
Berganzo Power Plant,42.6500366,-2.7848278
Berrocalillo Power Plant,37.2300993,-3.0679614
Bertxin Power Plant,37.2300993,-3.0679614
Bescano Power Plant,41.9657629,2.7400328
Betolegui Power Plant,37.2300993,-3.0679614
Bg damm prat Power Plant,40.46366700000001,-3.74922
Bg makassar pv Power Plant,37.2300993,-3.0679614
Bg svendborg pv Power Plant,37.2300993,-3.0679614
Bidones roma Power Plant,37.2300993,-3.0679614
Bieffe medital tec Power Plant,42.5510488,-0.3480978
Bielsa Power Plant,42.6683404,0.1869644
Bierge Power Plant,42.2559306,-0.0933686
Bilbao kirolak imd Power Plant,43.2609436,-2.9267475
Billnäs Power Plant,60.0853878,23.6410551
Bioastur Power Plant,37.2300993,-3.0679614
Biodiesel acor Power Plant,40.46366700000001,-3.74922
Biodiesel cristobal Power Plant,37.2300993,-3.0679614
Biodigestion residuos agroalimentarios cati Power Plant,40.4713618,0.0227376
Bioelectrica jienense Power Plant,40.46366700000001,-3.74922
Bioelectrica linares Power Plant,37.2300993,-3.0679614
Bioenergetica egabrense Power Plant,40.46366700000001,-3.74922
Bioenergetica egabrense cabra Power Plant,37.4723747,-4.4422277
Bioenergia mendi Power Plant,37.2300993,-3.0679614
Bioenergia renovable vizcaya Power Plant,43.2204286,-2.6983868
Bioenergia santamaria Power Plant,37.2300993,-3.0679614
Bioetanol babilafuente Power Plant,40.97618019999999,-5.4266852
Bioetanol galicia Power Plant,40.46366700000001,-3.74922
Biometanizacion Power Plant,37.2300993,-3.0679614
Biometanizacion granja ves Power Plant,40.46366700000001,-3.74922
Biometanizacion residuos ganaderos Power Plant,40.46366700000001,-3.74922
Biomex Power Plant,37.2300993,-3.0679614
Biosanmarcos Power Plant,37.2300993,-3.0679614
Biosasieta Power Plant,37.2300993,-3.0679614
Biotractaments vila sana Power Plant,41.6672216,0.9342972999999999
Biurrana Power Plant,61.23592949999999,21.4347339
Blanca Power Plant,37.2300993,-3.0679614
Bm dhc marina zona franca bcn Power Plant,41.3525378,2.1413415
Boades Power Plant,37.2300993,-3.0679614
Bocana casar Power Plant,37.2300993,-3.0679614
Bocaredo Power Plant,37.2300993,-3.0679614
Bolinches Power Plant,37.2300993,-3.0679614
Bolsas formatos Power Plant,40.46366700000001,-3.74922
Bolton efw Power Plant,53.57686469999999,-2.4282192
Bolubarri Power Plant,37.2300993,-3.0679614
Bolumburu con re Power Plant,43.1990072,-3.1554805
Bolumburu re Power Plant,40.46366700000001,-3.74922
Bonduelle Power Plant,37.2300993,-3.0679614
Boo guarnizo Power Plant,43.3931902,-3.8561023
Borbollon Power Plant,37.2300993,-3.0679614
Borgonya Power Plant,42.0643794,2.2427335
Borras Power Plant,37.2300993,-3.0679614
Bota Power Plant,37.2300993,-3.0679614
Bp oil espana estacion servicio isidoro Power Plant,40.42101690000001,-3.7103444
Brandia Power Plant,42.7878921,-8.860571199999999
Brilen Power Plant,40.46366700000001,-3.74922
Briviesca Power Plant,42.5327486,-3.3086778
Broquetas Power Plant,37.2300993,-3.0679614
Bros Power Plant,37.2300993,-3.0679614
Brother cas Power Plant,37.2300993,-3.0679614
Brutau Power Plant,37.2300993,-3.0679614
Bubal Power Plant,37.2300993,-3.0679614
Bubones Power Plant,37.2300993,-3.0679614
Buenameson Power Plant,37.2300993,-3.0679614
Bugarra Power Plant,39.2172907,-1.0507081
Buixo Power Plant,37.2300993,-3.0679614
Bujalaro Power Plant,40.3477596,-2.886661
Bujaraloz fase Power Plant,41.49742800000001,-0.1530097
Bunuel Power Plant,37.2300993,-3.0679614
Bürglen kanal Power Plant,46.8761523,8.664463099999999
C. h. ahedillo Power Plant,40.46366700000001,-3.74922
C. h. cabalar Power Plant,40.46366700000001,-3.74922
C. h. corzan Power Plant,40.46366700000001,-3.74922
C. h. guaso Power Plant,42.4160206,0.09422029999999999
C. h. hojamarta Power Plant,37.2300993,-3.0679614
C. h. tijola Power Plant,37.2300993,-3.0679614
C. h. viniegra abajo Power Plant,42.1518804,-2.8888912
C.d. amaya Power Plant,42.8184573,-1.6245503
C.e.i.p. casablanca Power Plant,40.46366700000001,-3.74922
C.h vall nuria Power Plant,42.3965825,2.1527838
C.h.fab. boinas encartada Power Plant,40.46366700000001,-3.74922
C.h.manufactures Power Plant,40.46366700000001,-3.74922
C.n. sant feliu llobregat Power Plant,41.38238,2.049315
C.t.r. palencia Power Plant,42.0096857,-4.5288016
C.t.r.u. salamanca Power Plant,40.9701039,-5.663539699999999
Caballe Power Plant,37.2300993,-3.0679614
Cabildo Power Plant,37.2300993,-3.0679614
Cabo Power Plant,43.5531565,-5.722929499999999
Cachina Power Plant,37.2300993,-3.0679614
Cadagua Power Plant,43.2295671,-3.0928795
Cades penedes Power Plant,37.2300993,-3.0679614
Caila & pares Power Plant,41.3306314,2.131958
Cairat Power Plant,37.2300993,-3.0679614
Cal bassacs gironella Power Plant,41.419238,2.2268169
Cal casas Power Plant,40.46366700000001,-3.74922
Cal gat Power Plant,42.05613,2.53646
Cal jover Power Plant,40.46366700000001,-3.74922
Calabuig Power Plant,42.1515988,2.9244621
Calaf Power Plant,41.7325486,1.5135421
Calahorra Power Plant,42.3073551,-1.9673133
Calixto Power Plant,37.2300993,-3.0679614
Calle camino gazolaz Power Plant,37.2300993,-3.0679614
Calle jose azcona Power Plant,40.46366700000001,-3.74922
Calvet Power Plant,37.2300993,-3.0679614
Campillos Power Plant,37.561078,-5.331544
Campo Power Plant,43.3308035,-8.502271
Campo brick Power Plant,37.2300993,-3.0679614
Camposolillo Power Plant,42.981693,-5.2602819
Campus sur Power Plant,37.2300993,-3.0679614
Canada hermosa Power Plant,38.287775,-1.600145
Canada romero Power Plant,37.2300993,-3.0679614
Canas Power Plant,37.2300993,-3.0679614
Candanchu Power Plant,42.7882105,-0.5269638999999999
Canet Power Plant,41.5998437,2.5767694
Cano Power Plant,37.2300993,-3.0679614
Cantabria Power Plant,43.4160046,-3.817867299999999
Canteras jun Power Plant,37.6127647,-1.0444241
Caolesa Power Plant,37.2300993,-3.0679614
Carballo biometanizacion Power Plant,40.46366700000001,-3.74922
Carbones Power Plant,37.2300993,-3.0679614
Carburo Power Plant,37.2300993,-3.0679614
Carburs Power Plant,37.2300993,-3.0679614
Cardiel Power Plant,37.2300993,-3.0679614
Carmen Power Plant,37.2300993,-3.0679614
Carmona Power Plant,37.561078,-5.331544
Carnes estelles Power Plant,40.46366700000001,-3.74922
Carnicas villar Power Plant,37.2300993,-3.0679614
Carpema Power Plant,37.2300993,-3.0679614
Carpi turbogas Power Plant,44.7838779,10.8796629
Carrascosa Power Plant,40.46366700000001,-3.74922
Cartonajes bernabeu Power Plant,38.8881668,-0.5754777999999999
Cartonajes izquierdo Power Plant,37.2300993,-3.0679614
Cartonajes plana Power Plant,37.2300993,-3.0679614
Casablanca Power Plant,37.2300993,-3.0679614
Casao Power Plant,37.2300993,-3.0679614
Casas Power Plant,37.2300993,-3.0679614
Casco decor Power Plant,37.2300993,-3.0679614
Caseda Power Plant,42.5244427,-1.367422
Castillonroy Power Plant,41.8856242,0.5133783
Castilseras Power Plant,40.9510612,0.8662462999999999
Castroquilame Power Plant,42.6164305,-6.5673167
Catenva Power Plant,37.2300993,-3.0679614
Catex moli Power Plant,37.2300993,-3.0679614
Cauxa Power Plant,37.2300993,-3.0679614
Cavlo Power Plant,37.2300993,-3.0679614
Cazanuecos Power Plant,42.1869171,-5.7013582
Cazulas Power Plant,36.81449,-3.69616
Ceasa navia Power Plant,40.46366700000001,-3.74922
Cebolla Power Plant,37.2300993,-3.0679614
Celga Power Plant,37.2300993,-3.0679614
Cellophane Power Plant,40.46366700000001,-3.74922
Celytex Power Plant,37.2300993,-3.0679614
Celytex ampliada con re Power Plant,40.46366700000001,-3.74922
Cental escombreras moyresa girasol Power Plant,37.57925090000001,-0.9099550999999999
Centro deportivo rio esgueva Power Plant,41.6598897,-4.709631799999999
Centro investigacion oncologico s.a Power Plant,39.2172907,-1.0507081
Ceranor Power Plant,40.46366700000001,-3.74922
Ceratres Power Plant,37.2300993,-3.0679614
Cerdedo Power Plant,42.5327602,-8.390327599999999
Cerfasa Power Plant,37.2300993,-3.0679614
Cerkno Power Plant,46.1257252,15.0601937
Cerm inquitex Power Plant,37.2300993,-3.0679614
Cernado Power Plant,37.2300993,-3.0679614
Cerrato Power Plant,41.9180953,-4.315422
Cervezas damm Power Plant,40.46366700000001,-3.74922
Ceršak Power Plant,45.9380375,15.5157897
Cespa santa maria palautordera Power Plant,41.6933702,2.4458308
Champymar Power Plant,37.2300993,-3.0679614
Chanza Power Plant,37.2300993,-3.0679614
Chavin Power Plant,37.2300993,-3.0679614
Chiloeches Power Plant,40.5723871,-3.1637624
Chimparra Power Plant,43.6985436,-8.0156685
Chincha Power Plant,37.2300993,-3.0679614
Chipeado secado madera con Power Plant,40.46366700000001,-3.74922
Chirrisquin Power Plant,37.2300993,-3.0679614
Chomba plagano Power Plant,37.2300993,-3.0679614
Chorro duque Power Plant,36.9092139,-4.7596131
Chorronera Power Plant,37.2300993,-3.0679614
Chusco Power Plant,37.2300993,-3.0679614
Châble Power Plant,46.08014,7.21048
Cia. energetica para tablero Power Plant,40.46366700000001,-3.74922
Ciatesa Power Plant,37.2300993,-3.0679614
Ciments martin sant joan les abadesses Power Plant,42.234129,2.2863069
Ciprian Power Plant,37.2300993,-3.0679614
Cipsa Power Plant,41.419238,2.2268169
Cisener Power Plant,37.2300993,-3.0679614
Ciudad agroalimentaria tudela s.l.u. Power Plant,42.0786112,-1.6491992
Ciudad medio ambiente Power Plant,40.46366700000001,-3.74922
Clinica centro Power Plant,37.2300993,-3.0679614
Clot moro Power Plant,40.46366700000001,-3.74922
