id,CARMA,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
2006,Oldereid,,,Oldereid,Norway,Hydro,,14.4,67.15,14.9166667,Norway Power Plants (ENTSOE) .csv
2007,Fagerli,,,Fagerli,Norway,Hydro,,60.0,67.1166667,16.1,Norway Power Plants (ENTSOE) .csv
2008,Sjonsta,,,Sjonsta,Norway,Hydro,,88.0,67.2,15.7166667,Norway Power Plants (ENTSOE) .csv
2009,Cijara,,,Cijara m. izda.,Spain,Hydro,,102.1,39.168398,-5.050487,Spain Power Plants Over 10 MW.csv
2010,Puerto pena,,,Puerto,Spain,Hydro,,55.59,39.036974,-5.234225,Spain Power Plants Over 10 MW.csv
2011,Serena,,,Serena,Spain,Hydro,,25.1,38.732036,-5.543902,Spain Power Plants Over 10 MW.csv
2012,Pena bejo,,,Bejo,Spain,Hydro,,20.8,43.150361,-4.381714,Spain Power Plants Over 10 MW.csv
2013,Rozadio,,,Rozadio,Spain,Hydro,,12.6,43.223351,-4.386833,Spain Power Plants Over 10 MW.csv
2014,Serreta,,,Serreta unificado con,Spain,Wind,,49.5,41.633616,-1.274399,Spain Power Plants Over 10 MW.csv
2015,Melkefoss,,,Melkefoss,Norway,Hydro,,26.0,69.4,29.7833333,Norway Power Plants (ENTSOE) .csv
2016,Skogfoss,,,Skogfoss,Norway,Hydro,,54.2,69.3733333,29.6877778,Norway Power Plants (ENTSOE) .csv
2017,Hammarforsen,,,Hammarforsen,Sweden,Hydro,,80.0,60.0166667,18.5333333,Sweden Power Plant.csv
2018,Lanaken,,,Lanaken sappi,Belgium,Natural Gas,,43.0,50.8931805269,5.64680099487,Belgium Power Plant.csv
2019,Vietas,,,Vietas,Sweden,Hydro,,330.0,66.9592699603,19.8207092285,Sweden Power Plant.csv
2020,Witznau,,,Witznau,Germany,Hydro,,220.0,47.68182015,8.25239615,Germany Power Plants (conventional).csv
2021,Rannoch,,,Rannoch,United Kingdom,Hydro,,48.0,56.70972225,-4.2403592,UK Power Plant.csv
2022,Cashlie,,,Cashlie,United Kingdom,Hydro,,11.0,56.6653176707,-4.28548658384,UK Power Plant.csv
2023,Clunie,,,Clunie,United Kingdom,Hydro,,61.2,57.1680556,-3.3653592,UK Power Plant.csv
2024,Livishie,,,Livishie,United Kingdom,Hydro,,17.0,57.0002331538,-4.36581552653,UK Power Plant.csv
2025,Medway gb,,,Medway,United Kingdom,Natural Gas,,721.66,51.44437805,-0.15219392025,UK Power Plant.csv
2026,Aigas,,,Aigas,United Kingdom,Hydro,,20.0,57.1325935195,-4.1690158573,UK Power Plant.csv
2027,Lerwick,,,Lerwick,United Kingdom,Oil,,67.0,58.4703202107,-2.63173331754,UK Power Plant.csv
2028,Drumderg,,,Drumderg,United Kingdom,Wind,,37.0,56.7040986173,-3.67205153958,UK Power Plant.csv
2029,Deanie,,,Deanie,United Kingdom,Hydro,,38.0,57.15138895,-4.5236925,UK Power Plant.csv
2030,Glendoe,,,Glendoe,United Kingdom,Hydro,,100.0,56.9646215218,-4.39814370888,UK Power Plant.csv
2031,Tangy,,,Tangy,United Kingdom,Wind,,19.0,56.1059696539,-4.86084744579,UK Power Plant.csv
2032,Cassley,,,Cassley,United Kingdom,Hydro,,10.45,56.0430556,-4.8986925,UK Power Plant.csv
