id,CARMA,FIAS,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
1671,,Jarpströmm,,,,Sweden,Hydro,Run-Of-River,120.0,63.344498,13.460305,
1672,,Kilforsen,,,,Sweden,Hydro,Reservoir,855.0,63.556499,16.662825,
1679,,Saellsjoe,,,,Sweden,Hydro,Run-Of-River,106.0,63.237771,13.68504,
1680,,Seitevare,,,,Sweden,Hydro,Reservoir,450.0,66.976111,18.578056,
1681,,Storfinfors,,,,Sweden,Hydro,Run-Of-River,70.0,63.597386,16.119386,
1683,,Trängslet,,,,Sweden,Hydro,Reservoir,490.0,61.384737,13.7354715,
1686,,Älvkarleby,,,,Sweden,Hydro,Reservoir,126.0,60.563681,17.44205,
1689,,Eggsjön,,,,Sweden,Hydro,Reservoir,500.0,,,
1694,,Hällforsens,,,,Sweden,Hydro,Reservoir,22.0,64.58337,18.69227,
1695,,Höljes,,,,Sweden,Hydro,Reservoir,130.0,60.950833,12.547222,
1696,,Hölleforsen,,,,Sweden,Hydro,Reservoir,140.0,62.950833,16.667778,
1697,,Horkoneryd,,,,Sweden,Hydro,Reservoir,2.1,56.507879,15.141241,
1700,,Juktans,,,,Sweden,Hydro,Reservoir,78.0,65.292975,17.2233,
1701,,Krokströmmen,,,,Sweden,Hydro,Reservoir,50.0,65.0233,19.6888,
1703,,Langbjörn,,,,Sweden,Hydro,Reservoir,100.0,63.636707,16.797662,
1704,,Langströmmen,,,,Sweden,Hydro,Reservoir,40.0,62.106128,14.995905,
1705,,Ljusne strömmar,,,,Sweden,Hydro,Reservoir,14.5,,,
1706,,Mockfjärd,,,,Sweden,Hydro,Reservoir,12.0,60.501506,14.964287,
1707,,Mörsils,,,,Sweden,Hydro,Reservoir,40.0,63.349754,13.452623,
1710,,Nissaström,,,,Sweden,Hydro,Reservoir,11.2,56.841854,13.008626,
1714,,Sädvajaur sädva,,,,Sweden,Hydro,Reservoir,31.0,66.467003,16.549485,
1715,,Skagern – gullspang,,,,Sweden,Hydro,Reservoir,40.0,58.986325,14.106716,
1716,,Skallböle,,,,Sweden,Hydro,Reservoir,46.0,62.364099,16.962161,
1717,,Skymnäs,,,,Sweden,Hydro,Reservoir,15.6,,,
1718,,Stennäs,,,,Sweden,Hydro,Reservoir,7.0,,,
1719,,Stora stensjön,,,,Sweden,Hydro,Reservoir,95.0,64.165538,14.599142,
1720,,Storfinnforsens,,,,Sweden,Hydro,Reservoir,112.0,63.597386,16.119386,
1721,,Stornorrfors,,,,Sweden,Hydro,Reservoir,1500.0,63.8525,20.051667,
1723,,Vargfors,,,,Sweden,Hydro,Reservoir,360.0,65.022723,19.679938,
1724,,Vargön,,,,Sweden,Hydro,Reservoir,35.3,58.355556,12.374444,
1725,,Viggeby,,,,Sweden,Hydro,Reservoir,1.03,58.469057,16.368458,
1727,,Volgsjöfors,,,,Sweden,Hydro,Reservoir,20.0,64.307632,15.71261,
1728,,Ardal,,,,Norway,Hydro,Run-Of-River,2.7,60.47622,5.77782,
1729,,Dale,,,,Norway,Hydro,Run-Of-River,28.0,60.58344,5.81926,
1730,,Floerli,,,,Norway,Hydro,Run-Of-River,160.0,59.015178,6.426101,
1731,,Grönsdal,,,,Norway,Hydro,Run-Of-River,24.0,60.4397,5.85949,
1732,,Haverstad,,,,Norway,Hydro,Run-Of-River,23.0,58.50656,7.41948,
