id,Carma,Fias,Geo,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
504,Geesthacht,Geesthacht,,Geesthacht,Germany,Hydro,Pumped Storage,120.0,53.4376818,10.3649735,energy_storage_exchange / Germany Power Plants (conventional).csv
505,Fagerli,Fagerli,,Fagerli,Norway,Hydro,run-of-river,72.0,67.11798335,16.08856,Norway Power Plants (ENTSOE) .csv
506,Sjonsta,Sjönsta,,Sjonsta,Norway,Hydro,run-of-river,88.0,67.197275,15.71260835,Norway Power Plants (ENTSOE) .csv
507,Hammarforsen,Hammarforsens,,Hammarforsen,Sweden,Hydro,reservoir,85.0,61.56478785,17.44395315,Sweden Power Plant.csv
508,Vietas,Vietas,,Vietas,Sweden,Hydro,run-of-river/reservoir,640.0,67.2245684801,19.0765213642,Sweden Power Plant.csv
509,Witznau,Witznau,,Witznau,Germany,Hydro,Pumped Storage,220.0,47.68666665,8.25,energy_storage_exchange / Germany Power Plants (conventional).csv
510,Duge,Duge,,Duge,Norway,Hydro,pumped storage,200.0,58.69291335,6.95500835,Norway Power Plants (ENTSOE) .csv
511,Tonstad,Tonstad,,Tonstad,Norway,Hydro,reservoir,1130.0,58.660935,6.716895,Norway Power Plants (ENTSOE) .csv
512,Ana Sira,Ana sira,,Ana Sira,Norway,Hydro,run-of-river,183.0,58.2969,6.44185165,Norway Power Plants (ENTSOE) .csv
513,Abjora,Abjora,,Abjora,Norway,Hydro,run-of-river,103.0,60.92529165,9.3896735,Norway Power Plants (ENTSOE) .csv
514,Selsfors,Selsfors,,Selsfors,Sweden,Hydro,reservoir,61.0,64.21894085,20.29392185,Sweden Power Plant.csv
515,Batfors,Batfors,,Batfors,Sweden,Hydro,reservoir,42.0,64.97461985,20.661866,Sweden Power Plant.csv
516,Mel,Mel,,Mel,Norway,Hydro,run-of-river,60.0,61.21502165,6.69492665,Norway Power Plants (ENTSOE) .csv
517,Tjodan,Tjodan,,Tjodan,Norway,Hydro,run-of-river,130.0,59.05214,6.6524,Norway Power Plants (ENTSOE) .csv
518,Florli,Florli,,Florli,Norway,Hydro,reservoir,89.0,59.01543,6.43283,Norway Power Plants (ENTSOE) .csv
519,Lomi,Lomi,,Lomi,Norway,Hydro,run-of-river,140.0,67.12103,16.10224,Norway Power Plants (ENTSOE) .csv
520,Moforsen,Moforsens,,Namforsen,Sweden,Hydro,reservoir,139.0,63.5919602,17.05046145,Sweden Power Plant.csv
521,Valdecanas,Valdencanas,,Valdecanas,Spain,Hydro,Pumped Storage,247.17,40.23,-2.33,energy_storage_exchange / Spain Power Plants Over 10 MW.csv
522,Siso,Siso,,Siso,Norway,Hydro,run-of-river,229.0,67.32504,15.70731,Norway Power Plants (ENTSOE) .csv
523,Tunnsjodal,Tunnsjodal,,Tunnsjodal,Norway,Hydro,reservoir,203.0,64.70334,12.83542,Norway Power Plants (ENTSOE) .csv
524,Herva,Herva,,Herva,Norway,Hydro,pumped storage,45.0,61.56622,7.86239,Norway Power Plants (ENTSOE) .csv
525,Byrte,Byrte t,,Byrte,Norway,Hydro,run-of-river,25.0,59.49612,7.83322,Norway Power Plants (ENTSOE) .csv
526,Daja,Daja,,Daja,Norway,Hydro,run-of-river,31.0,67.08824,16.05687,Norway Power Plants (ENTSOE) .csv
527,Sundsbarm,Sundsbarm,,Sundsbarm,Norway,Hydro,run-of-river,200.0,59.49762,8.63427,Norway Power Plants (ENTSOE) .csv
528,Aroy,Aroy,,Aroy,Norway,Hydro,run-of-river,108.0,61.27676,7.15457,Norway Power Plants (ENTSOE) .csv
529,Dabbsjo,Dabbsjö,,Dabbsjo,Sweden,Hydro,reservoir,26.0,64.607742,15.465791,Sweden Power Plant.csv
530,Traryd,Traryd,,Tratyd,Sweden,Hydro,reservoir,14.4,56.584337,13.756098,Sweden Power Plant.csv
531,Knareds Ovre,Knäred Övre,,Knared Ovre,Sweden,Hydro,reservoir,7.5,,,Sweden Power Plant.csv
532,Knareds Nedre,Knäred nedre,,Knared Nedre,Sweden,Hydro,reservoir,6.6,,,Sweden Power Plant.csv
533,Nedalsfoss,Nedalfoss,,Nedalsfoss,Norway,Hydro,run-of-river,28.0,,,Norway Power Plants (ENTSOE) .csv
534,Aurland,Aurland,,Aurland,Norway,Hydro,reservoir,1398.0,60.855,7.30485,Norway Power Plants (ENTSOE) .csv
535,Kobbelv,Kobbelv,,Kobbelv,Norway,Hydro,run-of-river,352.0,67.62319,15.59023,Norway Power Plants (ENTSOE) .csv
536,Tajo   Encantada,Tajo encantada málaga,,Tajo Encantada,Spain,Hydro,Pumped Storage,376.88,36.91,-4.76,energy_storage_exchange / Spain Power Plants Over 10 MW.csv
537,Pintado,Pintado,,Pintado,Spain,Hydro,Pumped Storage,34.8,37.94,-5.78,energy_storage_exchange / Spain Power Plants Over 10 MW.csv
538,Brattingfoss,Brattingfoss,,Brattingfoss,Norway,Hydro,pumped storage,14.0,64.04331,11.08354,Norway Power Plants (ENTSOE) .csv
539,Ylja,Ylja,,Ylja,Norway,Hydro,run-of-river,66.0,61.19751,8.38084,Norway Power Plants (ENTSOE) .csv
540,Randi,Randi,,Randi,Sweden,Hydro,reservoir,90.0,66.706406,19.516481,Sweden Power Plant.csv
541,Bleiloch,Bleiloch,,Bleiloch,Germany,Hydro,Pumped Storage,80.0,50.5487187,11.764455,energy_storage_exchange / Germany Power Plants (conventional).csv
542,Estany Gento Sallente,Estany gento sallente,,Estany Gento Sallente,Spain,Hydro,Pumped Storage,468.0,42.51,1.0,energy_storage_exchange / Spain Power Plants Over 10 MW.csv
543,Fjaremsfossen,Fjaeremsfoss,,Fjaremsfossen,Norway,Hydro,run-of-river,27.0,63.32211,10.43658,Norway Power Plants (ENTSOE) .csv
544,Oljusjoen,Oljusjoen,,Oljusjoen,Norway,Hydro,pumped storage,56.0,61.00381,8.08482,Norway Power Plants (ENTSOE) .csv
545,Hjartdola,Hjartdola,,Hjartdola,Norway,Hydro,run-of-river,150.0,59.60456,8.71143,Norway Power Plants (ENTSOE) .csv
546,,Abelvattnet,,Abelvattnet,Sweden,Hydro,reservoir,5.0,65.545168,14.981899,Sweden Power Plant.csv
547,,Motala,,Motala,Sweden,Hydro,reservoir,3.7,58.559736275,15.0813014648,Sweden Power Plant.csv
548,,Stennäs,,Stennas,Sweden,Hydro,reservoir,7.0,,,Sweden Power Plant.csv
549,,Bjorkasen,,Bjorkasen,Norway,Hydro,run-of-river,5.0,68.331945,16.790221,Norway Power Plants (ENTSOE) .csv
550,,Borgund,,Borgund,Norway,Hydro,run-of-river,240.0,61.05868,7.8192,Norway Power Plants (ENTSOE) .csv
551,,Glomfjord,,Glomfjord,Norway,Hydro,run-of-river,32.0,66.79696,14.00106,Norway Power Plants (ENTSOE) .csv
552,,Oksenelvane,,Oksenelvane,Norway,Hydro,run-of-river,30.0,61.84183,5.80134,Norway Power Plants (ENTSOE) .csv
553,,Svartisen,,Svartisen,Norway,Hydro,run-of-river,780.0,66.7282,13.91351,Norway Power Plants (ENTSOE) .csv
554,,Breive,,Breive,Norway,Hydro,pumped storage,24.0,59.34647,7.24939,Norway Power Plants (ENTSOE) .csv
555,,Skarje,,Skarje,Norway,Hydro,pumped storage,8.0,59.34647,7.24939,Norway Power Plants (ENTSOE) .csv
556,,Skjeggedal,,Skjeggedal,Norway,Hydro,pumped storage,4.0,60.1289,6.63673,Norway Power Plants (ENTSOE) .csv
557,,Berdalsvatn,,Berdalskraft,Norway,Hydro,reservoir,5.0,61.258469,7.821691,Norway Power Plants (ENTSOE) .csv
558,,Kjosnesfjorden dam,,Kjosnesfjorden,Norway,Hydro,reservoir,97.0,61.51765,6.61536,Norway Power Plants (ENTSOE) .csv
559,,Häusern,,HäUsern,Germany,Hydro,Pumped Storage,100.0,47.7570222,8.17864775,energy_storage_exchange / Germany Power Plants (conventional).csv
560,,Riedl energy,,Energy Storage Riedl,Germany,Hydro,Pumped Storage,300.0,48.58,13.67,energy_storage_exchange / Verbund Power Plant.csv
561,Barby,,,Kwk Anlage Barby,Germany,Natural Gas,,18.0,52.049414275,11.7752899764,Germany Power Plants (conventional).csv
562,Etten Leur,,,Etten Leur,Netherlands,Wind,,6.5,51.5812485985,4.7095923045,Netherlands Power Plant.csv
563,Cortijo  Guerra,,,Cortijo Guerra,Spain,Wind,,68.8,36.686454,-6.136063,Spain Power Plants Over 10 MW.csv
564,Navia,,,Navia,Spain,Natural Gas,,24.0,42.05201,-6.489395,Spain Power Plants Over 10 MW.csv
565,Paxareiras Runa,,,Paxareiras Iif Runa,Spain,Wind,,24.6,42.823295044,-9.08912658691,Spain Power Plants Over 10 MW.csv
