id,CARMA,ENTSOE,GEO,OPSD,WRI,Fueltype,Technology,Country,Set,Capacity,YearCommissioned,lat,lon,File,projectID
922,Pena luisa,,,,Luisa,Wind,,Spain,PP,48.18,,,,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[2559, 2653]', u'ENTSOE': nan, u'CARMA': u'[34113]', u'OPSD': nan}"
923,Penadrada,,,,Penadrada,Hydro,,Spain,PP,38.17,,42.820561,-6.487473,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3259]', u'ENTSOE': nan, u'CARMA': u'[34120]', u'OPSD': nan}"
924,Penas dios,,,,Penas dios,Wind,,Spain,PP,67.5,,39.7493017101,-0.996837615967,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3264]', u'ENTSOE': nan, u'CARMA': u'[59616]', u'OPSD': nan}"
925,Penas grandes,,,,Penas grandes,Wind,,Spain,PP,14.4,,42.4666667,-8.4666667,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3265]', u'ENTSOE': nan, u'CARMA': u'[34129]', u'OPSD': nan}"
926,Peneda,,,,C.h. peneda modificada,Hydro,,Spain,PP,11.0,,42.2505671113,-8.13112735748,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[654]', u'ENTSOE': nan, u'CARMA': u'[34137]', u'OPSD': nan}"
927,Pengfors,,,,Pengfors,Hydro,,Sweden,PP,69.0,,63.9333333,19.6666667,Sweden Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3267]', u'ENTSOE': nan, u'CARMA': u'[34141]', u'OPSD': nan}"
928,Penuca,,,,Penuca,Wind,,Spain,PP,36.3,,41.174802,-6.519375,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3271]', u'ENTSOE': nan, u'CARMA': u'[23830]', u'OPSD': nan}"
929,Perdon,,,,Perdon,Wind,,Spain,PP,20.3,,42.748481,-1.722623,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3274]', u'ENTSOE': nan, u'CARMA': u'[12132]', u'OPSD': nan}"
930,Pernegg,,,,Pernegg,Hydro,,Austria,PP,22.0,,47.35978671,15.3423643112,Verbund Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3278]', u'ENTSOE': nan, u'CARMA': u'[34240]', u'OPSD': nan}"
931,Perul,,,,Perul,Wind,,Spain,PP,49.6,,,,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3280]', u'ENTSOE': nan, u'CARMA': u'[56144]', u'OPSD': nan}"
932,Petronell carnuntum,,,,Wind park petronell carnuntum,Wind,,Austria,PP,43.0,,48.0666667,16.85,Verbund Power Plant.csv,"{u'GEO': nan, u'WRI': u'[4734]', u'ENTSOE': nan, u'CARMA': u'[34368]', u'OPSD': nan}"
933,Pical,,,,Pical,Wind,,Spain,PP,30.85,,42.936202,-4.308332,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3298]', u'ENTSOE': nan, u'CARMA': u'[34523]', u'OPSD': nan}"
934,Pico collalbas,,,,Pico collalbas,Wind,,Spain,PP,30.0,,39.8666667,-1.6333333,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3301]', u'ENTSOE': nan, u'CARMA': u'[34534]', u'OPSD': nan}"
935,Pietrafitta nuova,,,,Pietrafitta,Natural Gas,,Italy,PP,400.0,,42.969772,12.0863466,Italy Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3306]', u'ENTSOE': nan, u'CARMA': u'[65850]', u'OPSD': nan}"
936,Pilar,,,,Pilar,Wind,,Spain,PP,15.0,,41.580138,-1.117193,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3309]', u'ENTSOE': nan, u'CARMA': u'[12134]', u'OPSD': nan}"
937,Pinilla,,,,Pinilla,Wind,,Spain,PP,22.95,,38.731851,-1.58674,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3312]', u'ENTSOE': nan, u'CARMA': u'[34702]', u'OPSD': nan}"
938,Pintado,,,,Pintado,Hydro,,Spain,PP,34.8,,,,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3314]', u'ENTSOE': nan, u'CARMA': u'[34719]', u'OPSD': nan}"
939,Piombino enel,,,,Piombino termica,Oil,,Italy,PP,1280.0,,42.934824,10.52212,Italy Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3316]', u'ENTSOE': nan, u'CARMA': u'[34724]', u'OPSD': nan}"
940,Pitlochry,,,,Pitlochry,Hydro,,United Kingdom,PP,15.0,,56.7861112,-4.1140517,UK Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3320]', u'ENTSOE': nan, u'CARMA': u'[34810]', u'OPSD': nan}"
941,Pla d'embalague,,,,Pla embalague,Wind,,Spain,PP,37.5,,40.532667,-0.262492,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3325]', u'ENTSOE': nan, u'CARMA': u'[59610]', u'OPSD': nan}"
942,Plana balsa,,,,Plana balsa,Wind,,Spain,PP,24.0,,41.555754,-0.960134,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3330]', u'ENTSOE': nan, u'CARMA': u'[34860]', u'OPSD': nan}"
943,Plana gamesa,,,,Plana,Wind,,Spain,PP,61.5,,41.580138,-1.117193,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3328, 3335]', u'ENTSOE': nan, u'CARMA': u'[23839]', u'OPSD': nan}"
944,Plana jarreta,,,,Plana jarreta,Wind,,Spain,PP,49.5,,41.580138,-1.117193,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3332]', u'ENTSOE': nan, u'CARMA': u'[34859]', u'OPSD': nan}"
945,Plana maria,,,,Plana maria,Wind,,Spain,PP,24.0,,41.538796,-0.996151,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3333]', u'ENTSOE': nan, u'CARMA': u'[34861]', u'OPSD': nan}"
946,Planas pola,,,,Pansas,Wind,,Spain,PP,35.64,,41.918037,-1.253428,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3202]', u'ENTSOE': nan, u'CARMA': u'[59459]', u'OPSD': nan}"
947,Ponte rebordelo,,,,Ponte rebordelo,Wind,,Spain,PP,40.3,,43.008363,-9.113281,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3359]', u'ENTSOE': nan, u'CARMA': u'[10607]', u'OPSD': nan}"
948,Pontenovo,,,,Pontenovo,Hydro,,Spain,PP,38.6,,42.3833333,-7.2333333,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3360]', u'ENTSOE': nan, u'CARMA': u'[35252]', u'OPSD': nan}"
949,Porma,,,,Porma,Hydro,,Spain,PP,17.474,,,,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3365]', u'ENTSOE': nan, u'CARMA': u'[35335]', u'OPSD': nan}"
950,Portachuelo,,,,Portachuelo,Wind,,Spain,PP,45.05,,,,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3371]', u'ENTSOE': nan, u'CARMA': u'[35428]', u'OPSD': nan}"
951,Portodemouros,,,,Portodemouros,Hydro,,Spain,PP,88.12,,42.309432,-8.204886,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3380]', u'ENTSOE': nan, u'CARMA': u'[35491]', u'OPSD': nan}"
952,Portoscuso,,,,Portoscuso,Oil,,Italy,PP,320.0,,40.0912813,9.0305773,Italy Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3381]', u'ENTSOE': nan, u'CARMA': u'[35495]', u'OPSD': nan}"
953,Prada,,,,Prada,Hydro,,Spain,PP,70.72,,42.316743,-7.027391,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3387]', u'ENTSOE': nan, u'CARMA': u'[35649]', u'OPSD': nan}"
954,Prejano,,,,Prejano enciso,Wind,,Spain,PP,37.6,,42.186476,-2.179975,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3395]', u'ENTSOE': nan, u'CARMA': u'[35706]', u'OPSD': nan}"
955,Proaza,,,,Proaza,Hydro,,Spain,PP,49.54,,43.251775,-6.016333,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3403]', u'ENTSOE': nan, u'CARMA': u'[35816]', u'OPSD': nan}"
956,Puente bibey,,,,Puente bibey,Hydro,,Spain,PP,312.41,,42.309624996,-7.23209381104,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3424]', u'ENTSOE': nan, u'CARMA': u'[35929]', u'OPSD': nan}"
957,Puente montanana,,,,Puente montanana,Hydro,,Spain,PP,44.8,,,,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3425]', u'ENTSOE': nan, u'CARMA': u'[35936]', u'OPSD': nan}"
958,Puerto escandon,,,,Puerto escandon,Wind,,Spain,PP,26.0,,,,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3432]', u'ENTSOE': nan, u'CARMA': u'[59902]', u'OPSD': nan}"
959,Puerto pena,,,,Puerto,Hydro,,Spain,PP,55.59,,39.036974,-5.234225,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3428]', u'ENTSOE': nan, u'CARMA': u'[35973]', u'OPSD': nan}"
960,Puertollano repsol,,,,Repsol puertollano,Natural Gas,,Spain,PP,121.0,,38.6871177047,-4.10734176636,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3543]', u'ENTSOE': nan, u'CARMA': u'[35991]', u'OPSD': nan}"
961,Pueyo,,,,Pueyo,Hydro,,Spain,PP,14.3,,42.376352,-0.002612,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3439]', u'ENTSOE': nan, u'CARMA': u'[12146]', u'OPSD': nan}"
962,Pulpal,,,,Pulpal,Wind,,Spain,PP,17.25,,41.779013,-1.983913,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3441]', u'ENTSOE': nan, u'CARMA': u'[12147]', u'OPSD': nan}"
963,Punta grande,,,,Punta grande,Oil,,Spain,PP,215.54,,28.9630174756,-13.5476875305,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3450]', u'ENTSOE': nan, u'CARMA': u'[36068]', u'OPSD': nan}"
964,Quemada,,,,Quemada,Wind,,Spain,PP,44.25,,38.914665,-3.536884,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[665, 3461]', u'ENTSOE': nan, u'CARMA': u'[41544]', u'OPSD': nan}"
965,Quereno,,,,Quereno,Hydro,,Spain,PP,36.46,,42.449602,-6.947579,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3463]', u'ENTSOE': nan, u'CARMA': u'[36282]', u'OPSD': nan}"
966,Quoich,,,,Quoich,Hydro,,United Kingdom,PP,23.1,,56.7861112,-4.1140517,UK Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3469]', u'ENTSOE': nan, u'CARMA': u'[36334]', u'OPSD': nan}"
967,Rabenstein stm,,,,Rabenstein,Hydro,,Austria,PP,14.0,,47.35,13.6833333,Verbund Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3470]', u'ENTSOE': nan, u'CARMA': u'[36353]', u'OPSD': nan}"
968,Rabosera,,,,Rabosera,Wind,,Spain,PP,31.35,,42.048177,-0.910253,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3473]', u'ENTSOE': nan, u'CARMA': u'[59461]', u'OPSD': nan}"
969,Randi,,,,Randi,Hydro,,Sweden,PP,90.0,,,,Sweden Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3493]', u'ENTSOE': nan, u'CARMA': u'[36600]', u'OPSD': nan}"
970,Rannoch,,,,Rannoch,Hydro,,United Kingdom,PP,48.0,,56.7861112,-4.1140517,UK Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3495]', u'ENTSOE': nan, u'CARMA': u'[36635]', u'OPSD': nan}"
971,Ratcliffe,,,,Ratcliffe,Hard Coal,,United Kingdom,PP,2000.0,,52.79657515,-0.671822206834,UK Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3504]', u'ENTSOE': nan, u'CARMA': u'[36730]', u'OPSD': nan}"
972,Red tile,,,,Red tile,Wind,,United Kingdom,PP,24.0,,52.79657515,-0.671822206834,UK Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3513]', u'ENTSOE': nan, u'CARMA': u'[36905]', u'OPSD': nan}"
973,Redondal,,,,Redondal,Wind,,Spain,PP,30.6,,42.579427,-6.468368,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3515]', u'ENTSOE': nan, u'CARMA': u'[12155]', u'OPSD': nan}"
974,Redondo easa,,,,Redonda,Wind,,Spain,PP,49.5,,43.1098812736,-9.03350830078,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3514]', u'ENTSOE': nan, u'CARMA': u'[29183]', u'OPSD': nan}"
975,Refoyas,,,,Refoyas,Wind,,Spain,PP,49.5,,,,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3517]', u'ENTSOE': nan, u'CARMA': u'[59613]', u'OPSD': nan}"
976,Regueiro mao,,,,Regueiro,Hydro,,Spain,PP,28.64,,42.3825770118,-7.56842136383,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3520]', u'ENTSOE': nan, u'CARMA': u'[36978]', u'OPSD': nan}"
977,Rejsby hede,,,,Rejsby hede,Wind,,Denmark,PP,24.0,,,,Denmark Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3529]', u'ENTSOE': nan, u'CARMA': u'[37014]', u'OPSD': nan}"
978,Remolina,,,,Remolina,Hydro,,Spain,PP,100.0,,42.90357,-5.143736,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3533]', u'ENTSOE': nan, u'CARMA': u'[23867]', u'OPSD': nan}"
979,Restano,,,,Restano,Hydro,,Spain,PP,14.4,,,,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3550]', u'ENTSOE': nan, u'CARMA': u'[37116]', u'OPSD': nan}"
980,Retuerta,,,,Retuerta,Wind,,Spain,PP,38.0,,37.507562,-7.270384,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3555]', u'ENTSOE': nan, u'CARMA': u'[60034]', u'OPSD': nan}"
981,Reventones,,,,Reventones,Wind,,Spain,PP,34.0,,38.479167,-1.325,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3560]', u'ENTSOE': nan, u'CARMA': u'[51934]', u'OPSD': nan}"
982,Rhode peaker,,,,Rhode,Oil,,Ireland,PP,104.0,,53.3522222,-7.2016667,Ireland and Northern Ireland.csv,"{u'GEO': nan, u'WRI': u'[3577]', u'ENTSOE': nan, u'CARMA': u'[63255]', u'OPSD': nan}"
983,Rhyd groes,,,,Rhyd groes,Wind,,United Kingdom,PP,7.2,,52.2928116,-3.7389299,UK Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3578]', u'ENTSOE': nan, u'CARMA': u'[37208]', u'OPSD': nan}"
984,Rhyl flats,,,,Rhyl flats,Wind,,United Kingdom,PP,90.0,,52.2928116,-3.7389299,UK Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3579]', u'ENTSOE': nan, u'CARMA': u'[37209]', u'OPSD': nan}"
985,Rialb,,,,C.h. rialb .,Hydro,,Spain,PP,30.7,,41.9752689311,1.25607848167,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[655]', u'ENTSOE': nan, u'CARMA': u'[37218, 37217]', u'OPSD': nan}"
986,Riba roja,,,,Riba roja,Hydro,,Spain,PP,262.8,,41.25,0.4833333,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3580]', u'ENTSOE': nan, u'CARMA': u'[37224]', u'OPSD': nan}"
987,Ribadelago,,,,Ribadelago,Hydro,,Spain,PP,35.96,,42.1043996603,-6.6625213623,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3581]', u'ENTSOE': nan, u'CARMA': u'[37228]', u'OPSD': nan}"
988,Rigged,,,,Rigged,Wind,,United Kingdom,PP,5.0,,54.6294982,-6.7654415,UK Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3586]', u'ENTSOE': nan, u'CARMA': u'[37324]', u'OPSD': nan}"
989,Rioboo,,,,Rioboo,Wind,,Spain,PP,20.8,,42.6333333,-7.95,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3596]', u'ENTSOE': nan, u'CARMA': u'[37503]', u'OPSD': nan}"
990,Robin rigg,,,,Robin rigg east,Wind,,United Kingdom,PP,180.0,,56.7861112,-4.1140517,UK Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3616]', u'ENTSOE': nan, u'CARMA': u'[37679]', u'OPSD': nan}"
991,Robres,,,,Robres,Wind,,Spain,PP,24.0,,41.86746,-0.460942,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3620]', u'ENTSOE': nan, u'CARMA': u'[37685]', u'OPSD': nan}"
992,Rocksavage,,,,Rocksavage,Natural Gas,,United Kingdom,PP,810.0,,52.2370231,-0.4686148,UK Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3621]', u'ENTSOE': nan, u'CARMA': u'[37761]', u'OPSD': nan}"
993,Rosenau,,,,Rosenau,Hydro,,Austria,PP,34.0,,48.4890224103,14.6288108826,Verbund Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3653]', u'ENTSOE': nan, u'CARMA': u'[37973]', u'OPSD': nan}"
994,Royd moor,,,,Royd moor,Wind,,United Kingdom,PP,7.0,,53.93188775,-1.16644892949,UK Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3667]', u'ENTSOE': nan, u'CARMA': u'[38156]', u'OPSD': nan}"
995,Rozadio,,,,Rozadio,Hydro,,Spain,PP,12.6,,43.223351,-4.386833,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3670]', u'ENTSOE': nan, u'CARMA': u'[38161]', u'OPSD': nan}"
996,Rubio,,,,Serra rubio,Wind,,Spain,PP,75.0,,41.492256,2.033047,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3873]', u'ENTSOE': nan, u'CARMA': u'[38193]', u'OPSD': nan}"
997,Rugeley,,,,Rugeley,Hard Coal,,United Kingdom,PP,1050.0,,52.5050033,-1.96439602333,UK Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3676]', u'ENTSOE': nan, u'CARMA': u'[38218]', u'OPSD': nan}"
998,Rusfors,,,,Rusfors,Hydro,,Sweden,PP,45.0,,64.5953688552,18.6735069752,Sweden Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3682]', u'ENTSOE': nan, u'CARMA': u'[38275]', u'OPSD': nan}"
999,Rye house,,,,Rye house,Natural Gas,,United Kingdom,PP,715.0,,52.2345714,-0.4626500837,UK Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3687]', u'ENTSOE': nan, u'CARMA': u'[38362]', u'OPSD': nan}"
1000,Salajones,,,,Salajones,Wind,,Spain,PP,21.78,,42.5920161365,-1.36041641235,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3728]', u'ENTSOE': nan, u'CARMA': u'[38808]', u'OPSD': nan}"
1001,Salas,,,,Salas,Hydro,,Spain,PP,53.1,,41.956095,-7.973959,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3729]', u'ENTSOE': nan, u'CARMA': u'[38817]', u'OPSD': nan}"
1002,Salime,,,,Salime,Hydro,,Spain,PP,157.24,,43.215536,-6.875698,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3732]', u'ENTSOE': nan, u'CARMA': u'[38854]', u'OPSD': nan}"
1003,Salto cofrentes,,,,Cofrentes,Hydro,,Spain,PP,124.2,,,,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[940]', u'ENTSOE': nan, u'CARMA': u'[38929]', u'OPSD': nan}"
1004,Sandbach hays,,,,Sandbach,Natural Gas,,United Kingdom,PP,57.0,,52.2370231,-0.4686148,UK Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3750]', u'ENTSOE': nan, u'CARMA': u'[39418]', u'OPSD': nan}"
1005,Sanguesa,,,,Sanguesa,Waste,,Spain,PP,30.2,,42.5748266812,-1.28282546997,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3753]', u'ENTSOE': nan, u'CARMA': u'[39483]', u'OPSD': nan}"
1006,Santiago jares,,,,Santiago jares,Hydro,,Spain,PP,53.15,,43.49489,-7.242148,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3766]', u'ENTSOE': nan, u'CARMA': u'[39678]', u'OPSD': nan}"
1007,Santurce,,,,Ct santurce,Oil,,Spain,PP,1336.23,,43.3284244401,-3.03248405457,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[1036]', u'ENTSOE': nan, u'CARMA': u'[39705]', u'OPSD': nan}"
1008,Sardon,,,,Sardon,Wind,,Spain,PP,25.5,,36.7702423663,-2.95429229736,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3773]', u'ENTSOE': nan, u'CARMA': u'[12166]', u'OPSD': nan}"
1009,Sarra,,,,Sarra,Hydro,,Spain,PP,28.86,,42.7712741444,-0.334482192993,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3780]', u'ENTSOE': nan, u'CARMA': u'[23886]', u'OPSD': nan}"
1010,Sastago,,,,Sastago,Hydro,,Spain,PP,20.3,,41.321664,-0.35075,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3784]', u'ENTSOE': nan, u'CARMA': u'[39908]', u'OPSD': nan}"
1011,Sau,,,,Sau,Hydro,,Spain,PP,56.0,,41.947002,2.384404,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3785]', u'ENTSOE': nan, u'CARMA': u'[39937]', u'OPSD': nan}"
1012,Saucito,,,,Saucito,Wind,,Spain,PP,30.25,,37.548609,-7.114699,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3787]', u'ENTSOE': nan, u'CARMA': u'[60040]', u'OPSD': nan}"
1013,Schelle,,,,Schelle wind,Wind,,Belgium,PP,4.5,,51.1261520468,4.34114456177,Belgium Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3804]', u'ENTSOE': nan, u'CARMA': u'[40086]', u'OPSD': nan}"
1014,Schonau,,,,Schonau,Hydro,,Austria,PP,30.0,,48.394561622,14.7301769257,Verbund Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3815]', u'ENTSOE': nan, u'CARMA': u'[40158]', u'OPSD': nan}"
1015,Scout moor,,,,Scout moor,Wind,,United Kingdom,PP,65.0,,52.2370231,-0.4686148,UK Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3836]', u'ENTSOE': nan, u'CARMA': u'[40283]', u'OPSD': nan}"
1016,Scroby sands,,,,Scroby sands,Wind,,United Kingdom,PP,60.0,,52.2345714,-0.4626500837,UK Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3837]', u'ENTSOE': nan, u'CARMA': u'[40287]', u'OPSD': nan}"
1017,Seira,,,,Seira,Hydro,,Spain,PP,37.01,,42.476962,0.431267,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3850]', u'ENTSOE': nan, u'CARMA': u'[40427]', u'OPSD': nan}"
1018,Seixo,,,,Monte seixo cando,Wind,,Spain,PP,34.98,,42.4,-8.4333333,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[2808]', u'ENTSOE': nan, u'CARMA': u'[29188]', u'OPSD': nan}"
1019,Selsfors,,,,Selsfors,Hydro,,Sweden,PP,61.0,,64.2166667,20.3166667,Sweden Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3856]', u'ENTSOE': nan, u'CARMA': u'[40484]', u'OPSD': nan}"
1020,Selva,,,,Selva,Wind,,Spain,PP,33.0,,42.45,-1.1166667,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3857]', u'ENTSOE': nan, u'CARMA': u'[41545]', u'OPSD': nan}"
1021,Serena,,,,Serena,Hydro,,Spain,PP,25.1,,38.732036,-5.543902,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3861]', u'ENTSOE': nan, u'CARMA': u'[23889]', u'OPSD': nan}"
1022,Seros,,,,Seros,Hydro,,Spain,PP,44.6,,41.4833333,0.4666667,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3864]', u'ENTSOE': nan, u'CARMA': u'[40627]', u'OPSD': nan}"
1023,Serralta,,,,Serralta,Wind,,Spain,PP,16.5,,42.032494,-1.525907,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3878]', u'ENTSOE': nan, u'CARMA': u'[40656]', u'OPSD': nan}"
1024,Serreta,,,,Serreta unificado con,Wind,,Spain,PP,49.5,,41.633616,-1.274399,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3881]', u'ENTSOE': nan, u'CARMA': u'[23892]', u'OPSD': nan}"
1025,Sesue,,,,Sesue,Hydro,,Spain,PP,36.0,,42.551308,0.472115,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3889]', u'ENTSOE': nan, u'CARMA': u'[40687]', u'OPSD': nan}"
1026,Siddick,,,,Siddick,Wind,,United Kingdom,PP,4.2,,52.2370231,-0.4686148,UK Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3900]', u'ENTSOE': nan, u'CARMA': u'[41490]', u'OPSD': nan}"
1027,Sierro,,,,Sillero,Wind,,Spain,PP,31.68,,,,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3914]', u'ENTSOE': nan, u'CARMA': u'[41550]', u'OPSD': nan}"
1028,Siglos,,,,Siglos,Wind,,Spain,PP,18.0,,36.01393,-5.606949,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3906]', u'ENTSOE': nan, u'CARMA': u'[25884]', u'OPSD': nan}"
1029,Sillre,,,,Sillre,Hydro,,Sweden,PP,11.7,,63.3264934,14.5811578,Sweden Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3917]', u'ENTSOE': nan, u'CARMA': u'[41623]', u'OPSD': nan}"
1030,Silvarredonda,,,,Silvarredonda,Wind,,Spain,PP,16.9,,43.200444,-8.872763,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3921]', u'ENTSOE': nan, u'CARMA': u'[41636]', u'OPSD': nan}"
1031,Silvon,,,,Silvon,Hydro,,Spain,PP,81.54,,43.432004,-6.815132,Spain Power Plants Over 10 MW.csv,"{u'GEO': nan, u'WRI': u'[3922]', u'ENTSOE': nan, u'CARMA': u'[41657]', u'OPSD': nan}"
