None,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Classification,Classification,Classification,Classification,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,lat,lat,lat,lat,lon,lon,lon,lon,File,File,File,File
2017,Hammarforsen,,,Hammarforsen,Hydro,,,Hydro,,,,,Sweden,,,Sweden,79.0,,,80.0,60.0166667,,,,18.5333333,,,,,,,Sweden Power Plant.csv
2018,Lanaken,,,Lanaken sappi,Natural Gas,,,Natural Gas,,,,,Belgium,,,Belgium,38.0,,,43.0,50.8931805269,,,,5.64680099487,,,,,,,Belgium Power Plant.csv
2019,Vietas,,,Vietas,Hydro,,,Hydro,,,,,Sweden,,,Sweden,330.0,,,325.0,66.9592699603,,,,19.8207092285,,,,,,,Sweden Power Plant.csv
2020,Witznau,,,Witznau,Hydro,,,Hydro,,,,,Germany,,,Germany,220.0,,,220.0,47.6833333,,,47.680307,8.25,,,8.2547923,,,,Germany Power Plants (conventional).csv
2021,Rannoch,,,Rannoch,Hydro,,,Hydro,,,,,United Kingdom,,,United Kingdom,48.0,,,45.0,56.6333333,,,56.7861112,-4.3666667,,,-4.1140517,,,,UK Power Plant.csv
2022,Cashlie,,,Cashlie,Hydro,,,Hydro,,,,,United Kingdom,,,United Kingdom,11.0,,,11.0,56.5445241413,,,56.7861112,-4.45692146768,,,-4.1140517,,,,UK Power Plant.csv
2023,Clunie,,,Clunie,Hydro,,,Hydro,,,,,United Kingdom,,,United Kingdom,61.2,,,61.0,57.55,,,56.7861112,-2.6166667,,,-4.1140517,,,,UK Power Plant.csv
2024,Livishie,,,Livishie,Hydro,,,Hydro,,,,,United Kingdom,,,United Kingdom,15.0,,,17.0,57.2143551075,,,56.7861112,-4.61757935306,,,-4.1140517,,,,UK Power Plant.csv
2025,Medway gb,,,Medway,Natural Gas,,,Natural Gas,,,,,United Kingdom,,,United Kingdom,721.66,,,700.0,51.437737,,,51.4510191,0.6891035,,,-0.9934913405,,,,UK Power Plant.csv
2026,Aigas,,,Aigas,Hydro,,,Hydro,,,,,United Kingdom,,,United Kingdom,20.0,,,20.0,57.4790758389,,,56.7861112,-4.2239800146,,,-4.1140517,,,,UK Power Plant.csv
2027,Lerwick,,,Lerwick,Oil,,,Oil,,,,,United Kingdom,,,United Kingdom,59.73,,,67.0,60.1545292213,,,56.7861112,-1.14941493507,,,-4.1140517,,,,UK Power Plant.csv
2028,Drumderg,,,Drumderg,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,36.8,,,37.0,56.6220860346,,,56.7861112,-3.23005137916,,,-4.1140517,,,,UK Power Plant.csv
2029,Deanie,,,Deanie,Hydro,,,Hydro,,,,,United Kingdom,,,United Kingdom,38.0,,,38.0,57.5166667,,,56.7861112,-4.9333333,,,-4.1140517,,,,UK Power Plant.csv
2030,Glendoe,,,Glendoe,Hydro,,,Hydro,,,,,United Kingdom,,,United Kingdom,100.0,,,100.0,57.1431318435,,,56.7861112,-4.68223571777,,,-4.1140517,,,,UK Power Plant.csv
2031,Tangy,,,Tangy,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,18.7,,,19.0,55.4258281077,,,56.7861112,-5.60764319158,,,-4.1140517,,,,UK Power Plant.csv
2032,Cassley,,,Cassley,Hydro,,,Hydro,,,,,United Kingdom,,,United Kingdom,10.45,,,10.0,55.3,,,56.7861112,-5.6833333,,,-4.1140517,,,,UK Power Plant.csv
2033,Invergarry,,,Invergarry,Hydro,,,Hydro,,,,,United Kingdom,,,United Kingdom,20.0,,,20.0,57.0689232524,,,56.7861112,-4.80102539062,,,-4.1140517,,,,UK Power Plant.csv
2034,Braes of doune,,,Braes of doune,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,72.0,,,72.0,56.18994928,,,56.7861112,-4.05288292164,,,-4.1140517,,,,UK Power Plant.csv
2035,Lochay,,,Lochay,Hydro,,,Hydro,,,,,United Kingdom,,,United Kingdom,47.2,,,48.0,54.9666667,,,56.7861112,-3.4666667,,,-4.1140517,,,,UK Power Plant.csv
2036,Glenmoriston,,,Glenmoriston,Hydro,,,Hydro,,,,,United Kingdom,,,United Kingdom,36.0,,,40.0,57.1971,,,56.7861112,-4.86939,,,-4.1140517,,,,UK Power Plant.csv
2037,Nant,,,Nant,Hydro,,,Hydro,,,,,United Kingdom,,,United Kingdom,15.0,,,15.0,55.9846000833,,,56.7861112,-4.8210043213,,,-4.1140517,,,,UK Power Plant.csv
2038,Thatcham,,,Thatcham,Oil,,,Oil,,,,,United Kingdom,,,United Kingdom,9.6,,,9.0,51.403663386,,,51.4510191,-1.26048803329,,,-0.9934913405,,,,UK Power Plant.csv
2039,Burghfield,,,Burghfield,Natural Gas,,,Natural Gas,,,,,United Kingdom,,,United Kingdom,45.0,,,45.0,51.4562532149,,,51.4510191,-0.971131324768,,,-0.9934913405,,,,UK Power Plant.csv
2040,Pitlochry,,,Pitlochry,Hydro,,,Hydro,,,,,United Kingdom,,,United Kingdom,15.0,,,15.0,56.7051416932,,,56.7861112,-3.73432159424,,,-4.1140517,,,,UK Power Plant.csv
2041,Kilmorack,,,Kilmorack,Hydro,,,Hydro,,,,,United Kingdom,,,United Kingdom,20.0,,,20.0,57.4645733583,,,56.7861112,-4.51340675354,,,-4.1140517,,,,UK Power Plant.csv
2042,Tappaghan mountain,,,Tappaghan,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,28.5,,,29.0,54.5833333,,,54.65688285,-6.2166667,,,-6.5634352097,,,,UK Power Plant.csv
2043,Striven,,,Striven,Hydro,,,Hydro,,,,,United Kingdom,,,United Kingdom,8.0,,,8.0,57.5866276999,,,56.7861112,-2.09063549778,,,-4.1140517,,,,UK Power Plant.csv
2044,Artfield fell,,,Artfield fell,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,19.5,,,20.0,54.87879151,,,56.7861112,-4.81037468758,,,-4.1140517,,,,UK Power Plant.csv
2045,Hadyard,,,Hadyard,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,119.6,,,120.0,56.6333333,,,56.7861112,-5.8833333,,,-4.1140517,,,,UK Power Plant.csv
2046,Clachan,,,Clachan,Hydro,,,Hydro,,,,,United Kingdom,,,United Kingdom,40.0,,,40.0,56.3,,,56.7861112,-5.5833333,,,-4.1140517,,,,UK Power Plant.csv
2047,Slind,,,Slind,Hydro,,,Hydro,,,,,Norway,,,Norway,20.0,,,25.0,63.2166667,,,,11.0333333,,,,,,,Norway Power Plants (ENTSOE) .csv
2048,Glorenza,,,Seled glorenza,Hydro,,,Hydro,,,,,Italy,,,Italy,96.0,,,101.6,46.687914,,,46.6879187,10.546554,,,10.5465492,,,,Italy Power Plant.csv
2049,Ojos albos,,,Ojos albos,Wind,,,Wind,,,,,Spain,,,Spain,14.52,,,14.52,40.705962,,,,-4.516333,,,,,,,Spain Power Plants Over 10 MW.csv
2050,Avila,,,Avila,Wind,,,Wind,,,,,Spain,,,Spain,60.06,,,36.68,40.823295,,,,-5.816947,,,,,,,Spain Power Plants Over 10 MW.csv
2051,Villoruebo,,,Villoruebo,Wind,,,Wind,,,,,Spain,,,Spain,17.85,,,16.15,42.168738,,,,-3.441594,,,,,,,Spain Power Plants Over 10 MW.csv
2052,Acebo,,,Acebo,Wind,,,Wind,,,,,Spain,,,Spain,17.82,,,17.82,43.215536,,,,-6.875698,,,,,,,Spain Power Plants Over 10 MW.csv
2053,Lagos,,,Lagos,Wind,,,Wind,,,,,Spain,,,Spain,38.94,,,38.94,43.273073,,,,-6.621524,,,,,,,Spain Power Plants Over 10 MW.csv
2054,Villacastin,,,Villacastin,Wind,,,Wind,,,,,Spain,,,Spain,14.52,,,14.52,40.779598,,,,-4.413574,,,,,,,Spain Power Plants Over 10 MW.csv
2055,Four burrows,,,Four burrows,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,4.5,,,5.0,50.2652569938,,,50.5947727,-5.05436374153,,,-1.9521986,,,,UK Power Plant.csv
2056,Forss,,,Forss extension,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,7.8,,,7.0,58.5927095271,,,56.7861112,-3.52593809032,,,-4.1140517,,,,UK Power Plant.csv
2057,Duge,,,Duge,Hydro,,,Hydro,,,,,Norway,,,Norway,200.0,,,200.0,58.2666667,,,,7.0166667,,,,,,,Norway Power Plants (ENTSOE) .csv
2058,Tonstad,,,Tonstad,Hydro,,,Hydro,,,,,Norway,,,Norway,960.0,,,1130.0,58.66263,,,,6.71694,,,,,,,Norway Power Plants (ENTSOE) .csv
2059,Roskrepp,,,Roskrepp,Hydro,,,Hydro,,,,,Norway,,,Norway,50.0,,,56.0,58.3166667,,,,6.95,,,,,,,Norway Power Plants (ENTSOE) .csv
2060,Solhom,,,Solhom,Hydro,,,Hydro,,,,,Norway,,,Norway,200.0,,,250.0,58.3166667,,,,6.95,,,,,,,Norway Power Plants (ENTSOE) .csv
2061,Kvinen,,,Kvinen,Hydro,,,Hydro,,,,,Norway,,,Norway,80.0,,,90.0,58.66263,,,,6.71694,,,,,,,Norway Power Plants (ENTSOE) .csv
2062,Ana sira,,,Ana sira,Hydro,,,Hydro,,,,,Norway,,,Norway,150.0,,,183.0,58.3,,,,6.4333333,,,,,,,Norway Power Plants (ENTSOE) .csv
2063,Fjone,,,Fjone,Hydro,,,Hydro,,,,,Norway,,,Norway,50.0,,,60.0,59.1666667,,,,8.4666667,,,,,,,Norway Power Plants (ENTSOE) .csv
2064,Hogstad,,,Hogstad,Hydro,,,Hydro,,,,,Norway,,,Norway,9.255,,,11.0,59.28843,,,,9.71,,,,,,,Norway Power Plants (ENTSOE) .csv
2065,Vrenjga,,,Vrenga,Hydro,,,Hydro,,,,,Norway,,,Norway,10.3,,,16.0,59.85,,,,9.45,,,,,,,Norway Power Plants (ENTSOE) .csv
2066,Arlifoss,,,Arlifoss,Hydro,,,Hydro,,,,,Norway,,,Norway,23.4,,,27.0,59.55936,,,,9.25853,,,,,,,Norway Power Plants (ENTSOE) .csv
2067,Kiste,,,Kiste,Hydro,,,Hydro,,,,,Norway,,,Norway,6.0,,,7.0,59.28843,,,,9.71,,,,,,,Norway Power Plants (ENTSOE) .csv
2068,Skollenborg,,,Skollenborg,Hydro,,,Hydro,,,,,Norway,,,Norway,87.0,,,102.0,59.66858,,,,9.65017,,,,,,,Norway Power Plants (ENTSOE) .csv
2069,Mydalen,,,Mydalen,Hydro,,,Hydro,,,,,Norway,,,Norway,6.8,,,8.0,59.600748034,,,,8.65010261536,,,,,,,Norway Power Plants (ENTSOE) .csv
2070,Haukrei,,,Haukrei,Hydro,,,Hydro,,,,,Norway,,,Norway,16.0,,,19.0,59.1865,,,,8.0895,,,,,,,Norway Power Plants (ENTSOE) .csv
2071,Abjora,,,Abjora,Hydro,,,Hydro,,,,,Norway,,,Norway,73.5,,,103.0,60.9333333,,,,9.4,,,,,,,Norway Power Plants (ENTSOE) .csv
2072,Gronvollfoss,,,Gronvollfoss,Hydro,,,Hydro,,,,,Norway,,,Norway,25.0,,,40.0,59.55936,,,,9.25853,,,,,,,Norway Power Plants (ENTSOE) .csv
2073,Selsfors,,,Selsfors,Hydro,,,Hydro,,,,,Sweden,,,Sweden,61.0,,,61.0,64.2166667,,,,20.3166667,,,,,,,Sweden Power Plant.csv
2074,Batfors,,,Batfors,Hydro,,,Hydro,,,,,Sweden,,,Sweden,42.0,,,42.0,65.1166667,,,,21.1,,,,,,,Sweden Power Plant.csv
2075,Steinsvik,,,Steinsvik,Hydro,,,Hydro,,,,,Norway,,,Norway,9.3,,,10.0,62.14762,,,,6.07408,,,,,,,Norway Power Plants (ENTSOE) .csv
2076,Cernavoda,,,Cernavoda,Nuclear,,,Nuclear,,,,,Romania,,,Romania,1440.0,,,1411.0,44.3222222222,,,,28.0572222222,,,,,,,EU Nuclear Power.csv
2077,Motril,,,Motril,Natural Gas,,,Natural Gas,,,,,Spain,,,Spain,49.185,,,48.8,36.733447,,,,-3.541294,,,,,,,Spain Power Plants Over 10 MW.csv
2078,Mel,,,Mel,Hydro,,,Hydro,,,,,Norway,,,Norway,50.0,,,60.0,61.0833333,,,,6.8333333,,,,,,,Norway Power Plants (ENTSOE) .csv
2079,Skogheim,,,Skogheim,Hydro,,,Hydro,,,,,Norway,,,Norway,7.3,,,9.0,61.8166667,,,,6.15,,,,,,,Norway Power Plants (ENTSOE) .csv
2080,Sagefossen,,,Sagefossen,Hydro,,,Hydro,,,,,Norway,,,Norway,9.0,,,12.0,61.8166667,,,,6.15,,,,,,,Norway Power Plants (ENTSOE) .csv
2081,Bjordalen,,,Bjorndalen,Hydro,,,Hydro,,,,,Norway,,,Norway,4.3,,,5.0,62.2029,,,,6.12722,,,,,,,Norway Power Plants (ENTSOE) .csv
2082,Sunndal,,,Sundal,Hydro,,,Hydro,,,,,Norway,,,Norway,4.2,,,5.0,62.97397,,,,8.72472,,,,,,,Norway Power Plants (ENTSOE) .csv
2083,Newport solutia,,,Solutia,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,5.0,,,5.0,51.5877363768,,,52.2928116,-2.99835026264,,,-3.7389299,,,,UK Power Plant.csv
2084,Kneeshoek,,,Kneeshoek,Wind,,,Wind,,,,,Netherlands,,,Netherlands,4.8,,,4.8,52.860833,,,18.0361518,4.836111,,,-63.0418373,,,,Netherlands Power Plant.csv
2085,Mva schwandorf,,,Müllkraftwerk schwandorf,Waste,,,Waste,,,,,Germany,,,Germany,54.0,,,54.0,49.3263889,,,49.3261854,12.1097222,,,12.1092708,,,,Germany Power Plants (conventional).csv
2086,Ingolstadt mva,,,Mva ingolstadt,Waste,,,Waste,,,,,Germany,,,Germany,25.1,,,25.5,48.7666667,,,48.7630165,11.4333333,,,11.4250395,,,,Germany Power Plants (conventional).csv
2087,Boblingen,,,Restmüllheizkraftwerk böblingen,Waste,,,Waste,,,,,Germany,,,Germany,12.0,,,9.5,48.6833333,,,48.684969,9.0166667,,,9.0113444,,,,Germany Power Plants (conventional).csv
2088,Sils ewz,,,Sils ewz,Hydro,,,Hydro,,,,,Switzerland,,,Switzerland,25.0,,,26.0,,,,,,,,,,,,Switzerland Power Plant.csv
2089,Hugschwendi,,,Hugschwendi,Hydro,,,Hydro,,,,,Switzerland,,,Switzerland,14.0,,,14.0,,,,,,,,,,,,Switzerland Power Plant.csv
2090,Offenbach,,,Offenbach,Coal,,,Coal,,,,,Germany,,,Germany,64.0,,,54.0,,,,50.088766,,,,8.766286,,,,Germany Power Plants (conventional).csv
2091,Engelberg,,,Engelberg,Hydro,,,Hydro,,,,,Switzerland,,,Switzerland,8.5,,,8.5,,,,,,,,,,,,Switzerland Power Plant.csv
2092,Coto codesas,,,Codesas,Wind,,,Wind,,,,,Spain,,,Spain,46.75,,,38.25,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2093,Majal alto,,,Majal,Wind,,,Wind,,,,,Spain,,,Spain,50.0,,,77.0,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2094,Tjodan,,,Tjodan,Hydro,,,Hydro,,,,,Norway,,,Norway,117.0,,,130.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2095,Florli,,,Florli,Hydro,,,Hydro,,,,,Norway,,,Norway,80.0,,,89.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2096,Lomi,,,Lomi,Hydro,,,Hydro,,,,,Norway,,,Norway,126.0,,,140.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2097,Ogreyfoss,,,Ogreyfoss,Hydro,,,Hydro,,,,,Norway,,,Norway,11.8,,,18.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2098,Villanueva enerfin,,,Villanueva,Wind,,,Wind,,,,,Spain,,,Spain,66.7,,,86.5,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2099,Muhlrading,,,Mühlrading,Hydro,,,Hydro,,,,,Austria,,,Austria,24.8,,,25.0,,,,,,,,,,,,Verbund Power Plant.csv
2100,Gamoide,,,Gamoide,Wind,,,Wind,,,,,Spain,,,Spain,32.5,,,32.5,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2101,Paul's,,,Paul's,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,50.6,,,64.0,,,,56.7861112,,,,-4.1140517,,,,UK Power Plant.csv
2102,Caluengo,,,Caluengo,Wind,,,Wind,,,,,Spain,,,Spain,49.5,,,49.5,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2103,Turon,,,Turon tj,Oil,,,Oil,,,,,Belgium,,,Belgium,20.0,,,18.6,,,,,,,,,,,,Belgium Power Plant.csv
2104,Perul,,,Perul,Wind,,,Wind,,,,,Spain,,,Spain,49.6,,,49.6,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2105,Tirmadrid,,,Tirmadrid,Waste,,,Waste,,,,,Spain,,,Spain,29.8,,,29.8,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2106,Lomillas penarada,,,Lomilla,Wind,,,Wind,,,,,Spain,,,Spain,143.88,,,103.5,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2107,Ovre moksa,,,Moksa,Hydro,,,Hydro,,,,,Norway,,,Norway,15.0,,,17.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2108,Dos pueblos,,,Dos pueblos,Wind,,,Wind,,,,,Spain,,,Spain,20.0,,,14.0,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2109,Tallisca,,,Tallisca,Wind,,,Wind,,,,,Spain,,,Spain,40.0,,,40.0,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2110,Enercrisa,,,Enercrisa,Natural Gas,,,Natural Gas,,,,,Spain,,,Spain,20.94,,,19.686,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2111,Luzon norte,,,Luzon norte,Wind,,,Wind,,,,,Spain,,,Spain,38.0,,,38.0,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2112,Portachuelo,,,Portachuelo,Wind,,,Wind,,,,,Spain,,,Spain,45.05,,,45.05,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2113,Valdecanas,,,Valdecanas,Hydro,,,Hydro,,,,,Spain,,,Spain,225.0,,,247.17,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2114,Muela cubillo,,,Muela cubillo,Wind,,,Wind,,,,,Spain,,,Spain,50.0,,,50.0,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2115,Isab energy,,,Isab energy,Natural Gas,,,Natural Gas,,,,,Italy,,,Italy,553.4,,,521.0,,,,37.1544411,,,,15.1877451,,,,Italy Power Plant.csv
2116,Innergsteig,,,Innergsteig,Hydro,,,Hydro,,,,,Switzerland,,,Switzerland,13.07,,,19.6,,,,,,,,,,,,Switzerland Power Plant.csv
2117,Piesteritz,,,Biomasseheizkraftwerk piesteritz,Waste,,,Waste,,,,,Germany,,,Germany,20.0,,,18.1,,,,51.8678903,,,,12.5969035,,,,Germany Power Plants (conventional).csv
2118,Skeen,,,Skeen,Hydro,,,Hydro,,,,,Sweden,,,Sweden,4.6,,,4.6,,,,,,,,,,,,Sweden Power Plant.csv
2119,Hogga,,,Hogga,Hydro,,,Hydro,,,,,Norway,,,Norway,17.0,,,20.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2120,Ovre rossaga,,,Ovre rossaga,Hydro,,,Hydro,,,,,Norway,,,Norway,159.9,,,188.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2121,Puerto escandon,,,Puerto escandon,Wind,,,Wind,,,,,Spain,,,Spain,26.0,,,25.0,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2122,Sagfossen ns,,,Sagfossen,Hydro,,,Hydro,,,,,Norway,,,Norway,11.9,,,14.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2123,Rekvatn,,,Rekvatn,Hydro,,,Hydro,,,,,Norway,,,Norway,24.3,,,27.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2124,Siso,,,Siso,Hydro,,,Hydro,,,,,Norway,,,Norway,180.0,,,229.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2125,Ormsetfoss,,,Ormsetfoss,Hydro,,,Hydro,,,,,Norway,,,Norway,40.0,,,50.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2126,Tunnsjodal,,,Tunnsjodal,Hydro,,,Hydro,,,,,Norway,,,Norway,116.0,,,203.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2127,Herva,,,Herva,Hydro,,,Hydro,,,,,Norway,,,Norway,34.0,,,45.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2128,Byrte,,,Byrte,Hydro,,,Hydro,,,,,Norway,,,Norway,20.0,,,25.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2129,Mossford,,,Mossford,Hydro,,,Hydro,,,,,United Kingdom,,,United Kingdom,24.0,,,19.0,,,,56.7861112,,,,-4.1140517,,,,UK Power Plant.csv
2130,Errochty,,,Errochty,Hydro,,,Hydro,,,,,United Kingdom,,,United Kingdom,75.0,,,75.0,,,,56.7861112,,,,-4.1140517,,,,UK Power Plant.csv
2131,Txutxu,,,Txutxu,Wind,,,Wind,,,,,Spain,,,Spain,17.4,,,17.4,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2132,Refoyas,,,Refoyas,Wind,,,Wind,,,,,Spain,,,Spain,49.5,,,49.5,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2133,Boira,,,Boira,Wind,,,Wind,,,,,Spain,,,Spain,34.5,,,34.5,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2134,Gavilanes,,,Gavilanes rd,Wind,,,Wind,,,,,Spain,,,Spain,22.5,,,22.5,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2135,Strath of brydock,,,Strath of brydock,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,6.9,,,7.0,,,,56.7861112,,,,-4.1140517,,,,UK Power Plant.csv
2136,Gralla,,,Gralla,Hydro,,,Hydro,,,,,Austria,,,Austria,14.5,,,15.0,,,,,,,,,,,,Verbund Power Plant.csv
2137,Alzwerke,,,Alzwerke gmbh,Hydro,,,Hydro,,,,,Germany,,,Germany,40.5,,,45.0,,,,48.1689863,,,,12.8304816,,,,Germany Power Plants (conventional).csv
2138,Klingerforsen,,,Klingerforsen,Hydro,,,Hydro,,,,,Sweden,,,Sweden,6.4,,,6.0,,,,,,,,,,,,Sweden Power Plant.csv
2139,Olden korsselbranna,,,Olden,Hydro,,,Hydro,,,,,Sweden,,,Sweden,130.0,,,112.0,,,,,,,,,,,,Sweden Power Plant.csv
2140,Forsa norsk,,,Forsa,Hydro,,,Hydro,,,,,Norway,,,Norway,12.0,,,14.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2141,Daja,,,Daja,Hydro,,,Hydro,,,,,Norway,,,Norway,25.2,,,31.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2142,Svean,,,Svean,Hydro,,,Hydro,,,,,Norway,,,Norway,30.0,,,42.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2143,Cabimonteros,,,Cabimonteros,Wind,,,Wind,,,,,Spain,,,Spain,49.5,,,49.5,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2144,Villamiel,,,Villamiel,Wind,,,Wind,,,,,Spain,,,Spain,17.85,,,17.85,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2145,Sundsbarm,,,Sundsbarm,Hydro,,,Hydro,,,,,Norway,,,Norway,112.0,,,118.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2146,Aroy,,,Aroy,Hydro,,,Hydro,,,,,Norway,,,Norway,92.5,,,108.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2147,Sotavento,,,Sotavento,Wind,,,Wind,,,,,Spain,,,Spain,17.56,,,17.56,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2148,Amdal,,,Amdal,Hydro,,,Hydro,,,,,Norway,,,Norway,21.0,,,23.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2149,Batsvann,,,Batsvann,Hydro,,,Hydro,,,,,Norway,,,Norway,30.0,,,38.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2150,Dabbsjo,,,Dabbsjo,Hydro,,,Hydro,,,,,Sweden,,,Sweden,26.0,,,26.0,,,,,,,,,,,,Sweden Power Plant.csv
2151,Traryd,,,Tratyd,Hydro,,,Hydro,,,,,Sweden,,,Sweden,14.4,,,14.0,,,,,,,,,,,,Sweden Power Plant.csv
2152,Majenfors nya,,,Majenfors nya,Hydro,,,Hydro,,,,,Sweden,,,Sweden,10.9,,,5.7,,,,,,,,,,,,Sweden Power Plant.csv
2153,Knareds ovre,,,Knared ovre,Hydro,,,Hydro,,,,,Sweden,,,Sweden,7.5,,,7.5,,,,,,,,,,,,Sweden Power Plant.csv
2154,Knareds nedre,,,Knared nedre,Hydro,,,Hydro,,,,,Sweden,,,Sweden,6.6,,,6.6,,,,,,,,,,,,Sweden Power Plant.csv
2155,Lokaunet,,,Lokaunet,Hydro,,,Hydro,,,,,Norway,,,Norway,9.0,,,12.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2156,Nedalsfoss,,,Nedalsfoss,Hydro,,,Hydro,,,,,Norway,,,Norway,26.0,,,28.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2157,Vessingfoss,,,Vessingfoss,Hydro,,,Hydro,,,,,Norway,,,Norway,40.0,,,45.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2158,Hegsetfoss,,,Hegsetfoss,Hydro,,,Hydro,,,,,Norway,,,Norway,34.0,,,40.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2159,Lissett airfield,,,Lissett,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,30.0,,,30.0,,,,53.93092085,,,,-1.1668220316,,,,UK Power Plant.csv
2160,Guolas,,,Guolas,Hydro,,,Hydro,,,,,Norway,,,Norway,81.0,,,90.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2161,Bodendorf paalbach,,,Bodensdorf paal,Hydro,,,Hydro,,,,,Austria,,,Austria,27.26,,,27.0,,,,,,,,,,,,Verbund Power Plant.csv
2162,Osen agder,,,Osen,Hydro,,,Hydro,,,,,Norway,,,Norway,4.2,,,5.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2163,Skjerka nye,,,Skjerka,Hydro,,,Hydro,,,,,Norway,,,Norway,104.0,,,120.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2164,Barasona,,,Barasona s.jose,Hydro,,,Hydro,,,,,Spain,,,Spain,20.8,,,22.1,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2165,Bingfoss,,,Bingsfoss,Hydro,,,Hydro,,,,,Norway,,,Norway,32.4,,,36.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2166,Aurland,,,Aurland,Hydro,,,Hydro,,,,,Norway,,,Norway,1125.0,,,1398.0,,,,,,,,,,,,Norway Power Plants (ENTSOE) .csv
2167,Chambon,,,Chambon,Wind,,,Wind,,,,,Spain,,,Spain,33.15,,,33.15,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
2168,Bonnington,,,Bonnington,Hydro,,,Hydro,,,,,United Kingdom,,,United Kingdom,11.0,,,11.0,,,,56.7861112,,,,-4.1140517,,,,UK Power Plant.csv
2169,Pata mulo,,,Pata mulo,Natural Gas,,,Natural Gas,,,,,Spain,,,Spain,18.0,,,17.26,,,,,,,,,,,,Spain Power Plants Over 10 MW.csv
