id,Name,Country,Fueltype,location,File,Technology,Capacity,lat,lon
2267,Klusi,Switzerland,Hydro,,Switzerland Power Plant.csv,,1.3,,
2268,Kluutmolen,Netherlands,Wind,Almere,Netherlands Power Plant.csv,,20.0,52.4417588,5.20931491494
2269,Kluutweg,Netherlands,Wind,Zeewolde,Netherlands Power Plant.csv,,2.55,52.3451194,5.45807754736
2270,Kläranlage,Germany,Waste,Ludwigshafen,Germany Power Plants (conventional).csv,,12.0,49.479236,8.439117
2271,Knabs ridge,United Kingdom,Wind,North East,UK Power Plant.csv,,16.0,50.5949824,-1.9518955
2272,Knapsack natural,Germany,Natural Gas,Hürth-Knapsack,Germany Power Plants (conventional).csv,,1230.0,50.8594256,6.8547678
2273,Knapton,United Kingdom,Natural Gas,Yorkshire and the Humber,UK Power Plant.csv,,40.0,53.93188775,-1.16644892949
2274,Knardalstrand,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,3.0,,
2275,Knared nedre,Sweden,Hydro,"Laholm Municipality, Halland County",Sweden Power Plant.csv,,6.6,,
2276,Knared ovre,Sweden,Hydro,"Laholm Municipality, Halland County",Sweden Power Plant.csv,,7.5,,
2277,Knarweg,Netherlands,Wind,Lelystad,Netherlands Power Plant.csv,,14.5,52.53668095,5.36107150044
2278,Kneeshoek,Netherlands,Wind,Dutch Crown,Netherlands Power Plant.csv,,4.8,18.0361518,-63.0418373
2279,Kng rostock,Germany,Coal,Rostock,Germany Power Plants (conventional).csv,,514.0,54.14736345,12.1090155999
2280,Knutfoss,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,5.0,,
2281,Kobbelv,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,352.0,,
2282,Koblenz,Germany,Hydro,Koblenz,Germany Power Plants (conventional).csv,,16.0,50.3533278,7.5943951
2283,Koegorspolder,Netherlands,Wind,Terneuzen,Netherlands Power Plant.csv,,44.0,51.3254737,3.8403111
2284,Koepchenwerk,Germany,Hydro,Herdecke,Germany Power Plants (conventional).csv,,153.0,51.4001119,7.4330062
2285,Kohlekraftwerk,Germany,Coal,Zülpich,Germany Power Plants (conventional).csv,,14.4,50.6922278,6.6472694
2286,Kolbnitz drinking,Austria,Hydro,,Verbund Power Plant.csv,,1.0,,
2287,Kollbrunn,Switzerland,Hydro,,Switzerland Power Plant.csv,,0.37,,
2288,Kolsvik,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,163.0,,
2289,Kombi,Germany,Natural Gas,Kassel,Germany Power Plants (conventional).csv,,50.0,51.3090209,9.4762981
2290,Kombikraftwerk,Germany,Natural Gas,Eilenburg,Germany Power Plants (conventional).csv,,46.6,51.4598924,12.6334496
2291,Kong. kraftverk,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,47.0,,
2292,Kongsfjord,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,5.0,,
2293,Kongsvinger,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,4.0,,
2294,Kopswerk,Germany,Hydro,Partenen,Germany Power Plants (conventional).csv,,772.0,,
2295,Kozloduy,Bulgaria,Nuclear,,EU Nuclear Power.csv,,2000.0,,
2296,Krabbersgat,Netherlands,Wind,enkhuizen,Netherlands Power Plant.csv,,4.0,52.7577195,5.32069409037
2297,Krafthaus prutz ried,Switzerland,Hydro,"Château d'Oex, Gérignoz",Switzerland Power Plant.csv,,86.9,46.4704796,7.1640374
2298,Kraftwerksgruppe pfreimd,Germany,Hydro,Trausnitz,Germany Power Plants (conventional).csv,,127.0,49.5213946,12.2628903
2299,Krauchbach,Switzerland,Hydro,,Switzerland Power Plant.csv,,0.64,,
2300,Kreekraksluis,Netherlands,Wind,Reimerswaal,Netherlands Power Plant.csv,,77.5,51.44300185,4.10144103116
2301,Krefeld,Germany,Natural Gas,Krefeld,Germany Power Plants (conventional).csv,,12.6,51.3331205,6.5623343
2302,Kreuzbergmaut,Austria,Hydro,,Verbund Power Plant.csv,,18.0,,
2303,Kreuzeck days,Austria,Hydro,,Verbund Power Plant.csv,,45.0,,
2304,Krippau,Austria,Hydro,,Verbund Power Plant.csv,,30.0,,
2305,Krogstadelva nkr,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,6.0,,
2306,Krokevatn,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,4.0,,
2307,Krosselbranna,Sweden,Hydro,"Norråker, Strömsund Municipality, Jämtland County",Sweden Power Plant.csv,,130.0,,
2308,Krossen,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,2.0,,
2309,Krsko,Slovenia,Nuclear,,EU Nuclear Power.csv,,727.0,,
2310,Kubbeweg,Netherlands,Wind,dronten,Netherlands Power Plant.csv,,34.0,52.53172775,5.75053478515
2311,Kubel,Switzerland,Hydro,,Switzerland Power Plant.csv,,14.5,,
2312,Kurasfossen,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,13.0,,
2313,Kvanangen,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,64.0,,
2314,Kvandal,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,,,
2315,Kvanndal,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,50.0,,
2316,Kvannvatn,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,4.0,,
2317,Kvarnaholm,Sweden,Hydro,"Markaryd Municipality, Kronoberg County",Sweden Power Plant.csv,,5.6,,
2318,Kveasa,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,6.0,,
2319,Kvilldal,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,1444.0,,
2320,Kvinen,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,90.0,,
2321,Kvistforsen,Sweden,Hydro,"Skellefteå Municipality, Västerbotten County",Sweden Power Plant.csv,,140.0,,
2322,Kvitfossen,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,8.0,,
2323,Kvitnes,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,6.0,,
2324,Kvittingen,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,56.0,,
2325,Kwh,Germany,Natural Gas,Hannover,Germany Power Plants (conventional).csv,,102.0,52.3744779,9.7385532
2326,Kwk anlage,Germany,Natural Gas,Bremen,Germany Power Plants (conventional).csv,,14.8,53.0758196,8.8071646
2327,Kwk anlage barby,Germany,Natural Gas,Barby,Germany Power Plants (conventional).csv,,18.0,51.9666473,11.8860511
2328,Kwk anlage krefeld dt,Germany,Natural Gas,Krefeld,Germany Power Plants (conventional).csv,,25.8,51.3331205,6.5623343
2329,Kwk anlage krefeld vm,Germany,Natural Gas,Krefeld,Germany Power Plants (conventional).csv,,14.0,51.3331205,6.5623343
2330,Kwk aos gmbh,Germany,Natural Gas,Stade- Bützfleth,Germany Power Plants (conventional).csv,,30.7,53.6513059,9.4821438
2331,Kwk gütersloh,Germany,Waste,Gütersloh,Germany Power Plants (conventional).csv,,12.1,51.9063997,8.3782078
2332,Kwk neumarkt,Germany,Waste,Neumarkt i.d. Oberpfalz,Germany Power Plants (conventional).csv,,15.6,49.2159263,11.5329526
