id,CARMA,ENTSOE,GEO,OPSD,Fueltype,Technology,Country,Set,Capacity,YearCommissioned,lat,lon,File,projectID
477,Lungererseewerk unteraa,,,Unteraa lungerersee,Hydro,Reservoir,Switzerland,PP,54.5,1994.0,46.8214351941,8.1744623486,BFE,"{u'OPSD': u'[OEU699]', u'CARMA': u'[15176]'}"
478,Luzzone,,,Luzzone,Hydro,Run-Of-River,Switzerland,PP,20.0,1963.0,46.565256077,8.9607831602,BFE,"{u'OPSD': u'[OEU964]', u'CARMA': u'[26300]'}"
479,Maigrauge oelberg,,,Oelberg,Hydro,Reservoir,Switzerland,PP,18.3,1980.0,46.8017059504,7.1673408094,BFE,"{u'OPSD': u'[OEU602]', u'CARMA': u'[26648]'}"
480,Mapragg,,,Mapragg,Hydro,Pumped Storage,Switzerland,PP,279.9,1977.0,46.9484407976,9.4812988795,BFE,"{u'OPSD': u'[OEU460]', u'CARMA': u'[27115]'}"
481,Marbach,,,Dampfkraftwerk marbach am neckar,Oil,OCGT,Germany,PP,424.4,1971.0,48.927497,9.230005,,"{u'OPSD': u'[BNA0649, BNA0648, BNA0647]', u'CARMA': u'[27153]'}"
482,Martigny bourg,,,Martigny bourg,Hydro,Run-Of-River,Switzerland,PP,22.0,1945.0,46.0883098661,7.0590697666,BFE,"{u'OPSD': u'[OEU902]', u'CARMA': u'[27375]'}"
483,Martina,,,Pradella martina,Hydro,Reservoir,Switzerland,PP,84.0,1994.0,46.8821155388,10.4645577137,BFE,"{u'OPSD': u'[OEU1030]', u'CARMA': u'[27385]'}"
484,Massaboden,,,Massaboden,Hydro,Run-Of-River,Switzerland,PP,8.2,1959.0,46.3329975315,8.0113584734,BFE,"{u'OPSD': u'[OEU813]', u'CARMA': u'[27475]'}"
485,Meitingen,,,Meitingen,Hydro,Run-Of-River,Germany,PP,15.0,1922.0,48.546994,10.86507,,"{u'OPSD': u'[BNA1209]', u'CARMA': u'[27927]'}"
486,Merching,,,Merching,Hydro,Run-Of-River,Germany,PP,13.536,1978.0,48.2704497,10.9773463,,"{u'OPSD': u'[BNA1210]', u'CARMA': u'[28083]'}"
487,Mhkw karnap,,,Mhkw,Waste,Steam Turbine,Germany,CHP,44.0,2012.0,53.114562,8.818186,,"{u'OPSD': u'[BNA1114]', u'CARMA': u'[28253]'}"
488,Mhkw mannheim,,,Mannheim,Waste,Steam Turbine,Germany,CHP,62.4,1966.0,49.5225233333,8.45293333333,,"{u'OPSD': u'[BNA0641b, BNA0641c, BNA0639, BNA0640, BNA0641a, BNA0638]', u'CARMA': u'[63084]'}"
489,Mitsubishi hitec,,,Hillegossen,Natural Gas,CCGT,Germany,PP,37.8,2005.0,52.033503,8.539061,,"{u'OPSD': u'[BNA0100]', u'CARMA': u'[28748]'}"
