id,CARMA,ENTSOE,GEO,OPSD,Fueltype,Technology,Country,Set,Capacity,YearCommissioned,lat,lon,File,projectID
1673,Ovre tessa,Ovre tessa,,,Hydro,Reservoir,Norway,PP,20.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000851N]', u'CARMA': u'[33174]'}"
1674,Ovre vinstra,Ovre vinstra,,,Hydro,Reservoir,Norway,PP,150.0,,61.4666667,9.3666667,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000852L]', u'CARMA': u'[33175]'}"
1675,Oyberget,Oyberget,,,Hydro,Reservoir,Norway,PP,109.0,,61.9166667,8.0833333,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000854H]', u'CARMA': u'[33229]'}"
1676,Ozieri,Ozieri,,,Hydro,Reservoir,Italy,PP,9.9,,40.585962,9.001224,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S20OZRIH]', u'CARMA': u'[33253]'}"
1677,Paisco,Paisco,,,Hydro,Run-Of-River,Italy,PP,8.4,,46.030996,10.345862,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S03PSCI7]', u'CARMA': u'[61239]'}"
1678,Paks,Paksi atomerőmű,,,Nuclear,,Hungary,PP,2000.0,,46.5725,18.8541666667,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[15WPAKS------PPL]', u'CARMA': u'[33368]'}"
1679,Palazzo,Palazzo,,,Hydro,Run-Of-River,Italy,PP,46.0,,39.799101,15.90748,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S18P2LZD]', u'CARMA': u'[33397]'}"
1680,Pallanzeno,Pallanzeno,,,Hydro,Run-Of-River,Italy,PP,41.0,,46.042020726,8.2594871521,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S01PLLNA]', u'CARMA': u'[61240]'}"
1681,Palsbu,Palsbu,,,Hydro,Reservoir,Norway,PP,7.2,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP000000005500]', u'CARMA': u'[33493]'}"
1682,Pancrazio,S.pancrazio,,,Hydro,Reservoir,Italy,PP,34.2,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S04SPNCE]', u'CARMA': u'[38419]'}"
1683,Panni,Panni,,,Wind,,Italy,PP,19.8,,41.222025,15.274648,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-P16IAVCV]', u'CARMA': u'[33580]'}"
1684,Pantano,Pantano d'avio,,,Hydro,Reservoir,Italy,PP,13.5,,46.178199,10.329159,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S03PDNTC]', u'CARMA': u'[65604]'}"
1685,Partinico,Partinico,,,Wind,,Italy,PP,16.0,,38.043948,13.120041,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S19PCRTZ]', u'CARMA': u'[53711]'}"
1686,Paterno,Paterno' c.le,,,Hydro,Run-Of-River,Italy,PP,12.8,,40.2333333,15.2333333,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S19PTRNG]', u'CARMA': u'[33846]'}"
1687,Pedesina,Pedesina,,,Hydro,Run-Of-River,Italy,PP,12.0,,46.08189,9.549444,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S03PDSN9]', u'CARMA': u'[65605]'}"
1688,Pelos,Pelos,,,Hydro,Run-Of-River,Italy,PP,32.0,,46.5041667,12.4736111,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S05PLSEK]', u'CARMA': u'[34085]'}"
1689,Penna,Penna,,,Hydro,Run-Of-River,Italy,PP,25.9,,43.417645,11.723338,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S09LPNNY]', u'CARMA': u'[23829]'}"
1690,Perreres,Perreres,,,Hydro,Reservoir,Italy,PP,18.0,,45.876066,7.624305,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S02PRRRS]', u'CARMA': u'[63178]'}"
1691,Pescara,Pescara,,,Hydro,Run-Of-River,Italy,PP,11.2,,42.213736,13.913504,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S13P1SCZ]', u'CARMA': u'[61238]'}"
1692,Petrasi,Monte petrasi,,,Wind,,Italy,PP,34.0,,37.29354,13.793563,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S19MPWPS]', u'CARMA': u'[29181]'}"
1693,Pian della rocca,Pian della rocca,,,Hydro,Run-Of-River,Italy,PP,23.0,,43.978948,10.545703,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S09PDRND]', u'CARMA': u'[65810]'}"
1694,Pianacce,Pianacce,,,Geothermal,,Italy,PP,20.0,,43.260936,11.043626,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S09PNCC3]', u'CARMA': u'[34504]'}"
1695,Piancastagnaio,Piancastagnaio,,,Geothermal,,Italy,PP,68.0,,42.8506734573,11.6901397705,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S09PNCT6, 26WIMPI-S09PNCNI, 26WIMPI-S09P5NC5]', u'CARMA': u'[34505]'}"
1696,Piane,Le piane,,,Hydro,Run-Of-River,Italy,PP,10.0,,44.142257,11.163814,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S08LPNEL]', u'CARMA': u'[65542]'}"
1697,Piedimulera,Piedimulera,,,Hydro,Run-Of-River,Italy,PP,7.46,,46.0240849252,8.25897216797,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S01PDMCO]', u'CARMA': u'[65717]'}"
1698,Pietracatella,Pietracatella,,,Wind,,Italy,PP,27.0,,41.579729,14.872634,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S14PTRCV]', u'CARMA': u'[34589]'}"
1699,Pietramontecorvino,Impianto pietramontecorvino,,,Wind,,Italy,PP,48.0,,41.541631,15.127541,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMYI-S16PTRMB]', u'CARMA': u'[34592]'}"
1700,Pietraporzio,Pietraporzio,,,Hydro,Run-Of-River,Italy,PP,13.0,,44.343724,7.035322,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S01PTRRQ]', u'CARMA': u'[34588]'}"
1701,Pieve vergonte,Pieve vergonte,,,Hydro,Run-Of-River,Italy,PP,50.7,,46.012976,8.260816,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S01PVVR6]', u'CARMA': u'[34595]'}"
1702,Pikerfoss,Pikerfoss,,,Hydro,Run-Of-River,Norway,PP,18.0,,59.85,9.45,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000547Q]', u'CARMA': u'[34606]'}"
1703,Pizzone,Pizzone,,,Hydro,Reservoir,Italy,PP,19.0,,41.672525,14.036415,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S14PZZNZ]', u'CARMA': u'[34837]'}"
1704,Poggi alti,Poggi alti,,,Wind,,Italy,PP,20.0,,42.688925,11.333941,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S09PEPA4]', u'CARMA': u'[35048]'}"
1705,Poggio imperiale,Poggio imperiale,,,Wind,,Italy,PP,30.0,,41.825038,15.365242,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S16PIGGE]', u'CARMA': u'[54737]'}"
1706,Police,Zakłady chemiczne police sa,,,Hard Coal,,Poland,PP,101.6,,53.5521390134,14.5718193054,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[19W0000000002353]', u'CARMA': u'[35112]'}"
1707,Pomigliano,Pomigliano d'arco,,,Natural Gas,,Italy,PP,105.0,,40.950713,14.376232,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S15SGTL1]', u'CARMA': u'[40611]'}"
1708,Pomorzany,Pomorzany,,,Hard Coal,,Poland,PP,134.2,,53.39221,14.525685,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[19W000000000168T]', u'CARMA': u'[35156]'}"
1709,Ponte annibale,Ponte annibale,,,Hydro,Run-Of-River,Italy,PP,8.45,,41.099714,14.220126,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S15PACND]', u'CARMA': u'[35222]'}"
1710,Ponte caffaro,Caffaro,,,Hydro,Run-Of-River,Italy,PP,46.0,,45.8207845069,10.5270695686,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S03P1CFA]', u'CARMA': u'[35224, 6594]'}"
1711,Ponte felice,Ponte felice,,,Hydro,Run-Of-River,Italy,PP,22.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S12PFNT3]', u'CARMA': u'[35231]'}"
1712,Ponte gardena,Ponte gardena,,,Hydro,Run-Of-River,Italy,PP,69.59,,46.597121,11.530879,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S04PGRDE, 26WIMPI-S04PGEPT]', u'CARMA': u'[65838, 35232]'}"
1713,Ponte giulio,Ponte giulio,,,Hydro,Run-Of-River,Italy,PP,18.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S06PGNTJ]', u'CARMA': u'[35233]'}"
1714,Ponte malon,Ponte malon,,,Hydro,Run-Of-River,Italy,PP,8.7,,46.5555556,12.4380556,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S05PMNT1]', u'CARMA': u'[35236]'}"
1715,Ponte marmora,Pontefiume,,,Hydro,Run-Of-River,Italy,PP,9.1,,44.455827,7.082721,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S12PNTM4]', u'CARMA': u'[35237]'}"
1716,Pontecorvo,Pontecorvo,,,Hydro,Run-Of-River,Italy,PP,19.5,,41.382916,13.686911,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S12PNTCO]', u'CARMA': u'[35266]'}"
1717,Porsi,Porsi,,,Hydro,Reservoir,Sweden,PP,275.0,,66.4303768346,20.6243419647,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[46WPU0000000036O]', u'CARMA': u'[35341]'}"
1718,Portile fier,Hpp portile fier,,,Hydro,Run-Of-River,Romania,PP,1406.4,,44.6319444,22.6561111,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[30W-CHE-PDF1---A, 30W-CHE-PDF2---5]', u'CARMA': u'[35441]'}"
1719,Poschiavino,Poschiavino c.le,,,Hydro,Run-Of-River,Italy,PP,10.3,,46.203898,10.133854,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S03PCSCZ]', u'CARMA': u'[65607]'}"
1720,Pracomune,Pracomune,,,Hydro,Pumped Storage,Italy,PP,42.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S04PRCMY]', u'CARMA': u'[35648]'}"
1721,Prata,Le prata,,,Geothermal,,Italy,PP,20.0,,43.55,11.45,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S09LPRTA]', u'CARMA': u'[24762]'}"
1722,Prati vizze,Prati vizze,,,Hydro,Run-Of-River,Italy,PP,25.0,,46.85,11.3833333,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S04PDVRN]', u'CARMA': u'[35684]'}"
1723,Predare,Predare,,,Hydro,Run-Of-River,Italy,PP,11.9,,44.316254,10.341393,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S08PRDRY]', u'CARMA': u'[35700]'}"
1724,Predazzo,Predazzo,,,Hydro,Run-Of-River,Italy,PP,15.2,,46.308814,11.599686,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S04PRDZ5]', u'CARMA': u'[65843]'}"
1725,Premesa,Premesa,,,Hydro,Run-Of-River,Italy,PP,8.2,,46.56662,11.56098,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S04PMRM9]', u'CARMA': u'[35715]'}"
1726,Princess amalia,Prinses alexia windpark,,,Wind,,Netherlands,PP,122.0,,52.6204026715,4.62704658508,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[49W000000000110C]', u'CARMA': u'[36162]'}"
1727,Provvidenza,Provvidenza,,,Hydro,Pumped Storage,Italy,PP,141.0,,44.55,11.1,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S13PRVVW]', u'CARMA': u'[35858]'}"
1728,Pulawy,Za puławy,,,Hard Coal,,Poland,PP,117.0,,51.4165522214,21.9693946838,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[19W000000000212F]', u'CARMA': u'[36028]'}"
1729,Quart,Quartnus,,,Hydro,Run-Of-River,Italy,PP,46.0,,45.740261,7.466604,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S02QRTUB]', u'CARMA': u'[36249]'}"
1730,Quero,Quero,,,Hydro,Run-Of-River,Italy,PP,32.0,,45.921807,11.9315,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S05QRUEM]', u'CARMA': u'[36283]'}"
1731,Quincinetto,Quincinetto,,,Hydro,Run-Of-River,Italy,PP,22.0,,45.56296,7.807315,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S01QNCNO]', u'CARMA': u'[36306]'}"
1732,Raassaa,Rasdalen,,,Hydro,Run-Of-River,Norway,PP,5.2,,60.1666667,12.0333333,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000557N]', u'CARMA': u'[66233]'}"
1733,Ramfoss,Ramfoss,,,Hydro,Reservoir,Norway,PP,39.0,,59.9333333,10.0,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000551Z]', u'CARMA': u'[36537]'}"
1734,Rana,Rana,,,Hydro,Reservoir,Norway,PP,570.2,,68.35,17.0166667,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000552X]', u'CARMA': u'[36575]'}"
1735,Rancia,Rancia,,,Geothermal,,Italy,PP,40.0,,43.260936,11.043626,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S09R2NC7, 26WIMPI-S09RNCAY]', u'CARMA': u'[36590]'}"
1736,Refsdal,Refsdal,,,Hydro,Reservoir,Norway,PP,100.0,,61.0333333,6.5833333,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000558L]', u'CARMA': u'[36959, 36958]'}"
1737,Regoledo,Regoledo,,,Hydro,Run-Of-River,Italy,PP,38.1,,46.135091,9.551643,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S03RGLDS]', u'CARMA': u'[65609]'}"
1738,Reinforsen,Reinforsen,,,Hydro,Reservoir,Norway,PP,4.0,,66.35,14.3333333,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000560Y]', u'CARMA': u'[36999]'}"
1739,Reinset,Reinset,,,Hydro,Reservoir,Norway,PP,5.3,,60.25,6.5666667,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000561W]', u'CARMA': u'[37002]'}"
1740,Rekvatn,Rekvatn,,,Hydro,Reservoir,Norway,PP,27.1,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000563S]', u'CARMA': u'[37019]'}"
1741,Rendalen,Rendalen,,,Hydro,Reservoir,Norway,PP,113.1,,61.7333333,11.3833333,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000566M]', u'CARMA': u'[37047]'}"
1742,Reppa,Reppa,,,Hydro,Reservoir,Norway,PP,11.5,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000568I]', u'CARMA': u'[37088]'}"
1743,Resio,Resio,,,Hydro,Run-Of-River,Italy,PP,12.0,,45.925692,10.250862,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S03RCSL7]', u'CARMA': u'[37104]'}"
1744,Reuter,Hkw reuter,,,Hard Coal,,Germany,CHP,232.0,,52.5243681651,13.4105300903,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[11WD8REUT5X----M]', u'CARMA': u'[37137]'}"
1745,Riedersbach,Kraftwerk riedersbach,,,Hard Coal,,Austria,PP,215.0,,47.75,13.8333333,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[14WENERGIEAGWR05]', u'CARMA': u'[37295]'}"
1746,Riga hpp,Riga hpp,,,Hydro,Run-Of-River,Latvia,PP,402.0,,56.9460041154,24.1058921814,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[43W-RIG-HPP----1]', u'CARMA': u'[37317]'}"
1747,Riksheimdal,Riksheimdal,,,Hydro,Reservoir,Norway,PP,4.6,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000572R]', u'CARMA': u'[37340]'}"
1748,Rio riva,Rio riva,,,Hydro,Run-Of-River,Italy,PP,18.0,,46.920333,11.954483,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S04CTNB6]', u'CARMA': u'[58909]'}"
1749,Ripabottoni,Ripabottoni,,,Wind,,Italy,PP,16.0,,41.689231,14.808331,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S14RPBTE]', u'CARMA': u'[37517]'}"
1750,Ritsem,Ritsem,,,Hydro,Reservoir,Sweden,PP,320.0,,66.9592699603,19.8207092285,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[46WPU0000000026R]', u'CARMA': u'[37535]'}"
1751,Riva garda,Riva del garda nuovo,,,Hydro,Pumped Storage,Italy,PP,213.1,,45.8857663557,10.8411669731,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S04RDGLX]', u'CARMA': u'[37543]'}"
1752,Rivedal,Rivedal,,,Hydro,Reservoir,Norway,PP,3.3,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000573P]', u'CARMA': u'[61564]'}"
1753,Rognsfossen,Rognfossen evang,,,Hydro,Run-Of-River,Norway,PP,7.0,,60.62296,6.42286,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000576J]', u'CARMA': u'[37831]'}"
1754,Roldal,Roldal,,,Hydro,Reservoir,Norway,PP,191.6,,59.8166667,6.8,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000585I]', u'CARMA': u'[37857]'}"
1755,Roppa,Roppa,,,Hydro,Reservoir,Norway,PP,6.1,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000577H]', u'CARMA': u'[37942]'}"
1756,Roskrepp,Roskrepp,,,Hydro,Reservoir,Norway,PP,56.0,,58.3166667,6.95,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000578F]', u'CARMA': u'[37999]'}"
1757,Rovesca alpe cavalli,Rovesca,,,Hydro,Reservoir,Italy,PP,43.0,,46.060376,8.114612,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPIOVESCA-1G]', u'CARMA': u'[38110]'}"
1758,Royrvikfoss,Royrvikfoss,,,Hydro,Reservoir,Norway,PP,18.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000590P]', u'CARMA': u'[38158]'}"
1759,Rygene,Rygene,,,Hydro,Reservoir,Norway,PP,65.0,,58.4,8.6333333,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000580S]', u'CARMA': u'[38365]'}"
1760,Rzeszow,Ec rzeszów,,,Natural Gas,,Poland,PP,101.0,,50.061441,22.027189,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[19W000000000169R]', u'CARMA': u'[38379]'}"
1761,Sage luster,Sage,,,Hydro,Reservoir,Norway,PP,9.1,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000594H]', u'CARMA': u'[38574]'}"
1762,Sagefossen,Sagefossen,,,Hydro,Reservoir,Norway,PP,12.0,,61.8166667,6.15,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000595F]', u'CARMA': u'[38576]'}"
1763,Sagevikelv,Sagevikelv,,,Hydro,Reservoir,Norway,PP,5.6,,60.4833333,5.7333333,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000596D]', u'CARMA': u'[58798]'}"
1764,Sagfossen ns,Sagfossen,,,Hydro,Reservoir,Norway,PP,14.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000597B]', u'CARMA': u'[38583]'}"
1765,Sagittario,Sagittario nuovo,,,Hydro,Run-Of-River,Italy,PP,20.0,,41.99383,13.803905,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S13SMSZ1]', u'CARMA': u'[38587]'}"
1766,Sagnfossen,Sagnfossen,,,Hydro,Reservoir,Norway,PP,7.0,,61.31484,12.26374,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP000000005989]', u'CARMA': u'[38589]'}"
1767,Saheim,Saheim,,,Hydro,Reservoir,Norway,PP,206.0,,59.55,9.25,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP00000000724U]', u'CARMA': u'[38602]'}"
1768,Salbertrand chiomonte,Chiomonte,,,Hydro,Run-Of-River,Italy,PP,16.2,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S01CHMNE]', u'CARMA': u'[38830]'}"
1769,Salisano peschiera,Salisano,,,Hydro,Run-Of-River,Italy,PP,40.0,,42.259328,12.745778,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S12ASCL1]', u'CARMA': u'[38873]'}"
1770,Sallsjo,Sällsjö,,,Hydro,Reservoir,Sweden,PP,172.0,,64.7506673478,20.9527945518,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[46WPU0000000066F]', u'CARMA': u'[38891]'}"
1771,Salsominore,Salsominore,,,Hydro,Run-Of-River,Italy,PP,15.6,,44.643854,9.496569,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S08SLSM8]', u'CARMA': u'[38903]'}"
1772,Sama,Sama,,,Hydro,Reservoir,Norway,PP,7.9,,63.7166667,9.5666667,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[50WP000000006019]', u'CARMA': u'[38983]'}"
1773,Sampeyre,Sampeyre,,,Hydro,Run-Of-River,Italy,PP,36.2,,44.579631,7.184521,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'ENTSOE': u'[26WIMPI-S01SMPYV]', u'CARMA': u'[65736]'}"
