id,Name,Fueltype,Classification,Country,Capacity,lat,lon,File
146,Taloro,Hydro,Pumped storage,Italy,240.0,40.0948744,9.1618871,energy_storage_exchange
147,Marex,Hydro,Pumped storage,Ireland,1.5,53.7355952,-9.5660416,energy_storage_exchange
148,Frades voith,Hydro,Pumped storage,Portugal,778.0,39.399872,-8.224454,energy_storage_exchange
149,Baixo sabor montante edp,Hydro,Pumped storage,Portugal,145.0,39.399872,-8.224454,energy_storage_exchange
150,Baixo sabor jusante,Hydro,Pumped storage,Portugal,37.0,39.399872,-8.224454,energy_storage_exchange
151,Foz tua,Hydro,Pumped storage,Portugal,259.0,41.218619,-7.422822,energy_storage_exchange
152,Salamonde,Hydro,Pumped storage,Portugal,211.0,41.689967,-8.092345,energy_storage_exchange
153,Frades,Hydro,Pumped storage,Portugal,191.6,41.693192,-8.027951,energy_storage_exchange
154,Vilarinho furnas,Hydro,Pumped storage,Portugal,125.0,41.763285,-8.209765,energy_storage_exchange
155,Pont ventoux susa,Hydro,Pumped storage,Italy,158.0,45.139117,6.965528,energy_storage_exchange
156,Amfilochia,Hydro,Pumped storage,Greece,587.8,38.8632567,21.1666182,energy_storage_exchange
157,Amari hybrid,Hydro,Pumped storage,Greece,50.0,35.240117,24.8092691,energy_storage_exchange
158,Obervermuntwerk,Hydro,Pumped storage,Austria,360.0,47.0645191,9.9319848,energy_storage_exchange
159,Cardos valley complex montamara,Hydro,Pumped storage,Spain,90.0,42.644804,1.2569148,energy_storage_exchange
