None,Name,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Fueltype,Technology,Technology,Technology,Technology,Technology,Set,Set,Set,Set,Set,Country,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,Capacity,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,lat,lat,lat,lat,lat,lon,lon,lon,lon,lon,File,File,File,File,File,projectID,projectID,projectID,projectID,projectID
None,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI
2500,Marrocco,Serra marrocco,,,,Wind,Wind,,,,,,,,,PP,PP,,,,Italy,Italy,,,,46.75,46.0,,,,,,,,,37.747452,,,,,14.397271,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[40653],26WIMPI-S19SMCRT,,,
2501,Martin,Pont st. martin,,,,Hydro,Hydro,,,,,Run-of-river,,,,PP,PP,,,,Italy,Italy,,,,45.0,45.0,,,,,,,,,45.595361,,,,,7.794514,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[35185],26WIMPI-S02PNSME,,,
2502,Masino,Masino,,,,Hydro,Hydro,,,,,Run-of-river,,,,PP,PP,,,,Italy,Italy,,,,7.3,7.0,,,,,,,,,46.164292,,,,,9.644944,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[65598],26WIMPI-S03MSNA5,,,
2503,Matese,Matese,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Italy,Italy,,,,42.2,24.0,,,,,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,"[27531, 65540]",26WIMPI-S15M1TS3,,,
2504,Mathi canavese,Canavese,,,,Natural Gas,Natural Gas,,,,,,,,,PP,,,,,Italy,Italy,,,,13.26,15.0,,,,,,,,,45.25515,,,,,7.542015,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[27535],26WIMPI-S03CNVSF,,,
2505,Matre,Matre,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,217.8,274.9,,,,,,,,,60.79887,,,,,5.30418,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[27562],50WP00000000447U,,,
2506,Maudal,Maudal,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,25.0,28.7,,,,,,,,,58.7666667,,,,,6.35,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[27619],50WP000000004504,,,
2507,Mauranger,Mauranger,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,250.0,307.1,,,,,,,,,59.9833333,,,,,6.0166667,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[27629],50WP000000004512,,,
2508,Mauro,Mauro,,,,Hydro,Hydro,,,,,Run-of-river,,,,PP,PP,,,,Italy,Italy,,,,7.5,8.0,,,,,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[39303],26WIMPI-S01SMNRE,,,
2509,Mazzunno,Mazzunno,,,,Hydro,Hydro,,,,,Run-of-river,,,,PP,PP,,,,Italy,Italy,,,,11.3,10.0,,,,,,,,,45.89139,,,,,10.147761,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[27701],26WIMPI-S03ATMN1,,,
2510,Meduno,Meduno,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Italy,Italy,,,,9.12,10.0,,,,,,,,,46.2180556,,,,,12.7980556,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[27851],26WIMPI-S06MDNU7,,,
2511,Mel,Mel,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,50.0,60.0,,,,,,,,,61.0833333,,,,,6.8333333,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[27945],50WP00000000453Z,,,
2512,Melkefoss,Melkefoss,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,22.9,26.0,,,,,,,,,69.4,,,,,29.7833333,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[27972],50WP00000000455V,,,
2513,Meraker,Meraker,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,87.0,108.0,,,,,,,,,63.41406,,,,,11.74298,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[28063],50WP00000000457R,,,
2514,Mesna,Mesna,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,37.5,42.0,,,,,,,,,61.11514,,,,,10.46628,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[28168],50WP00000000458P,,,
2515,Midtre tessa,Midtre tessa,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,7.0,9.0,,,,,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[28367],50WP00000000463W,,,
2516,Militello,Mineo militello,,,,Wind,Wind,,,,,,,,,PP,PP,,,,Italy,Italy,,,,15.3,24.0,,,,,,,,,38.046159,,,,,14.676473,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[51471],26WIMPI-S19MCNL4,,,
2517,Minervino,Minervino murge,,,,Wind,Wind,,,,,,,,,PP,PP,,,,Italy,Italy,,,,32.0,18.0,,,,,,,,,41.084328,,,,,16.078368,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[28580],26WIMPI-S16MANRI,,,
2518,Minnervino murge,Murge,,,,Wind,Wind,,,,,,,,,PP,PP,,,,Italy,Italy,,,,18.0,15.0,,,,,,,,,41.084328,,,,,16.078368,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[59398],26WIMPI-S16MDCR2,,,
2519,Moflat,Moflat,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,29.0,33.0,,,,,,,,,59.55,,,,,9.25,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[28918],50WP00000000469K,,,
2520,Moline vicoforte,Moline,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Italy,Italy,,,,24.74,19.0,,,,,,,,,46.058609,,,,,11.786595,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[28992],26WIMPI-S05MLNOU,,,
2521,Monastero,Monastero,,,,Hydro,Hydro,,,,,Run-of-river,,,,PP,PP,,,,Italy,Italy,,,,56.0,56.0,,,,,,,,,46.171791,,,,,9.430139,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[29043],26WIMPI-S03MNST9,,,
2522,Montalto castro sunray,Montalto,,,,Solar,Solar,,,,,,,,,PP,PP,,,,Italy,Italy,,,,24.0,23.0,,,,,,,,,42.35042,,,,,11.606952,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[62498],26WIMPI-S12MNT2M,,,
2523,Montarone,Montarone,,,,Wind,Wind,,,,,,,,,PP,PP,,,,Italy,Italy,,,,15.55,11.0,,,,,,,,,41.774129,,,,,14.260418,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[62079],26WIMPI-S14M2NTL,,,
2524,Montecalvello,Montecalvello,,,,Wind,Wind,,,,,,,,,PP,PP,,,,Italy,Italy,,,,41.4,41.0,,,,,,,,,43.096743,,,,,12.382858,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[63519],26WIMPI-S16MCNT6,,,
2525,Montecute,Monte cute,,,,Wind,Wind,,,,,,,,,PP,PP,,,,Italy,Italy,,,,42.0,44.0,,,,,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[29204],26WIMPI-S17PEMCE,,,
2526,Montefalcone ivpc,Ivpc montefalcone,,,,Wind,Wind,,,,,,,,,PP,PP,,,,Italy,Italy,,,,25.8,30.0,,,,,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[29206],26WIMPI-S15IMVPD,,,
2527,Montelungo,Montelungo,,,,Hydro,Hydro,,,,,Run-of-river,,,,PP,PP,,,,Italy,Italy,,,,35.2,32.0,,,,,,,,,41.405919,,,,,13.985517,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[29216],26WIMYI-S15MNTNB,,,
2528,Monticelli,Monticelli,,,,Wind,Wind,,,,,,,,,PP,PP,,,,Italy,Italy,,,,12.0,12.0,,,,,,,,,41.372427,,,,,15.096142,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[29267],26WIMPI-M16FERTW,,,
2529,Montjovet,Montjovet,,,,Hydro,Hydro,,,,,Run-of-river,,,,PP,PP,,,,Italy,Italy,,,,50.0,50.0,,,,,,,,,45.707963,,,,,7.67411,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[29276],26WIMPI-S02MNTJW,,,
2530,Morasco,Ponte morasco,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Italy,Italy,,,,74.61,92.0,,,,,,,,,46.376886,,,,,8.425713,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,"[65711, 65719]",26WIMPI-PONTE-10,,,
2531,Morino,Morino,,,,Hydro,Hydro,,,,,Run-of-river,,,,PP,PP,,,,Italy,Italy,,,,11.5,11.0,,,,,,,,,41.864425,,,,,13.456999,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[65532],26WIMPI-S13MRNOB,,,
2532,Morre,Morre,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,13.7,16.0,,,,,,,,,63.966667,,,,,10.2,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[29408],50WP00000000471X,,,
2533,Mosvik,Mosvik,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,37.0,46.0,,,,,,,,,63.8177,,,,,11.00581,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[29508],50WP00000000475P,,,
2534,Mucone,Mucone,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Italy,Italy,,,,54.0,54.0,,,,,,,,,39.446096,,,,,16.288292,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[65524],26WIMPI-S18M2CN5,,,
2535,Muschioso,Muschioso,,,,Hydro,Hydro,,,,,Run-of-river,,,,PP,PP,,,,Italy,Italy,,,,8.5,8.0,,,,,,,,,44.295555,,,,,10.570198,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[65557],26WIMPI-S08MSCHV,,,
2536,Mydalen,Mydalen,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,6.8,8.0,,,,,,,,,59.600748034,,,,,8.65010261536,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[30052],50WP00000000477L,,,
2537,Mykstufoss,Mykstufoss,,,,Hydro,Hydro,,,,,Run-of-river,,,,PP,PP,,,,Norway,Norway,,,,48.0,72.0,,,,,,,,,59.98431,,,,,9.29644,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[30055],50WP00000000478J,,,
2538,Myra,Myra,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,3.15,4.0,,,,,,,,,60.3333333,,,,,5.2,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[30071],50WP00000000479H,,,
2539,Myster,Myster,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,107.0,125.0,,,,,,,,,60.4833333,,,,,5.7333333,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[30082],50WP00000000480W,,,
2540,Naddvik,Naddvik,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,100.0,118.0,,,,,,,,,61.2,,,,,7.6166667,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[30131],50WP00000000488G,,,
2541,Naistenlahti,Naistenlahti,,,,Natural Gas,Natural Gas,,,,,,,,,CHP,,,,,Finland,Finland,,,,195.9,129.0,,,,,,,,,61.4991132141,,,,,23.7871170044,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[30232],44W-T-YT-000007E,,,
2542,Narbone,Monte narbone,,,,Wind,Wind,,,,,,,,,PP,PP,,,,Italy,Italy,,,,20.4,20.0,,,,,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[30483],26WIMPI-S19MNENK,,,
2543,Nazzano,Nazzano,,,,Hydro,Hydro,,,,,Run-of-river,,,,PP,PP,,,,Italy,Italy,,,,17.01,20.0,,,,,,,,,42.231126,,,,,12.596275,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[30686],26WIMPI-S12NZZNK,,,
2544,Nea,Nea,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,242.9,259.8,,,,,,,,,63.21666685,,,,,11.03333315,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,"[30706, 30744]",50WP00000000494L,,,
2545,Nedalsfoss,Nedalsfoss,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,26.0,28.0,,,,,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[30737],50WP00000000497F,,,
2546,Nedre rossaga,Nedre rossaga,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,250.0,378.4,,,,,,,,,68.5333333,,,,,15.2166667,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[30745],50WP00000000498D,,,
2547,Nedre svultingen,Nedre svultingen,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,8.0,11.0,,,,,,,,,61.17109,,,,,5.29603,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[30746],50WP00000000501D,,,
2548,Nedre tessa,Nedre tessa,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,19.7,24.5,,,,,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[30747],50WP00000000502B,,,
2549,Nedre vinstra,Nedre vinstra,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,275.0,342.5,,,,,,,,,61.6,,,,,9.75,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[30748],50WP000000005039,,,
2550,Nedrefoss,Nedrefoss,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,3.6,4.0,,,,,,,,,60.1833333,,,,,6.1,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[57750],50WP000000005055,,,
2551,Nembia,Nembia,,,,Hydro,Hydro,,,,,Run-of-river,,,,PP,PP,,,,Italy,Italy,,,,13.5,14.0,,,,,,,,,46.076602,,,,,10.908474,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[30801],26WIMPI-S04NMBE9,,,
2552,Nes,Nes oek,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,280.0,299.2,,,,,,,,,60.1166667,,,,,10.8166667,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[30830],50WPI00000005085,,,
2553,Nomeland,Nomeland,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,28.0,55.5,,,,,,,,,58.3833333,,,,,7.8333333,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[31441],50WP00000000511A,,,
2554,Norddalen,Norddalen,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,7.5,9.0,,,,,,,,,68.55,,,,,17.5833333,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[31478],50WP000000005128,,,
2555,Nore,Nore,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,252.0,241.7,,,,,,,,,60.26722,,,,,8.94721,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,"[31516, 31517]",50WP00000000517Z,,,
2556,Nouva lago,Nuova lago,,,,Geothermal,Geothermal,,,,,,,,,PP,PP,,,,Italy,Italy,,,,10.0,11.0,,,,,,,,,43.1455558636,,,,,10.8559083939,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[65783],26WIMPI-S09NLVGU,,,
2557,Nove,Nove,,,,Hydro,Hydro,,,,,Run-of-river,,,,PP,PP,,,,Italy,Italy,,,,110.0,65.0,,,,,,,,,45.9766667,,,,,12.3033333,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,"[31778, 31780]",26WIMPI-S05N7V1T,,,
2558,Novle,Novle,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,45.0,50.0,,,,,,,,,59.8333333,,,,,6.9,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[31785],50WP000000005225,,,
2559,Nowa sarzyna,Ec nowa sarzyna,,,,Natural Gas,Natural Gas,,,,,,,,,PP,,,,,Poland,Poland,,,,119.0,128.9,,,,,,,,,50.3208607536,,,,,22.3445606232,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[31827],19W0000000000571,,,
2560,Nulvi,Ploaghe nulvi,,,,Wind,Wind,,,,,,,,,PP,PP,,,,Italy,Italy,,,,45.95,43.0,,,,,,,,,40.785,,,,,8.7419444,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,"[54404, 65008]",26WIMPI-S20PLGHT,,,
2561,Nuova castelnuovo,Nuova castelnuovo,,,,Geothermal,Geothermal,,,,,,,,,PP,PP,,,,Italy,Italy,,,,14.5,15.0,,,,,,,,,43.55,,,,,11.45,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[62518],26WIMPI-S09CSTVX,,,
2562,Nuova lagoni rossi,Lagoni rossi,,,,Geothermal,Geothermal,,,,,,,,,PP,PP,,,,Italy,Italy,,,,12.0,20.0,,,,,,,,,43.298935,,,,,10.872821,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[64544],26WIMPI-S09LGRSB,,,
2563,Nuova martin,Nuova martino,,,,Geothermal,Geothermal,,,,,,,,,PP,PP,,,,Italy,Italy,,,,40.0,39.0,,,,,,,,,43.1455558636,,,,,10.8559083939,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[65784],26WIMPI-N09SLMRD,,,
2564,Nuova molinetto,Nuova molinetto,,,,Geothermal,Geothermal,,,,,,,,,PP,PP,,,,Italy,Italy,,,,20.0,18.0,,,,,,,,,43.55,,,,,11.45,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[62522],26WIMPI-S09NMVLG,,,
2565,Nuova monterotondo,Nuova monterotondo,,,,Geothermal,Geothermal,,,,,,,,,PP,PP,,,,Italy,Italy,,,,10.0,11.0,,,,,,,,,43.1455558636,,,,,10.8559083939,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[62519],26WIMPI-S09NMVNC,,,
2566,Nuova sasso,Nuova sasso,,,,Geothermal,Geothermal,,,,,,,,,PP,PP,,,,Italy,Italy,,,,14.1,17.0,,,,,,,,,43.55,,,,,11.45,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[62521],26WIMPI-S09NSVSF,,,
2567,Nuova serrazzano,Nuova serrazzano,,,,Geothermal,Geothermal,,,,,,,,,PP,PP,,,,Italy,Italy,,,,60.0,49.0,,,,,,,,,43.298935,,,,,10.872821,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[62517],26WIMPI-S09SRRZT,,,
2568,Nurri,Nurri,,,,Wind,Wind,,,,,,,,,PP,PP,,,,Italy,Italy,,,,22.1,22.0,,,,,,,,,39.71,,,,,9.23,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[31915],26WIMPI-S20NMGRF,,,
2569,Nye tyin,Tyin,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,360.0,440.0,,,,,,,,,61.55,,,,,6.35,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[31947],50WP00000000771L,,,
2570,Nygard bkk,Nygard,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,60.0,65.0,,,,,,,,,60.1,,,,,6.6333333,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[31950],50WP000000005233,,,
2571,Nygard narvik,Nygard,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,23.23,28.1,,,,,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[31951],50WP000000005241,,,
2572,Nyhamna,Rka nyhamna,,,,Natural Gas,Natural Gas,,,,,,,,,PP,,,,,Norway,Norway,,,,150.0,253.2,,,,,,,,,62.85,,,,,6.9666667,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[31955],50WP00000000575L,,,
2573,Nyset,Nyset,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,3.6,5.9,,,,,,,,,61.23711,,,,,7.69834,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[31972],50WP00000000527W,,,
2574,Ogreyfoss,Ogreyfoss,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,11.8,18.0,,,,,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[32259],50WP00000000837H,,,
2575,Oksebotn,Oksebotn,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,11.4,15.5,,,,,,,,,60.62296,,,,,6.42286,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[32379],50WP000000005322,,,
2576,Oksla,Oksla,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,215.0,240.0,,,,,,,,,60.7030556,,,,,4.7044444,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[32381],50WP000000005330,,,
2577,Oldereid,Oldereid,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,14.4,14.0,,,,,,,,,67.15,,,,,14.9166667,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[32438],50WP00000000534Z,,,
2578,Oljusjoen,Oljusjoen,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,50.5,56.0,,,,,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[32470],50WP00000000840S,,,
2579,Oltedal lyse,Oltedal,,,,Hydro,Hydro,,,,,Run-of-river,,,,PP,PP,,,,Norway,Norway,,,,9.1,10.0,,,,,,,,,58.8333333,,,,,6.0333333,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[32502],50WP00000000535X,,,
2580,Oltesvik,Oltesvik,,,,Hydro,Hydro,,,,,Run-of-river,,,,PP,PP,,,,Norway,Norway,,,,5.0,5.6,,,,,,,,,58.85,,,,,6.1,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[32503],50WP00000000536V,,,
2581,Ordona,Ordona valle scodella,,,,Wind,Wind,,,,,,,,,PP,PP,,,,Italy,Italy,,,,34.0,34.0,,,,,,,,,41.315529,,,,,15.627355,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[61956],26WIMPI-S16ORDNF,,,
2582,Ormsetfoss,Ormsetfoss,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,40.0,50.0,,,,,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[32792],50WP00000000539P,,,
2583,Orteren,Ortern,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,10.2,13.0,,,,,,,,,60.4666667,,,,,7.8,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[32830],50WP00000000843M,,,
2584,Osa,Osa,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,90.0,95.5,,,,,,,,,61.13484,,,,,11.36409,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[32847],50WP000000005403,,,
2585,Osbu,Osbu,,,,Hydro,Hydro,,,,,,,,,PP,PP,,,,Norway,Norway,,,,20.0,28.0,,,,,,,,,62.5166667,,,,,8.5,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[32911],50WPI00000005425,,,
