None,Name,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Fueltype,Technology,Technology,Technology,Technology,Technology,Set,Set,Set,Set,Set,Country,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,Capacity,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,lat,lat,lat,lat,lat,lon,lon,lon,lon,lon,File,File,File,File,File,projectID,projectID,projectID,projectID,projectID
None,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI
38,Anllares,Anllares,Anllares,,Anllares,Hard Coal,Coal,Hard Coal,,Coal,,,Steam Turbine,,,PP,,PP,,PP,Spain,Spain,Spain,,Spain,350.0,346.8,365.2,,346.84,,,,,,42.546638,,42.8385,,,-6.596187,,-6.5332,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,[1622],18WALL1-12345-0K,G207,,[183]
39,Arcos iberdrola,Arcos,Arcos frontera,,Arcos frontera,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Spain,Spain,Spain,,Spain,1581.0,822.8,1600.0,,1585.39,,,,,,36.675206,,36.6721,,,-5.815155,,-5.8164,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,[1942],18WARCOS3-123-0Z,G534,,[199]
40,Ardnacrusha,Ardnacrucha production unit,Ardnacrusha,,Ardnacrusha,Hydro,Hydro,Hydro,,Hydro,,Run-of-river,Run-Of-River,,,PP,PP,PP,,PP,Ireland,Ireland,Ireland,,Ireland,85.5,86.0,86.0,,86.0,,,,,,51.9263889,,52.7056,,,-9.0091667,,-8.6128,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Ireland and Northern Ireland.csv,[1953],47W000000000230W,G980,,[202]
41,Arrubal,Arrubal,Arrubal,,Arrubal,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Spain,Spain,Spain,,Spain,800.0,394.6,800.0,,784.7,,,,,,42.43748,,42.4194,,,-2.25033,,-2.2511,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,[2132],18WARRU1-1234-0J,G561,,[229]
42,Aschach,Aschach,Aschach,,Aschach,Hydro,Hydro,Hydro,,Hydro,,Run-of-river,Run-Of-River,,,PP,PP,PP,,PP,Austria,Austria,Austria,,Austria,266.8,287.4,287.0,,287.0,,,,,,48.0131234861,,48.3853,,,14.3354415894,,14.023,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Verbund Power Plant.csv,[2246],14W-BAS-KW-----I,G735,,[235]
43,Bahia bizkaia,Bahiab,Bahia algeciras,,Ctcc bahia algeciras,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Spain,Spain,Spain,,Spain,788.0,785.3,800.0,,820.536,,,,,,43.35,,36.1829,,,-3.0833333,,-5.3905,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,[2874],18WBAHIAB-123-0X,G537,,[1038]
44,Barrios,Barrios,Los barrios,,Barrios,Hard Coal,Coal,Hard Coal,,Coal,,,Steam Turbine,,,PP,,PP,,PP,Spain,Spain,Spain,,Spain,567.5,570.0,568.0,,570.05,,,,,,36.183696,,36.1828,,,-5.418414,,-5.42,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,[25833],18WBRR1-12345-0H,G198,,[343]
45,Candela,Candela,Edison candela,,Candela,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Italy,Italy,Italy,,Italy,385.0,401.0,360.0,,400.0,,,,,,41.201667,,41.2014,,41.137925,15.475833,,15.4762,,15.514654,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[6924],26WIMPI-S16CNDLL,G408,,[712]
46,Cassano d'adda,Cassano,Cassano d'adda,,Cassano d’adda,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,CHP,,PP,,PP,Italy,Italy,Italy,,Italy,995.0,748.0,1000.0,,1000.0,,,,,,45.464269381,,45.512,,45.5263333,9.18950557709,,9.509,,9.5214907,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[7324],26WIMPI-S03ACMNW,G421,,[770]
47,Castellon,Castello,Castellon,,"Ctcc castellon,",Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,"PP, CHP",,PP,,PP,Spain,Spain,Spain,,Spain,1642.35,839.3,854.0,,1621.35,,,,,,39.9747735333,,39.95925,,,-0.0241322,,-0.00098,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,"[7363, 7367, 7374]",18WCTN4-123456-C,G568,,"[776, 1040]"
