Name,Country,lat,lon
ASTON,France,42.774335,1.675064
ST LAURENT 1,France,46.227638,2.213749
HERMILLON,France,45.298113,6.362291
VAIRES 2,France,48.87360899999999,2.639543
AMFARD15,France,46.227638,2.213749
VAIRES 3,France,48.87360899999999,2.639543
VAIRES 1,France,48.87360899999999,2.639543
CYCOFOS TV2,France,46.227638,2.213749
GENNEVILLIERS 1,France,48.925525,2.293275
CATTENOM 3,France,49.406263,6.243668
CYCOFOS,France,43.4289232,4.8840074
DIRINON 2,France,48.39819360000001,-4.269775399999999
DK6,France,51.0474662,2.3257493
PALUEL 4,France,49.832363,0.629065
PALUEL 2,France,49.832363,0.629065
PALUEL 3,France,49.832363,0.629065
PALUEL 1,France,49.832363,0.629065
NOGENT 2,France,48.026938,5.341362999999999
CATTENOM 1,France,49.406263,6.243668
RANCE,France,48.5690229,-1.9965277
BELLEVILLE 2,France,48.8728179,2.389461
MONTEREAU 6,France,48.4180478,2.9587619
BELLEVILLE 1,France,48.8728179,2.389461
SEYSSEL,France,45.9592788,5.8507466
MONTEREAU 5,France,48.3270913,2.8506061
BUGEY 5,France,45.95843600000001,5.359556
CHAUTAGNE,France,45.880811,5.842855999999999
SUPER BISSORTE,France,46.227638,2.213749
GRAND MAISON,France,43.791966,6.665229999999999
COCHE,France,46.227638,2.213749
CATTENOM 2,France,49.406263,6.243668
CHEYLAS,France,45.370801,5.992381
GENISSIAT,France,46.0544281,5.7652303
FR-GA-MORANT1,France,46.227638,2.213749
BUGEY 4,France,45.95843600000001,5.359556
BUGEY 3,France,45.95843600000001,5.359556
BLAYAIS 4,France,44.8048294,-0.7706249
BUGEY 2,France,45.95843600000001,5.359556
CADEROUSSE,France,44.102091,4.756495999999999
BOLLENE,France,44.2811484,4.75331
HAVRE 4,France,49.49437,0.107929
CHATEAUNEUF-DU-RHONE,France,44.4864745,4.7167755
CORDEMAIS 5,France,47.291429,-1.876729
LOGIS-NEUF 1,France,44.2226232,5.9203033
SAINT-PIERRE,France,43.912546,6.924309
MAREGES,France,45.14707,5.036007
BEAUCAIRE,France,43.807235,4.644269
AVIGNON,France,43.94931700000001,4.805528
TRICASTIN 1,France,44.3262629,4.731315700000001
AIGLE,France,46.227638,2.213749
PIERRE-BENITE,France,45.7030349,4.821038199999999
VAUGRIS,France,45.4685944,4.8420315
TRICASTIN 2,France,44.3262629,4.731315700000001
PROVENCE 4 BIOMASSE,France,44.0144936,6.2116438
ST LAURENT 2,France,46.227638,2.213749
SABLONS 1,France,45.31844299999999,4.773282
BREGNIER-CORDON,France,45.6483909,5.619443
MONTEZIC,France,44.709426,2.640329
SAULT-BRENAZ,France,45.8570909,5.406098999999999
REVIN,France,49.941893,4.637199
BOURG les VALENCE,France,44.9518575,4.9029212
CORDEMAIS 4,France,47.291429,-1.876729
BEAUCHASTEL,France,44.8258962,4.8028322
BRENS,France,43.88991499999999,1.910185
TRICASTIN 4,France,44.3262629,4.731315700000001
TRICASTIN 3,France,44.3262629,4.731315700000001
CIVAUX 2,France,46.444209,0.664866
CURBANS,France,44.427565,6.035874
COMBE D'AVRIEUX,France,45.216637,6.722442
CIVAUX 1,France,46.444209,0.664866
BROMMAT,France,44.83062899999999,2.6841
CHOOZ 2,France,50.102368,4.807117
BORT,France,45.400996,2.495397
GERVANS 2,France,45.108176,4.831526999999999
LOGIS NEUF 2,France,44.220325,5.918156
MONTEYNARD,France,44.9793282,5.701300799999999
SABLONS 2,France,45.31844299999999,4.773282
MALGOVERT,France,46.227638,2.213749
CRUAS 1,France,44.656914,4.765255
GERVANS 1,France,45.108176,4.831526999999999
CHINON 1,France,47.167296,0.240385
CATTENOM 4,France,49.406263,6.243668
SAUVETERRE,France,44.024696,4.793843
CHOOZ 1,France,50.102368,4.807117
BATHIE,France,45.6262169,6.449892999999999
CHINON 4,France,47.167296,0.240385
CHINON 3,France,47.167296,0.240385
CHINON 2,France,47.167296,0.240385
DAMPIERRE 1,France,47.154674,5.739674
COMBIGOLFE,France,43.4074172,4.867611399999999
DAMPIERRE 2,France,47.154674,5.739674
CRUAS 4,France,44.656914,4.765255
CRUAS 3,France,44.656914,4.765255
SPEM,France,46.227638,2.213749
FESSENHEIM 2,France,48.6576681,7.566388999999999
FESSENHEIM 1,France,47.91470899999999,7.537625999999999
DAMPIERRE 4,France,47.154674,5.739674
DAMPIERRE 3,France,47.154674,5.739674
BOUCHAIN 7,France,50.281524,3.319975
BLENOD 5,France,48.8811589,6.053062
PIED DE BORNE,France,44.475285,3.984922999999999
ORAISON,France,43.914706,5.921487
CRUAS 2,France,44.656914,4.765255
MARTIGUES PONTEAU 6,France,43.368516,5.017733
MARTIGUES PONTEAU 5,France,43.368516,5.017733
ST ETIENNE CANTALES,France,44.94902,2.225837
SISTERON,France,44.194713,5.943191
SARRANS,France,44.083415,4.971544
SAINT GUILLERME,France,43.734434,3.549015
SAINT ESTEVE,France,42.711815,2.8437039
SAINTE CROIX,France,49.481459,3.779715
SAINT CHAMAS,France,43.550669,5.034508
FLAMANVILLE 1,France,49.53207,-1.865804
SERRE PONCON,France,44.5272855,6.381120699999999
PRAGNERES,France,42.81933600000001,0.0113709
POUGET,France,43.59246599999999,3.523704
VILLARODIN,France,45.2260931,6.685819299999999
GRAVELINES 4,France,50.98707,2.125537
GRAVELINES 3,France,50.98707,2.125537
AMFARD14,France,46.227638,2.213749
GRAVELINES 1,France,50.98707,2.125537
GRAVELINES 2,France,50.98707,2.125537
GOLFECH 2,France,44.114113,0.851985
PROVENCE 5,France,44.0144936,6.2116438
MARCKOLSHEIM,France,48.163894,7.543984999999998
NOGENT 1,France,48.026938,5.341362999999999
RHINAU,France,48.318771,7.704565999999999
CHASTANG,France,45.172484,1.734632
GRAVELINES 6,France,50.98707,2.125537
FESSENHEIM,France,47.91470899999999,7.537625999999999
VOUGLANS,France,46.485,5.680833
GRAVELINES 5,France,50.98707,2.125537
ARRIGHI 2,France,46.227638,2.213749
Pont-sur-Sambre,France,50.222336,3.847567
ARRIGHI 1,France,46.227638,2.213749
Croix-de-Metz,France,49.1193089,6.175715599999999
MONTPEZAT,France,43.854065,4.159873
GOLFECH 1,France,44.114113,0.851985
EMILE HUCHET 8,France,49.1543343,6.7052062
FLAMANVILLE 2,France,49.53207,-1.865804
EMILE HUCHET 7,France,49.1543343,6.7052062
BRENNILIS 1,France,48.357285,-3.85065
EMILE HUCHET 6,France,49.1543343,6.7052062
MEGALOPOLI_V,Greece,39.074208,21.824312
AG_DIMITRIOS2,Greece,39.074208,21.824312
AMYNDEO2,Greece,39.074208,21.824312
LAVRIO5,Greece,37.714177,24.0576632
MEGALOPOLI4,Greece,37.401244,22.1364871
THESAVROS1,Greece,39.074208,21.824312
ILARIONAS,Greece,39.074208,21.824312
