,ENTSOE,WEPP
595,816.0,28484.0
596,817.0,12515.0
597,818.0,12539.0
598,821.0,12712.0
599,822.0,12716.0
600,823.0,12721.0
601,824.0,12726.0
602,825.0,12769.0
603,826.0,12802.0
604,827.0,12803.0
605,828.0,20585.0
606,829.0,12821.0
607,830.0,12877.0
608,831.0,12879.0
609,832.0,12887.0
610,833.0,13024.0
611,834.0,12933.0
612,835.0,12988.0
613,836.0,12994.0
614,838.0,30423.0
615,1335.0,10287.0
616,841.0,13029.0
617,842.0,13039.0
618,843.0,13073.0
619,844.0,13141.0
620,845.0,13145.0
621,847.0,13168.0
622,848.0,3698.0
623,849.0,10606.0
624,851.0,22809.0
625,853.0,24719.0
626,854.0,27329.0
627,855.0,27718.0
628,856.0,28628.0
629,861.0,22041.0
630,862.0,26032.0
631,863.0,13208.0
632,864.0,13265.0
633,867.0,13287.0
634,868.0,13289.0
635,872.0,13345.0
636,873.0,13348.0
637,874.0,12147.0
638,875.0,12897.0
639,876.0,12906.0
640,877.0,13367.0
641,879.0,18377.0
642,884.0,13470.0
643,885.0,13474.0
644,887.0,13509.0
645,888.0,3357.0
646,889.0,22183.0
647,890.0,6740.0
648,1460.0,21639.0
649,895.0,22823.0
650,1458.0,21629.0
651,900.0,29109.0
652,903.0,13560.0
653,907.0,13602.0
654,908.0,15717.0
655,910.0,13683.0
656,911.0,13687.0
657,913.0,13704.0
658,914.0,18426.0
659,915.0,22339.0
660,916.0,13745.0
661,1806.0,26831.0
662,918.0,21530.0
663,919.0,25951.0
664,920.0,13758.0
665,922.0,13791.0
666,923.0,445.0
667,928.0,19246.0
668,930.0,13897.0
669,933.0,13934.0
670,936.0,14078.0
671,937.0,14086.0
672,938.0,14104.0
673,939.0,14106.0
674,940.0,14107.0
675,941.0,471.0
676,942.0,14147.0
677,943.0,14163.0
678,944.0,14204.0
679,945.0,13884.0
680,946.0,13844.0
681,947.0,13903.0
682,948.0,13910.0
683,949.0,14237.0
684,950.0,14276.0
685,951.0,14278.0
686,952.0,14325.0
687,953.0,14364.0
688,954.0,14367.0
689,956.0,14400.0
690,957.0,14402.0
691,959.0,14414.0
692,960.0,14433.0
693,961.0,22914.0
694,2089.0,1205.0
695,964.0,14501.0
696,965.0,14516.0
697,969.0,14544.0
698,970.0,14547.0
699,971.0,14548.0
700,972.0,14561.0
701,973.0,14587.0
702,974.0,14601.0
703,975.0,14604.0
704,976.0,14607.0
705,977.0,14617.0
706,979.0,14717.0
707,982.0,14739.0
708,983.0,14741.0
709,987.0,14851.0
710,988.0,14857.0
711,989.0,14859.0
712,990.0,14884.0
713,991.0,14888.0
714,992.0,14891.0
715,994.0,14893.0
716,995.0,2818.0
717,996.0,16388.0
718,997.0,19581.0
719,998.0,22156.0
720,999.0,14979.0
721,1001.0,14995.0
722,1002.0,16812.0
723,1003.0,15032.0
724,1004.0,15041.0
725,1005.0,15059.0
726,1008.0,15095.0
727,1009.0,15103.0
728,1010.0,15125.0
729,1011.0,15191.0
730,1012.0,15199.0
731,1014.0,15209.0
732,1015.0,15212.0
733,1016.0,15227.0
734,1017.0,15263.0
735,1019.0,15353.0
736,1020.0,1667.0
737,1022.0,7787.0
738,1023.0,8405.0
739,1024.0,8951.0
740,1025.0,9043.0
741,1026.0,15271.0
742,1027.0,16244.0
743,1030.0,24536.0
744,1032.0,28582.0
745,1033.0,30821.0
746,1034.0,31090.0
747,1035.0,31667.0
748,1036.0,32356.0
749,1038.0,15370.0
750,1039.0,15423.0
751,1040.0,15459.0
752,1041.0,15474.0
753,1042.0,15477.0
754,1043.0,15483.0
755,1044.0,8937.0
756,1045.0,15536.0
757,1046.0,15382.0
758,1048.0,15626.0
759,1049.0,15641.0
760,1050.0,15653.0
761,1051.0,15658.0
762,1052.0,15671.0
763,1053.0,15673.0
764,1054.0,15689.0
765,1055.0,15692.0
766,1056.0,15695.0
767,1057.0,15697.0
768,1058.0,15699.0
769,1059.0,15700.0
770,1062.0,32269.0
771,1063.0,15742.0
772,1064.0,15744.0
773,1065.0,15819.0
774,1067.0,15842.0
775,1068.0,15860.0
776,1069.0,18607.0
777,1070.0,15872.0
778,1072.0,15917.0
779,1076.0,15949.0
780,1078.0,26261.0
781,1080.0,16060.0
782,1081.0,16094.0
783,1082.0,16095.0
784,1083.0,2505.0
785,1084.0,16117.0
786,1085.0,16129.0
787,1086.0,16145.0
788,1087.0,16149.0
789,1088.0,16166.0
790,1089.0,16171.0
791,1090.0,16175.0
792,1092.0,16206.0
793,1094.0,16277.0
794,1096.0,16284.0
795,1097.0,16289.0
796,1098.0,16299.0
797,1100.0,22965.0
798,1101.0,16319.0
799,1102.0,5982.0
800,1103.0,16398.0
801,1104.0,16401.0
802,1105.0,16413.0
803,1106.0,16415.0
804,1108.0,16456.0
805,1109.0,16498.0
806,1110.0,292.0
807,1111.0,16553.0
808,1112.0,16578.0
809,1113.0,29307.0
810,1114.0,16609.0
811,1115.0,16641.0
812,1116.0,16647.0
813,1117.0,16669.0
814,1120.0,16693.0
815,1121.0,16696.0
816,1122.0,16727.0
817,1123.0,14401.0
818,1124.0,5359.0
819,1125.0,16783.0
820,1127.0,16821.0
821,1128.0,16834.0
822,1129.0,16841.0
823,1130.0,16862.0
824,1131.0,16871.0
825,1132.0,16872.0
826,1133.0,16875.0
827,1134.0,25809.0
828,1137.0,17030.0
