,CARMA,OPSD
925,8574.0,2094.0
926,8583.0,2095.0
927,8596.0,2097.0
928,8618.0,2038.0
929,8627.0,2108.0
930,8629.0,2109.0
931,8652.0,3788.0
932,8667.0,2129.0
933,8674.0,2132.0
934,8675.0,2133.0
935,8688.0,2567.0
936,8695.0,2142.0
937,8699.0,2143.0
938,9494.0,2378.0
939,8710.0,2147.0
940,8720.0,2158.0
941,8725.0,2172.0
942,8726.0,2272.0
943,8734.0,2186.0
944,8737.0,2189.0
945,8738.0,2190.0
946,8744.0,2193.0
947,8753.0,2197.0
948,8762.0,3898.0
949,8769.0,2211.0
950,8776.0,2216.0
951,8777.0,2217.0
952,8778.0,2218.0
953,8788.0,2225.0
954,8794.0,3368.0
955,8795.0,2228.0
956,8797.0,2229.0
957,8798.0,2230.0
958,8806.0,4552.0
959,8812.0,2237.0
960,8817.0,2241.0
961,8819.0,4319.0
962,8826.0,2243.0
963,8833.0,2247.0
964,8837.0,2249.0
965,8847.0,2250.0
966,8871.0,3440.0
967,8878.0,2252.0
968,8900.0,2255.0
969,8905.0,2259.0
970,8909.0,2260.0
971,8920.0,2629.0
972,8934.0,2310.0
973,8937.0,2261.0
974,8942.0,2311.0
975,16933.0,4083.0
976,8964.0,2263.0
977,8966.0,2264.0
978,8968.0,2266.0
979,8971.0,2267.0
980,8985.0,2268.0
981,8992.0,2270.0
982,9002.0,1366.0
983,9005.0,2275.0
984,9032.0,2281.0
985,9056.0,2282.0
986,9067.0,2287.0
987,11011.0,2626.0
988,9065.0,2285.0
989,9072.0,2288.0
990,9081.0,2290.0
991,9082.0,2291.0
992,9083.0,2292.0
993,9088.0,658.0
994,9089.0,2294.0
995,9092.0,4425.0
996,9094.0,2299.0
997,9102.0,2300.0
998,9113.0,2302.0
999,9122.0,2305.0
1000,9123.0,2306.0
1001,9124.0,2307.0
1002,9134.0,2308.0
1003,9140.0,2309.0
1004,9147.0,2315.0
1005,9149.0,2316.0
1006,9153.0,3105.0
1007,9155.0,2317.0
1008,9160.0,2472.0
1009,9166.0,2318.0
1010,9168.0,2319.0
1011,9179.0,2320.0
1012,10912.0,2603.0
1013,9206.0,2322.0
1014,9208.0,2323.0
1015,9217.0,2326.0
1016,9233.0,4007.0
1017,9238.0,2327.0
1018,9239.0,2328.0
1019,9240.0,2330.0
1020,9263.0,2335.0
1021,9267.0,2336.0
1022,9268.0,2337.0
1023,9270.0,2338.0
1024,9275.0,2340.0
1025,9281.0,2341.0
1026,15079.0,3643.0
1027,9335.0,2348.0
1028,9353.0,2350.0
1029,9360.0,2353.0
1030,9364.0,2354.0
1031,9376.0,2355.0
1032,9381.0,2356.0
1033,9401.0,2359.0
1034,9402.0,2360.0
1035,9405.0,2361.0
1036,9406.0,2362.0
1037,9409.0,2363.0
1038,9411.0,2364.0
1039,9412.0,2365.0
1040,9420.0,2366.0
1041,9431.0,2369.0
1042,9432.0,2368.0
1043,9444.0,2371.0
1044,9472.0,1741.0
1045,9482.0,2375.0
1046,9484.0,2376.0
1047,9496.0,2379.0
1048,9498.0,2380.0
1049,9500.0,2381.0
1050,9504.0,2382.0
1051,9505.0,2384.0
1052,9512.0,2385.0
1053,9525.0,2386.0
1054,9540.0,2387.0
1055,9543.0,2388.0
1056,9552.0,2389.0
1057,9553.0,2390.0
1058,9566.0,2391.0
1059,9604.0,2392.0
1060,9611.0,530.0
1061,9619.0,2404.0
1062,9620.0,2393.0
1063,9628.0,2395.0
1064,9648.0,2396.0
1065,9658.0,2399.0
1066,9660.0,2400.0
1067,9662.0,2464.0
1068,9689.0,2401.0
1069,9700.0,2402.0
1070,9708.0,2405.0
1071,9710.0,2406.0
1072,9715.0,2407.0
1073,9733.0,2409.0
1074,9739.0,2410.0
1075,9751.0,2411.0
1076,9764.0,2412.0
1077,9768.0,2413.0
1078,9770.0,2414.0
1079,9789.0,3823.0
1080,9799.0,2417.0
1081,9819.0,586.0
1082,9837.0,174.0
1083,9849.0,2421.0
1084,9854.0,2422.0
1085,9879.0,2425.0
1086,9897.0,2427.0
1087,9909.0,2428.0
1088,9940.0,2433.0
1089,9949.0,2434.0
1090,9964.0,2435.0
1091,9976.0,2314.0
1092,9978.0,2436.0
1093,9980.0,2438.0
1094,9981.0,2437.0
1095,10014.0,2444.0
1096,10015.0,2443.0
1097,10039.0,2445.0
1098,10040.0,2474.0
1099,10049.0,2447.0
1100,10054.0,2475.0
1101,10080.0,2449.0
1102,10086.0,2451.0
1103,10087.0,2452.0
1104,10094.0,2455.0
1105,10095.0,2454.0
1106,10122.0,2457.0
1107,10146.0,193.0
1108,10148.0,2469.0
1109,10150.0,2470.0
1110,10154.0,2471.0
1111,10162.0,3486.0
1112,10179.0,2476.0
1113,10201.0,196.0
1114,10208.0,4515.0
1115,10209.0,2482.0
1116,10216.0,2484.0
1117,10224.0,2489.0
1118,10229.0,2490.0
1119,10233.0,4930.0
1120,10235.0,2750.0
1121,10260.0,2492.0
1122,10270.0,2495.0
1123,10281.0,2498.0
1124,13314.0,3183.0
1125,10290.0,2499.0
1126,10297.0,2500.0
1127,10308.0,2504.0
1128,10314.0,2506.0
1129,10320.0,2507.0
1130,10322.0,2122.0
1131,10346.0,2511.0
1132,10365.0,3620.0
1133,10401.0,4033.0
1134,10410.0,2512.0
1135,10411.0,2513.0
1136,10412.0,2514.0
1137,10437.0,2519.0
1138,10457.0,2521.0
1139,10462.0,2522.0
1140,10482.0,2526.0
1141,10483.0,2527.0
1142,10485.0,2528.0
1143,10490.0,4206.0
1144,10501.0,4376.0
1145,10514.0,2530.0
1146,10517.0,2532.0
1147,10520.0,2533.0
1148,10521.0,2534.0
1149,10529.0,4931.0
1150,10540.0,2541.0
1151,10542.0,2542.0
1152,10559.0,2548.0
1153,10562.0,2565.0
1154,10584.0,2549.0
1155,10592.0,2550.0
1156,10594.0,2537.0
1157,10600.0,1240.0
1158,10601.0,2551.0
1159,10605.0,2552.0
1160,10611.0,2554.0
1161,10615.0,2555.0
1162,10616.0,2556.0
1163,18788.0,4475.0
1164,10660.0,2557.0
1165,10664.0,4207.0
1166,10674.0,2559.0
1167,10678.0,2561.0
1168,10681.0,2562.0
1169,10685.0,2563.0
1170,12628.0,2569.0
1171,10692.0,2571.0
1172,10698.0,2573.0
1173,10700.0,2574.0
1174,10705.0,2575.0
1175,10706.0,2576.0
1176,10708.0,2577.0
1177,10735.0,2112.0
1178,10768.0,2583.0
1179,10769.0,2584.0
1180,10772.0,2585.0
1181,10782.0,2586.0
1182,10823.0,2591.0
1183,10833.0,1793.0
1184,10861.0,4794.0
1185,10862.0,2594.0
1186,10867.0,2596.0
1187,18608.0,4412.0
1188,10876.0,642.0
1189,10900.0,2600.0
1190,10902.0,2602.0
1191,10909.0,273.0
