,OPSD,WEPP
860,1550.0,9051.0
861,1551.0,9054.0
862,1552.0,9075.0
863,1555.0,9085.0
864,1556.0,23027.0
865,1557.0,9090.0
866,1560.0,9111.0
867,1561.0,9112.0
868,1562.0,9114.0
869,1567.0,9128.0
870,1568.0,9130.0
871,1569.0,9133.0
872,1570.0,9137.0
873,1571.0,9136.0
874,1573.0,9154.0
875,4459.0,28780.0
876,1578.0,9167.0
877,1580.0,9177.0
878,1582.0,9203.0
879,1583.0,9205.0
880,1591.0,9230.0
881,1592.0,9231.0
882,1593.0,21496.0
883,1594.0,9241.0
884,1595.0,9255.0
885,1596.0,9273.0
886,1599.0,9296.0
887,1604.0,9319.0
888,1605.0,9334.0
889,1606.0,9053.0
890,1607.0,9371.0
891,1608.0,9383.0
892,1609.0,9396.0
893,1610.0,9417.0
894,1612.0,22980.0
895,1617.0,7136.0
896,1621.0,9505.0
897,1623.0,9536.0
898,1624.0,16963.0
899,1627.0,9562.0
900,1632.0,8164.0
901,1633.0,9650.0
902,1635.0,9656.0
903,1636.0,9680.0
904,1637.0,9685.0
905,1639.0,9698.0
906,1641.0,9736.0
907,1644.0,9786.0
908,1646.0,9825.0
909,1647.0,9851.0
910,1648.0,9854.0
911,1651.0,9863.0
912,1653.0,9866.0
913,2745.0,18253.0
914,1657.0,9947.0
915,1659.0,9948.0
916,1662.0,9959.0
917,1663.0,9974.0
918,1664.0,9976.0
919,1667.0,9983.0
920,1670.0,4241.0
921,1671.0,10029.0
922,4238.0,27362.0
923,1675.0,8982.0
924,1676.0,10039.0
925,1677.0,10040.0
926,1678.0,10045.0
927,1679.0,10036.0
928,1919.0,11615.0
929,1686.0,10093.0
930,4731.0,10102.0
931,1688.0,10104.0
932,1690.0,10108.0
933,1692.0,10118.0
934,1696.0,10155.0
935,1697.0,9454.0
936,1698.0,10161.0
937,1699.0,10194.0
938,1730.0,10307.0
939,1707.0,10216.0
940,1708.0,10222.0
941,1713.0,10233.0
942,1714.0,10234.0
943,1715.0,10236.0
944,1716.0,10238.0
945,1727.0,10285.0
946,1728.0,10293.0
947,1729.0,10296.0
948,1733.0,10347.0
949,1736.0,10366.0
950,1738.0,10395.0
951,1739.0,13220.0
952,1741.0,14717.0
953,1749.0,21946.0
954,1751.0,17142.0
955,1753.0,4518.0
956,1756.0,16493.0
957,1757.0,10434.0
958,1758.0,10437.0
959,1759.0,10445.0
960,2243.0,13721.0
961,1762.0,10479.0
962,1763.0,10495.0
963,1765.0,10501.0
964,1766.0,10503.0
965,1767.0,9129.0
966,1769.0,31422.0
967,1770.0,10518.0
968,1773.0,10536.0
969,1774.0,28837.0
970,1777.0,10540.0
971,1780.0,10588.0
972,1781.0,10583.0
973,1786.0,10649.0
974,1788.0,10665.0
975,1789.0,10672.0
976,1790.0,10685.0
977,1791.0,10691.0
978,1792.0,10714.0
979,1794.0,10718.0
980,1796.0,10733.0
981,1798.0,10736.0
982,1799.0,24941.0
983,1800.0,10763.0
984,1801.0,10766.0
985,1802.0,10771.0
986,1803.0,10773.0
987,1808.0,10829.0
988,1809.0,10855.0
989,1810.0,10860.0
990,1811.0,10875.0
991,1812.0,10877.0
992,1813.0,10881.0
993,1816.0,10902.0
994,1817.0,10903.0
995,1818.0,10909.0
996,1820.0,10915.0
997,1821.0,10938.0
998,1823.0,10972.0
999,1824.0,11004.0
1000,1825.0,11027.0
1001,1828.0,16992.0
1002,1829.0,11064.0
1003,1830.0,11068.0
1004,1831.0,11078.0
1005,1832.0,11079.0
1006,1834.0,11085.0
1007,1836.0,11091.0
1008,1837.0,5368.0
1009,1838.0,17655.0
1010,1847.0,11148.0
1011,1848.0,24852.0
1012,1849.0,11154.0
1013,1850.0,11159.0
1014,1852.0,11184.0
1015,1855.0,11213.0
1016,4200.0,31882.0
1017,1865.0,11262.0
1018,1866.0,11287.0
1019,1867.0,11286.0
1020,1870.0,11312.0
1021,1871.0,11339.0
1022,1872.0,11350.0
1023,1873.0,11359.0
1024,1876.0,25473.0
1025,1877.0,5964.0
1026,1880.0,11405.0
1027,1882.0,11436.0
1028,1884.0,11473.0
1029,1885.0,12277.0
1030,1886.0,11480.0
1031,1887.0,11481.0
1032,1888.0,11482.0
1033,1889.0,11488.0
1034,1891.0,11489.0
1035,1892.0,11490.0
1036,1893.0,11499.0
1037,1895.0,11508.0
1038,1897.0,5183.0
1039,1901.0,11525.0
1040,1902.0,11541.0
1041,1903.0,11548.0
1042,1905.0,11555.0
1043,1909.0,11558.0
1044,1910.0,11559.0
1045,1914.0,11577.0
1046,1915.0,11588.0
1047,1916.0,11590.0
1048,1917.0,11612.0
1049,1918.0,11613.0
1050,1921.0,10499.0
1051,1925.0,10848.0
1052,1923.0,10976.0
1053,1924.0,10975.0
1054,1926.0,10849.0
1055,1927.0,10986.0
1056,1928.0,10275.0
1057,1930.0,1715.0
1058,1931.0,3747.0
1059,1932.0,4492.0
1060,3390.0,6279.0
1061,1934.0,10124.0
1062,1936.0,12870.0
1063,1937.0,19818.0
1064,1938.0,28054.0
1065,1939.0,28564.0
1066,4700.0,30453.0
1067,3730.0,8706.0
1068,1944.0,11681.0
1069,1945.0,11683.0
1070,1947.0,11993.0
1071,1948.0,11722.0
1072,1949.0,11721.0
1073,1950.0,11719.0
1074,1951.0,11737.0
1075,1952.0,11742.0
1076,1953.0,11751.0
1077,1956.0,11856.0
1078,1958.0,11869.0
1079,1959.0,11891.0
1080,1960.0,11915.0
1081,1961.0,11917.0
1082,1962.0,11918.0
1083,1963.0,11933.0
1084,1964.0,11959.0
1085,1965.0,11962.0
1086,1972.0,11997.0
1087,1973.0,11998.0
1088,1974.0,12034.0
1089,1975.0,12045.0
1090,1977.0,12073.0
1091,1978.0,12096.0
1092,1979.0,12106.0
1093,1980.0,12114.0
1094,1981.0,12144.0
1095,1982.0,24523.0
1096,1983.0,12193.0
1097,1987.0,12289.0
1098,1988.0,12297.0
1099,1989.0,12299.0
1100,1990.0,12313.0
1101,1991.0,9833.0
1102,1994.0,12415.0
1103,1995.0,12428.0
1104,1996.0,12430.0
1105,2004.0,12491.0
1106,2005.0,12500.0
1107,2006.0,12503.0
1108,2007.0,12520.0
1109,2008.0,12523.0
1110,2009.0,30621.0
1111,2010.0,12578.0
1112,2011.0,12581.0
1113,3404.0,21979.0
1114,2014.0,7405.0
1115,2015.0,11491.0
1116,2016.0,2691.0
1117,2017.0,12597.0
1118,2931.0,18943.0
1119,2659.0,17328.0
1120,2021.0,12598.0
1121,2022.0,12602.0
1122,2023.0,12604.0
1123,2024.0,12611.0
1124,2025.0,12613.0
1125,2031.0,1274.0
1126,2032.0,28253.0
1127,2033.0,12619.0
1128,2036.0,12648.0
1129,2037.0,12654.0
1130,2038.0,12666.0
1131,2039.0,12668.0
1132,2040.0,12669.0
1133,2042.0,12681.0
1134,3969.0,12687.0
1135,2044.0,11504.0
1136,2950.0,19077.0
1137,2046.0,19373.0
1138,2047.0,19679.0
1139,2048.0,21732.0
1140,2049.0,12705.0
1141,2050.0,12706.0
1142,2052.0,22833.0
1143,2056.0,12859.0
1144,2057.0,14263.0
1145,2058.0,12887.0
1146,2059.0,12902.0
1147,2064.0,13022.0
1148,2065.0,13023.0
1149,2069.0,13100.0
1150,2068.0,13051.0
1151,2071.0,16944.0
1152,2072.0,13111.0
1153,2073.0,13114.0
1154,2081.0,13160.0
1155,2084.0,13190.0
1156,2086.0,13199.0
1157,2087.0,13208.0
1158,2088.0,13226.0
1159,2092.0,13252.0
1160,2093.0,13283.0
1161,2094.0,13287.0
1162,2095.0,13301.0
1163,2101.0,11862.0
1164,2102.0,12143.0
1165,2103.0,12147.0
1166,2104.0,12761.0
1167,2105.0,12998.0
1168,2106.0,12685.0
1169,2107.0,13372.0
1170,2109.0,13376.0
1171,2112.0,2051.0
1172,2118.0,13396.0
1173,2122.0,15993.0
1174,2125.0,954.0
1175,2128.0,13442.0
1176,2129.0,13447.0
1177,2131.0,25694.0
1178,2132.0,13468.0
1179,2133.0,13469.0
1180,2134.0,13471.0
1181,2139.0,708.0
1182,2142.0,13503.0
1183,2143.0,13509.0
1184,2144.0,13508.0
1185,2147.0,23142.0
1186,2148.0,2294.0
1187,3911.0,13604.0
1188,2157.0,21680.0
1189,2158.0,13542.0
1190,2159.0,13543.0
1191,2160.0,13545.0
1192,3188.0,20530.0
1193,3325.0,21633.0
1194,2168.0,1240.0
1195,2172.0,13555.0
1196,3217.0,20691.0
1197,2182.0,10416.0
1198,2186.0,13569.0
