,GEO,WEPP
742,897.0,11549.0
743,898.0,14035.0
744,899.0,30162.0
745,900.0,27186.0
746,901.0,27193.0
747,902.0,27276.0
748,906.0,27515.0
749,907.0,27561.0
750,908.0,27570.0
751,909.0,27578.0
752,910.0,27590.0
753,911.0,27652.0
754,912.0,27655.0
755,913.0,27689.0
756,914.0,27718.0
757,916.0,27814.0
758,917.0,27836.0
759,918.0,27845.0
760,919.0,27860.0
761,920.0,27901.0
762,922.0,28006.0
763,923.0,28017.0
764,924.0,28103.0
765,925.0,28119.0
766,926.0,28145.0
767,927.0,28162.0
768,928.0,26166.0
769,929.0,27196.0
770,930.0,28199.0
771,932.0,28240.0
772,933.0,28368.0
773,934.0,28385.0
774,936.0,28442.0
775,937.0,28448.0
776,938.0,28476.0
777,939.0,28451.0
778,940.0,28482.0
779,941.0,28562.0
780,942.0,28582.0
781,943.0,19817.0
782,944.0,28856.0
783,946.0,29796.0
784,947.0,28628.0
785,948.0,28630.0
786,949.0,28817.0
787,950.0,28935.0
788,951.0,29013.0
789,952.0,29079.0
790,953.0,29093.0
791,954.0,29120.0
792,955.0,29145.0
793,957.0,29228.0
794,958.0,28981.0
795,959.0,29279.0
796,960.0,29294.0
797,961.0,29313.0
798,962.0,29326.0
799,963.0,29335.0
800,964.0,29348.0
801,965.0,29356.0
802,967.0,29412.0
803,968.0,29516.0
804,969.0,29693.0
805,970.0,2573.0
806,971.0,29885.0
807,972.0,29995.0
808,973.0,30022.0
809,974.0,30044.0
810,977.0,30074.0
811,978.0,30107.0
812,981.0,30239.0
813,982.0,30290.0
814,983.0,30295.0
815,984.0,30325.0
816,986.0,30442.0
817,987.0,6285.0
818,988.0,30498.0
819,989.0,30544.0
820,990.0,30545.0
821,991.0,30556.0
822,992.0,30580.0
823,993.0,30609.0
824,994.0,30641.0
825,996.0,30657.0
826,997.0,30669.0
827,998.0,30700.0
828,999.0,30701.0
829,1000.0,30781.0
830,1001.0,30821.0
831,1002.0,30851.0
