Name,Block,Technology,Capacity,DateIn,DateRetrofit,Country,lat,lon,Fueltype,source
Greifswald (KGR),2,WWER-440/230,408.0,1974,1990,Germany,54.140586111111,13.664422222222,Nuclear,
Greifswald (KGR),3,WWER-440/230,408.0,1977,1990,Germany,54.140586111111,13.664422222222,Nuclear,
Greifswald (KGR),4,WWER-440/230,408.0,1979,1990,Germany,54.140586111111,13.664422222222,Nuclear,
Greifswald (KGR),5,WWER-440/213,408.0,1989,1989,Germany,54.140586111111,13.664422222222,Nuclear,
Grohnde (KWG),,Pressure water reactor,1360.0,1984,2021,Germany,52.035277777778,9.4133333333333,Nuclear,
Großwelzheim (HDR),,Hot steam reactor,23.0,1969,1971,Germany,50.058141666667,8.9871305555556,Nuclear,
Gundremmingen (KRB),A,Boiling water reactor,237.0,1966,1977,Germany,48.514722222222,10.402222222222,Nuclear,
Gundremmingen (KRB),B,Boiling water reactor,1284.0,1984,2017,Germany,48.514722222222,10.402222222222,Nuclear,
Gundremmingen (KRB),C,Boiling water reactor,1288.0,1984,2021,Germany,48.514722222222,10.402222222222,Nuclear,
Hamm-Uentrop(THTR-300),,High temperature reactor,296.0,1985,1988,Germany,51.679297222222,7.9715583333333,Nuclear,
Isar (KKI),1,Boiling water reactor,878.0,1977,2011,Germany,48.605605555556,12.29315,Nuclear,
Isar (KKI),2,Pressure water reactor,1410.0,1988,2022,Germany,48.605605555556,12.29315,Nuclear,
Jülich (AVR),,High temperature reactor,13.0,1967,1988,Germany,50.902936111111,6.4212083333333,Nuclear,
Kahl (VAK),,Boiling water reactor,15.0,1961,1985,Germany,50.059119444444,8.9872722222222,Nuclear,
Karlsruhe (KNK I/II),,Faster brutreactor,17.0,1978,1991,Germany,49.099343998743,8.4328866004944,Nuclear,
Karlsruhe (MZFR),,Pressure water reactor ,52.0,1966,1984,Germany,49.104247222222,8.4323388888889,Nuclear,
Krümmel (KKK),,Boiling water reactor,1346.0,1983,2011,Germany,53.41,10.408888888889,Nuclear,
Lingen (KWL),,Boiling water reactor,183.0,1968,1979,Germany,52.482777777778,7.3005555555556,Nuclear,
Mülheim-Kärlich (KMK),,Pressure water reactor,1219.0,1986,1988,Germany,50.407777777778,7.4897222222222,Nuclear,
Neckarwestheim (GKN),1,Pressure water reactor,785.0,1976,2011,Germany,49.041111111111,9.175,Nuclear,
Neckarwestheim (GKN),2,Pressure water reactor,1310.0,1989,2022,Germany,49.041111111111,9.175,Nuclear,
Niederaichbach (KKN),,Heavy pressure tube reactor,100.0,1973,1974,Germany,48.604627777778,12.303986111111,Nuclear,
Obrigheim (KWO),,Pressure water reactor,340.0,1968,2005,Germany,49.364536111111,9.0762722222222,Nuclear,
Philippsburg (KKP),1,Boiling water reactor,890.0,1979,2011,Germany,49.252722222222,8.4364361111111,Nuclear,
Philippsburg (KKP),2,Pressure water reactor,1392.0,1984,2019,Germany,49.252722222222,8.4364361111111,Nuclear,
Rheinsberg (KKR),,WWER-70,62.0,1966,1990,Germany,53.146991666667,12.99015,Nuclear,
Stade (KKS),,Pressure water reactor,640.0,1972,2003,Germany,53.62,9.5308333333333,Nuclear,
Unterweser (KKU),,Pressure water reactor,1345.0,1978,2011,Germany,53.4277,8.4801972222222,Nuclear,
Würgassen (KWW),,Boiling water reactor,640.0,1971,1994,Germany,51.639166666667,9.3913888888889,Nuclear,
Loviisa,1,PWR,507.0,1977,2027,Finland,60.372222222222,26.347222222222,Nuclear,
Loviisa,2,PWR,507.0,1981,2030,Finland,60.372222222222,26.347222222222,Nuclear,
